时间;开盘;最高;最低;收盘;成交量;MA2.MA1;MA2.MA2;MA2.MA3;MA2.MA4;MA2.MA5;MA2.MA6;MA2.MA7;MA2.MA8;MA2.MA9;MA2.MA10;VOL.VOLUME;VOL.MAVOL1;VOL.MAVOL2;KDJ.K;KDJ.D;KDJ.J;BOLL.BOLL;BOLL.UB;BOLL.LB;MACD.DIF;MACD.DEA;MACD.MACD;
1990/12/19;96.05;99.98;95.79;99.98;1260;;;;;;;;;;;1260.00;;;100.00;100.00;100.00;;;;0.00;0.00;0.00;
1990/12/20;104.30;104.39;99.98;104.39;197;;;;;;;;;;;197.00;;;100.00;100.00;100.00;;;;0.35;0.07;0.56;
1990/12/21;109.07;109.13;103.73;109.13;28;;;;;;;;;;;28.00;;;100.00;100.00;100.00;;;;1.00;0.26;1.49;
1990/12/24;113.57;114.55;109.13;114.55;32;;;;;;;;;;;32.00;;;100.00;100.00;100.00;;;;1.93;0.59;2.68;
1990/12/25;120.09;120.25;114.55;120.25;15;109.66;;;;;;;;;;15.00;306.40;;100.00;100.00;100.00;;;;3.09;1.09;4.00;
1990/12/26;125.27;125.27;120.25;125.27;100;114.72;;;;;;;;;;100.00;74.40;;100.00;100.00;100.00;;;;4.37;1.75;5.24;
1990/12/27;125.27;125.28;125.27;125.28;66;118.90;;;;;;;;;;66.00;48.20;;100.00;100.00;100.00;;;;5.32;2.46;5.71;
1990/12/28;126.39;126.45;125.28;126.45;108;122.36;;;;;;;;;;108.00;64.20;;100.00;100.00;100.00;;;;6.09;3.19;5.81;
1990/12/31;126.56;127.61;126.48;127.61;78;124.97;;;;;;;;;;78.00;73.40;;100.00;100.00;100.00;;;;6.73;3.90;5.66;
1991/01/02;127.61;128.84;127.61;128.84;91;126.69;118.18;;;;;;;;;91.00;88.60;197.50;100.00;100.00;100.00;;;;7.24;4.57;5.36;
1991/01/03;128.84;130.14;128.84;130.14;141;127.66;121.19;;;;;;;;;141.00;96.80;85.60;100.00;100.00;100.00;;;;7.67;5.19;4.97;
1991/01/04;131.27;131.44;130.14;131.44;420;128.90;123.90;;;;;;;;;420.00;167.60;107.90;100.00;100.00;100.00;;;;8.02;5.75;4.53;
1991/01/07;131.99;132.06;131.45;132.06;217;130.02;126.19;;;;;;;;;217.00;189.40;126.80;100.00;100.00;100.00;;;;8.25;6.25;4.00;
1991/01/08;132.62;132.68;132.06;132.68;2926;131.03;128.00;;;;;;;;;2926.00;759.00;416.20;100.00;100.00;100.00;;;;8.39;6.68;3.42;
1991/01/09;133.30;133.34;132.68;133.34;5603;131.93;129.31;;;;;;;;;5603.00;1861.40;975.00;100.00;100.00;100.00;;;;8.45;7.03;2.84;
1991/01/10;133.93;133.97;133.34;133.97;9990;132.70;130.18;;;;;;;;;9990.00;3831.20;1964.00;100.00;100.00;100.00;;;;8.46;7.32;2.28;
1991/01/11;134.61;134.61;134.51;134.60;13327;133.33;131.11;;;;;;;;;13327.00;6412.60;3290.10;99.96;99.99;99.90;;;;8.42;7.54;1.75;
1991/01/14;134.11;135.19;134.11;134.67;12530;133.85;131.93;;;;;;;;;12530.00;8875.20;4532.30;97.69;99.22;94.62;;;;8.29;7.69;1.21;
1991/01/15;134.21;134.74;134.19;134.74;1446;134.26;132.65;;;;;;;;;1446.00;8579.20;4669.10;96.10;98.18;91.93;;;;8.11;7.77;0.67;
1991/01/16;134.19;134.74;134.14;134.24;509;134.44;133.19;125.68;;;;;;;;509.00;7560.40;4710.90;91.13;95.83;81.72;125.68;146.91;104.45;7.83;7.78;0.09;
1991/01/17;133.67;134.25;133.65;134.25;658;134.50;133.60;127.39;;;;;;;;658.00;5694.00;4762.60;85.71;92.45;72.21;127.39;145.14;109.65;7.52;7.73;-0.42;
1991/01/18;133.70;134.25;133.67;134.24;3004;134.43;133.88;128.89;;;;;;;;3004.00;3629.40;5021.00;80.35;88.42;64.22;128.89;143.17;114.61;7.20;7.62;-0.86;
1991/01/21;133.70;134.24;133.66;134.24;2051;134.34;134.10;130.14;;;;;;;;2051.00;1533.60;5204.40;74.29;83.71;55.44;130.14;141.15;119.14;6.86;7.47;-1.23;
1991/01/22;133.72;134.24;133.66;133.72;354;134.14;134.20;131.10;;;;;;;;354.00;1315.20;4947.20;56.37;74.60;19.92;131.10;139.40;122.81;6.47;7.27;-1.60;
1991/01/23;133.17;133.72;133.14;133.17;1095;133.92;134.18;131.75;;;;;;;;1095.00;1432.40;4496.40;38.07;62.42;-10.64;131.75;138.32;125.18;6.06;7.03;-1.95;
1991/01/24;132.61;133.17;132.57;132.61;1857;133.60;134.05;132.11;;;;;;;;1857.00;1672.20;3683.10;25.89;50.24;-22.82;132.11;137.94;126.29;5.61;6.75;-2.26;
1991/01/25;132.05;132.07;132.03;132.05;3447;133.16;133.79;132.45;;;;;;;;3447.00;1760.80;2695.10;17.50;39.33;-26.15;132.45;137.31;127.60;5.16;6.43;-2.54;
1991/01/28;131.46;131.55;131.46;131.46;5107;132.60;133.47;132.70;;;;;;;;5107.00;2372.00;1952.80;11.67;30.11;-25.21;132.70;136.70;128.71;4.70;6.08;-2.77;
1991/01/29;130.95;130.97;130.95;130.95;1387;132.05;133.09;132.87;;;;;;;;1387.00;2578.60;1946.90;7.78;22.67;-21.99;132.87;136.19;129.55;4.24;5.71;-2.95;
1991/01/30;130.44;130.95;130.41;130.44;527;131.50;132.71;132.95;;;;;;;;527.00;2465.00;1948.70;5.45;16.93;-17.51;132.95;135.92;129.98;3.79;5.33;-3.07;
1991/01/31;129.93;130.46;129.93;129.97;510;130.97;132.29;132.94;;;;;;;;510.00;2195.60;1933.90;3.94;12.60;-13.37;132.94;135.95;129.94;3.36;4.94;-3.15;
1991/02/01;129.50;129.97;129.45;129.51;345;130.47;131.81;132.85;;;;;;;;345.00;1575.20;1668.00;3.04;9.41;-9.69;132.85;136.16;129.53;2.95;4.54;-3.18;
1991/02/04;129.05;129.58;129.05;129.05;553;129.98;131.29;132.70;;;;;;;;553.00;664.40;1518.20;2.03;6.95;-7.82;132.70;136.41;128.98;2.56;4.14;-3.17;
1991/02/05;128.56;128.58;128.53;128.58;8562;129.51;130.78;132.49;;;;;;;;8562.00;2099.40;2339.00;1.71;5.21;-5.27;132.49;136.64;128.34;2.18;3.75;-3.14;
1991/02/06;129.13;129.15;128.06;129.14;6641;129.25;130.38;132.28;;;;;;;;6641.00;3322.20;2893.60;10.12;6.84;16.67;132.28;136.66;127.90;1.91;3.38;-2.95;
1991/02/07;129.74;129.79;129.14;129.79;2133;129.21;130.09;132.07;;;;;;;;2133.00;3646.80;2921.20;23.27;12.32;45.17;132.07;136.51;127.63;1.72;3.05;-2.65;
1991/02/08;130.36;130.39;129.79;130.38;1234;129.39;129.93;131.86;;;;;;;;1234.00;3824.60;2699.90;42.09;22.24;81.78;131.86;136.20;127.52;1.61;2.76;-2.31;
1991/02/11;130.92;130.97;130.39;130.97;9317;129.77;129.88;131.68;;;;;;;;9317.00;5577.40;3120.90;61.39;35.29;113.59;131.68;135.82;127.53;1.54;2.52;-1.95;
1991/02/12;131.54;131.56;130.97;131.35;3774;130.33;129.92;131.51;;;;;;;;3774.00;4619.80;3359.60;72.26;47.62;121.55;131.51;135.39;127.62;1.51;2.32;-1.62;
1991/02/13;131.93;131.93;131.35;131.92;1152;130.88;130.07;131.39;;;;;;;;1152.00;3522.00;3422.10;81.42;58.88;126.50;131.39;135.06;127.72;1.51;2.15;-1.29;
1991/02/14;132.53;132.53;132.30;132.53;3624;131.43;130.32;131.30;;;;;;;;3624.00;3820.20;3733.50;87.61;68.46;125.92;131.30;134.77;127.84;1.54;2.03;-0.99;
1991/02/19;133.12;133.14;133.08;133.13;1748;131.98;130.68;131.25;;;;;;;;1748.00;3923.00;3873.80;91.68;76.20;122.63;131.25;134.55;127.95;1.59;1.94;-0.70;
1991/02/20;133.63;133.67;133.13;133.67;876;132.52;131.15;131.22;;;;;;;;876.00;2234.80;3906.10;94.45;82.28;118.79;131.22;134.42;128.02;1.66;1.89;-0.45;
1991/02/21;134.24;134.28;133.67;134.28;3220;133.11;131.72;131.25;;;;;;;;3220.00;2124.00;3371.90;96.30;86.96;114.99;131.25;134.55;127.95;1.74;1.86;-0.23;
1991/02/22;134.85;134.87;134.28;134.87;3427;133.70;132.29;131.33;;;;;;;;3427.00;2579.00;3050.50;97.53;90.48;111.64;131.33;134.92;127.75;1.84;1.85;-0.04;
1991/02/25;134.37;134.87;134.33;134.40;810;134.07;132.75;131.42;;;;;;;;810.00;2016.20;2918.20;94.86;91.94;100.69;131.42;135.22;127.62;1.85;1.85;-0.01;
1991/02/26;133.90;134.44;133.90;133.93;1094;134.23;133.10;131.52;;;;;;;;1094.00;1885.40;2904.20;88.54;90.81;84.00;131.52;135.47;127.56;1.80;1.84;-0.08;
1991/02/27;133.44;133.98;133.44;133.47;214;134.19;133.36;131.62;;;;;;;;214.00;1753.00;1993.90;79.10;86.91;63.49;131.62;135.67;127.57;1.71;1.82;-0.22;
