代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000404	华意压缩	-0.29	-4.03	6.91	-0.29	6.91	6.92	267951	0.00	          5.41	7.20	7.22	6.80	7.20	    18.02	187323312	      49550.89	江西	         34.24亿	19960619	
000551	创元科技	-0.48	-4.49	10.21	-0.48	10.20	10.21	172750	-0.29	          4.32	10.66	10.70	10.07	10.69	    87.08	178828576	      40008.03	江苏	         40.85亿	19940106	
000925	众合机电	--  	--  	21.63	--  	--  	--  	0	--  	          0.00	--  	--  	--  	21.63	--  	0	      30133.81	浙江	         65.18亿	19990611	
002204	大连重工	-0.36	-2.92	11.95	-0.36	11.94	11.95	317699	0.00	          4.89	12.31	12.49	11.76	12.31	   251.81	384335264	      64940.19	辽宁	         77.60亿	20080116	
002255	海陆重工	0.08	0.51	15.72	0.08	15.71	15.72	239421	-0.31	         12.06	15.81	16.08	14.38	15.64	    60.12	371290144	      19860.33	江苏	         31.22亿	20080625	
002328	新朋股份	-0.32	-3.31	9.36	-0.32	9.35	9.36	144843	0.00	          4.43	9.70	9.72	9.15	9.68	    54.29	135050544	      32719.90	上海	         30.63亿	20091230	
002499	科林环保	-1.12	-4.68	22.81	-1.12	22.80	22.81	50493	-0.04	          6.51	23.90	23.93	22.25	23.93	   338.97	116663200	       7762.18	江苏	         17.71亿	20101109	
002509	天广消防	--  	--  	12.27	--  	--  	--  	0	--  	          0.00	--  	--  	--  	12.27	    51.77	0	      23109.89	福建	         28.36亿	20101123	
002529	海源机械	--  	--  	15.03	--  	--  	--  	0	--  	          0.00	--  	--  	--  	15.03	--  	0	      15608.25	福建	         23.46亿	20101224	
002530	丰东股份	-0.59	-6.34	8.71	-0.59	8.71	8.72	75092	0.00	          2.80	9.30	9.31	8.60	9.30	   102.49	66724124	      26800.00	江苏	         23.34亿	20101231	
002534	杭锅股份	2.10	9.55	24.08	2.10	24.07	24.08	66274	-0.04	          1.69	23.00	24.18	22.48	21.98	    74.01	156038288	      39168.26	浙江	         94.32亿	20110110	
002595	豪迈科技	-1.14	-4.16	26.28	-1.14	26.27	26.28	48133	-0.03	          2.14	27.60	27.80	26.27	27.42	    20.65	128083816	      22461.53	山东	         59.03亿	20110628	
002613	北玻股份	-0.09	-0.76	11.77	-0.09	11.77	11.79	72234	-0.25	          3.31	11.82	11.98	10.73	11.86	   178.99	82727568	      21819.40	河南	         25.68亿	20110830	
002621	大连三垒	-0.49	-3.07	15.45	-0.49	15.45	15.46	17924	-0.06	          3.19	15.85	15.95	15.00	15.94	    56.52	27880034	       5625.00	辽宁	          8.69亿	20110929	
002630	华西能源	-0.62	-3.16	19.02	-0.62	19.00	19.02	102365	0.21	          4.37	19.78	19.78	18.61	19.64	    41.63	195682704	      23408.03	四川	         44.52亿	20111111	
002639	雪人股份	-0.26	-1.45	17.68	-0.26	17.68	17.70	42443	-0.05	          3.53	18.09	18.31	17.58	17.94	  1773.91	76191112	      12040.00	福建	         21.29亿	20111205	
002645	华宏科技	0.36	1.93	19.06	0.36	19.06	19.07	49316	0.00	         11.50	18.70	19.62	17.32	18.70	   235.28	91229672	       4286.87	江苏	          8.17亿	20111220	
002651	利君股份	0.85	2.96	29.59	0.85	29.58	29.59	23801	0.03	          3.88	28.74	29.85	27.25	28.74	    38.85	68659568	       6140.00	四川	         18.17亿	20120106	
002686	亿利达	-0.12	-0.82	14.53	-0.12	14.52	14.53	53606	-0.20	          7.88	14.65	14.66	13.58	14.65	    44.88	75691176	       6801.00	浙江	          9.88亿	20120703	
002690	美亚光电	-2.79	-6.47	40.32	-2.79	40.32	40.33	44435	-0.02	          4.00	42.99	42.99	39.00	43.11	    52.83	179117728	      11095.95	安徽	         44.74亿	20120731	
002691	石中装备	-0.88	-5.79	14.33	-0.88	14.33	14.34	42350	0.13	          6.42	15.22	15.28	13.69	15.21	    82.86	61258840	       6596.93	河北	          9.45亿	20120731	
300023	宝德股份	-1.64	-8.20	18.37	-1.64	18.36	18.37	41824	-0.16	          8.41	19.84	20.06	18.07	20.01	   146.84	78468144	       4975.31	陕西	          9.14亿	20091030	
300024	机器人	-0.70	-1.82	37.85	-0.70	37.85	37.86	282446	0.10	          4.45	38.62	38.80	36.55	38.55	    97.10	1064419456	      63414.96	辽宁	        240.03亿	20091030	
300056	三维丝	-1.55	-6.92	20.86	-1.55	20.85	20.86	168466	-0.19	         14.80	21.90	22.18	20.60	22.41	    74.73	357954432	      11381.00	福建	         23.74亿	20100226	
300090	盛运股份	--  	--  	16.50	--  	--  	--  	0	--  	          0.00	--  	--  	--  	16.50	    49.47	0	      37541.26	安徽	         61.94亿	20100625	
300092	科新机电	-0.91	-4.70	18.44	-0.91	18.40	18.44	13307	-0.43	          2.52	19.45	19.45	18.03	19.35	   630.34	24882228	       5273.62	四川	          9.72亿	20100708	
300116	坚瑞消防	-0.36	-4.48	7.67	-0.36	7.66	7.67	60384	0.00	          3.89	8.00	8.01	7.51	8.03	--  	46824556	      15532.04	陕西	         11.91亿	20100902	
300145	南方泵业	-1.53	-5.99	24.00	-1.53	23.98	24.00	52816	-0.04	          3.03	25.45	25.48	22.99	25.53	    34.62	126773160	      17417.00	浙江	         41.80亿	20101209	
300152	燃控科技	-0.84	-5.52	14.39	-0.84	14.39	14.40	137496	0.00	          5.79	15.18	15.18	14.11	15.23	    70.80	200477472	      23760.00	江苏	         34.19亿	20101229	
300193	佳士科技	-0.75	-4.43	16.18	-0.75	16.17	16.18	74918	0.00	          4.93	16.90	16.92	15.80	16.93	    45.17	122172312	      15209.28	深圳	         24.61亿	20110322	
300201	海伦哲	--  	--  	7.93	--  	--  	--  	0	--  	          0.00	--  	--  	--  	7.93	   511.19	0	      35015.55	江苏	         27.77亿	20110407	
300202	聚龙股份	-0.09	-0.28	31.87	-0.09	31.86	31.87	42179	0.06	          0.77	32.00	32.19	30.53	31.96	   126.69	133431400	      54950.39	辽宁	        175.13亿	20110415	
300210	森远股份	-0.43	-2.73	15.33	-0.43	15.28	15.33	25856	-0.45	          2.35	15.72	15.72	14.95	15.76	    42.30	39086832	      10989.19	辽宁	         16.85亿	20110426	
300249	依米康	-0.72	-4.29	16.05	-0.72	15.96	16.05	27408	0.81	          2.83	16.62	16.70	15.44	16.77	   384.17	43643880	       9681.88	四川	         15.54亿	20110803	
300263	隆华节能	-0.29	-1.38	20.70	-0.29	20.60	20.70	114099	-0.67	          6.43	20.95	21.00	18.89	20.99	    72.42	228228096	      17738.11	河南	         36.72亿	20110916	
300272	开能环保	-0.51	-2.58	19.28	-0.51	19.26	19.28	76221	0.15	          5.02	19.70	19.71	18.56	19.79	    81.20	145589232	      15177.29	上海	         29.26亿	20111102	
300276	三丰智能	-0.84	-5.83	13.58	-0.84	13.57	13.58	130793	0.00	         10.11	14.29	14.32	13.30	14.42	   119.95	180051616	      12932.32	湖北	         17.56亿	20111115	
300278	华昌达	--  	--  	16.46	--  	--  	--  	0	--  	          0.00	--  	--  	--  	16.46	   136.43	0	       7862.50	湖北	         12.94亿	20111216	
300280	南通锻压	--  	--  	15.22	--  	--  	--  	0	--  	          0.00	--  	--  	--  	15.22	   413.82	0	       4000.00	江苏	          6.09亿	20111229	
300281	金明精机	-1.35	-5.93	21.43	-1.35	21.42	21.43	17130	0.00	          3.26	22.84	22.95	21.43	22.78	    53.11	37362916	       5250.00	广东	         11.25亿	20111229	
300293	蓝英装备	-1.45	-6.71	20.17	-1.45	20.17	20.18	142891	-0.14	         21.17	21.22	21.48	19.80	21.62	    76.40	295321952	       6750.00	辽宁	         13.61亿	20120308	
300309	吉艾科技	-1.32	-5.98	20.75	-1.32	20.75	20.84	31364	-0.47	          4.26	22.00	22.00	20.35	22.07	    97.41	66143508	       7364.22	北京	         15.28亿	20120410	
300316	晶盛机电	0.72	2.78	26.60	0.72	26.56	26.60	45820	0.00	          3.44	25.89	28.19	24.94	25.88	   158.72	121476880	      13325.79	浙江	         35.45亿	20120511	
300334	津膜科技	-1.14	-4.66	23.30	-1.14	23.29	23.30	67050	-0.12	          6.38	24.45	24.50	22.65	24.44	   105.17	157481712	      10503.55	天津	         24.47亿	20120705	
300358	楚天科技	-2.39	-4.81	47.31	-2.39	47.30	47.31	24576	-0.10	          8.42	49.50	49.50	46.01	49.70	    37.96	117442368	       2919.96	湖南	         13.81亿	20140121	
300368	汇金股份	-1.52	-3.48	42.10	-1.52	42.09	42.10	21938	0.00	          7.09	43.40	43.88	39.26	43.62	   663.02	91781920	       3095.00	河北	         13.03亿	20140123	
300382	斯莱克	-1.67	-2.28	71.50	-1.67	71.46	71.50	8917	-0.11	          6.70	72.60	72.90	70.00	73.17	    51.12	63529564	       1330.92	江苏	          9.52亿	20140129	
300385	雪浪环境	-4.04	-7.13	52.60	-4.04	52.60	52.61	29661	-0.07	         14.83	56.18	56.46	52.20	56.64	    94.97	159299248	       2000.00	江苏	         10.52亿	20140626	
300402	宝色股份	-2.04	-8.56	21.79	-2.04	21.78	21.79	111958	-0.09	         21.95	23.48	23.50	21.45	23.83	   102.28	249590640	       5100.00	江苏	         11.11亿	20141010	
600388	龙净环保	-1.20	-4.16	27.63	-1.20	27.64	27.65	200569	0.07	          4.69	28.73	28.73	27.01	28.83	    29.91	560138112	      42762.00	福建	        118.15亿	20001229	
600435	北方导航	2.54	9.58	29.04	2.54	29.08	29.09	663539	0.34	          8.91	26.72	29.10	24.51	26.50	  5788.88	1844092800	      74466.00	北京	        216.25亿	20030704	
600475	华光股份	-0.71	-4.37	15.54	-0.71	15.53	15.55	66586	-0.12	          2.60	16.25	16.51	15.05	16.25	    41.61	104859680	      25600.00	江苏	         39.78亿	20030721	
600499	科达洁能	0.00	0.00	19.33	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	19.33	    25.39	0	      65533.89	广东	        126.68亿	20021010	
600526	菲达环保	-0.58	-3.88	14.37	-0.58	14.37	14.38	256773	0.13	          6.31	14.89	14.89	14.08	14.95	    93.65	371889504	      40688.94	浙江	         58.47亿	20020722	
600855	航天长峰	2.25	10.00	24.74	2.25	24.74	--  	348973	0.08	         14.96	23.15	24.74	21.38	22.49	  1005.60	822380224	      23320.19	北京	         57.69亿	19940425	
600860	*ST京城	-0.17	-2.37	7.01	-0.17	7.00	7.02	38766	0.00	          1.20	7.20	7.20	6.96	7.18	    24.50	27356266	      32200.00	北京	         22.57亿	19940506	
601608	中信重工	0.14	2.30	6.23	0.14	6.22	6.23	1478381	-0.16	         19.64	6.15	6.45	5.80	6.09	    35.43	916197696	      75268.29	河南	         46.89亿	20120706	
603088	宁波精达	-5.06	-9.55	47.90	-5.06	47.90	47.97	66586	0.08	         33.29	53.58	53.68	47.70	52.96	   116.15	330759104	       2000.00	浙江	          9.58亿	20141111	
603169	兰石重装	-1.54	-6.00	24.12	-1.54	24.11	24.13	247304	-0.04	         24.73	25.30	25.99	23.85	25.66	   224.78	611553984	      10000.00	甘肃	         24.12亿	20141009	
603308	应流股份	-0.71	-3.48	19.71	-0.71	19.69	19.70	144751	-0.20	         18.09	20.63	21.10	19.06	20.42	    63.86	291959776	       8001.00	安徽	         15.77亿	20140122	
603699	纽威股份	-0.25	-1.10	22.50	-0.25	22.49	22.50	99061	-0.26	         12.01	23.10	23.50	21.86	22.75	    31.61	226854320	       8250.00	江苏	         18.56亿	20140117	
数据来源:通达信
