代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000423	东阿阿胶	-1.28	-3.40	36.32	-1.28	36.32	36.33	228995	0.00	          3.50	37.59	37.59	35.91	37.60	    19.30	837697280	      65377.33	山东	        237.45亿	19960729	
000513	丽珠集团	-2.02	-3.90	49.78	-2.02	49.78	49.79	30593	0.02	          1.72	51.70	51.70	49.18	51.80	    26.08	152850928	      17766.91	广东	         88.44亿	19931028	
000538	云南白药	-0.40	-0.67	59.10	-0.40	59.05	59.10	271699	0.33	          2.61	59.48	60.69	57.02	59.50	    23.74	1596608896	     104136.53	云南	        615.45亿	19931215	
000590	紫光古汉	-0.97	-5.40	16.98	-0.97	16.97	16.98	95223	0.00	          4.27	17.89	17.90	16.54	17.95	  2100.85	161973136	      22323.61	湖南	         37.91亿	19960119	
000623	吉林敖东	1.73	5.20	35.01	1.73	35.00	35.01	990264	-0.45	         12.55	33.50	36.00	32.17	33.28	    25.69	3399984896	      78904.07	吉林	        276.24亿	19961028	
000650	仁和药业	-0.47	-5.62	7.89	-0.47	7.89	7.90	387937	0.00	          3.92	8.39	8.41	7.75	8.36	    29.28	310213536	      99040.99	江西	         78.14亿	19961210	
000766	通化金马	-0.39	-4.88	7.60	-0.39	7.60	7.61	130150	0.00	          2.90	7.99	7.99	7.59	7.99	   417.10	100261072	      44901.48	吉林	         34.13亿	19970430	
000790	华神集团	-0.50	-4.44	10.75	-0.50	10.75	10.76	193182	-0.09	          5.07	11.20	11.22	10.49	11.25	   190.35	209177296	      38070.00	四川	         40.93亿	19980327	
000919	金陵药业	-0.24	-1.55	15.28	-0.24	15.20	15.28	147473	1.12	          5.36	15.61	15.68	14.70	15.52	    35.72	222530224	      27528.47	江苏	         42.06亿	19991118	
000989	九 芝 堂	-0.27	-1.53	17.39	-0.27	17.38	17.39	161067	-0.05	          5.41	17.57	17.76	16.90	17.66	    33.31	280825920	      29760.52	湖南	         51.75亿	20000628	
000999	华润三九	-0.48	-2.11	22.22	-0.48	22.22	22.23	188548	-0.04	          1.93	22.70	22.85	21.70	22.70	    20.68	421012064	      97774.22	深圳	        217.25亿	20000309	
