代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000503	海虹控股	0.58	2.02	29.25	0.58	29.25	29.26	291431	0.00	          3.25	28.67	29.90	27.45	28.67	  8136.13	844110080	      89796.70	海南	        262.66亿	19921130	
002095	生 意 宝	-0.77	-2.15	35.09	-0.77	35.08	35.09	199109	-0.31	          9.52	37.00	37.65	33.86	35.86	   188.74	714097280	      20914.50	浙江	         73.39亿	20061215	
002174	游族网络	-3.44	-6.06	53.36	-3.44	53.36	53.38	19498	-0.13	          2.35	56.11	56.99	52.82	56.80	    43.35	105463688	       8293.99	福建	         44.26亿	20070925	
002261	拓维信息	-0.80	-3.94	19.50	-0.80	19.50	19.51	137223	-0.10	          5.26	20.30	20.44	19.21	20.30	   106.08	270001600	      26106.63	湖南	         50.91亿	20080723	
002315	焦点科技	1.44	2.18	67.52	1.44	67.50	67.52	65872	-0.05	         10.94	65.80	69.55	61.00	66.08	    63.43	432478304	       6021.45	江苏	         40.66亿	20091209	
300051	三五互联	--  	--  	12.78	--  	--  	--  	0	--  	          0.00	--  	--  	--  	12.78	  1174.08	0	      20388.06	福建	         26.06亿	20100211	
300052	中青宝	-0.17	-0.63	27.03	-0.17	27.03	27.05	125486	-0.22	          4.83	27.22	27.60	26.01	27.20	   188.83	337640032	      26000.00	深圳	         70.28亿	20100211	
300059	东方财富	1.47	4.93	31.27	1.47	31.26	31.27	797715	-0.57	          8.71	32.00	32.78	28.60	29.80	   452.83	2514538752	      91602.40	上海	        286.44亿	20100319	
300104	乐视网	--  	--  	33.51	--  	--  	--  	0	--  	          0.00	--  	--  	--  	33.51	    96.91	0	      47648.89	北京	        159.67亿	20100812	
300113	顺网科技	-1.27	-5.03	23.98	-1.27	23.97	23.98	109418	-0.04	          6.42	25.28	25.29	23.85	25.25	    54.49	264975296	      17038.96	浙江	         40.86亿	20100827	
300226	上海钢联	0.22	0.27	81.29	0.22	81.28	81.29	43800	-0.37	          3.27	85.48	85.48	77.45	81.07	  1500.90	358001088	      13383.24	上海	        108.79亿	20110608	
300295	三六五网	--  	--  	96.44	--  	--  	--  	0	--  	          0.00	--  	--  	--  	96.44	    49.32	0	       3782.61	江苏	         36.48亿	20120315	
300315	掌趣科技	--  	--  	15.83	--  	--  	--  	0	--  	          0.00	--  	--  	--  	15.83	    75.72	0	      54505.85	北京	         86.28亿	20120511	
300392	腾信股份	1.74	1.31	134.65	1.74	134.64	134.65	30604	-0.08	         19.13	131.50	138.00	126.02	132.91	   108.03	404964896	       1600.00	北京	         21.54亿	20140910	
300399	京天利	-5.70	-8.43	61.95	-5.70	61.83	61.95	42578	0.22	         21.29	65.80	66.61	60.99	67.65	   137.09	271187488	       2000.00	北京	         12.39亿	20141009	
603000	人民网	-1.93	-4.27	43.24	-1.93	43.21	43.26	128485	-0.02	          5.76	45.00	45.08	42.68	45.17	    99.81	559349760	      22304.55	北京	         96.44亿	20120427	
数据来源:通达信
