代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
002183	怡 亚 通	-0.50	-3.86	12.44	-0.50	12.44	12.45	417225	-0.08	          4.23	12.95	13.00	12.30	12.94	    39.66	525699296	      98612.63	深圳	        122.67亿	20071113	
002210	飞马国际	-0.78	-4.19	17.82	-0.78	17.81	17.82	30141	0.16	          0.78	18.67	18.67	17.51	18.60	    45.67	54128028	      38492.32	深圳	         68.59亿	20080130	
002245	澳洋顺昌	-0.65	-5.50	11.16	-0.65	11.16	11.17	104984	0.08	          3.13	11.79	11.79	11.06	11.81	    30.88	118988064	      33546.44	江苏	         37.44亿	20080605	
002492	恒基达鑫	-0.54	-4.70	10.95	-0.54	10.95	10.96	68139	0.55	          2.89	11.40	11.40	10.81	11.49	    55.14	74960904	      23550.00	广东	         25.79亿	20101102	
002711	欧浦钢网	-5.81	-10.01	52.26	-5.81	--  	52.26	88155	0.00	         23.49	57.50	57.50	52.26	58.07	    73.92	473868352	       3752.75	广东	         19.61亿	20140127	
300013	新宁物流	--  	--  	9.26	--  	--  	--  	0	--  	          0.00	--  	--  	--  	9.26	   131.57	0	      18000.00	江苏	         16.67亿	20091030	
300240	飞力达	-0.69	-4.76	13.80	-0.69	13.79	13.80	27924	-0.36	          1.72	14.59	14.59	13.76	14.49	    52.10	39135608	      16245.00	江苏	         22.42亿	20110706	
300350	华鹏飞	--  	--  	19.70	--  	--  	--  	0	--  	          0.00	--  	--  	--  	19.70	    52.26	0	       2412.05	深圳	          4.75亿	20120821	
600057	象屿股份	-0.34	-3.03	10.89	-0.34	10.88	10.89	211875	0.18	          7.30	11.23	11.23	10.30	11.23	    41.03	231079200	      29016.77	福建	         31.60亿	19970604	
600119	长江投资	-0.87	-5.32	15.48	-0.87	15.48	15.49	163302	0.19	          5.31	16.20	16.30	15.19	16.35	   111.35	255590928	      30740.00	上海	         47.59亿	19980115	
600180	瑞茂通	-0.32	-2.37	13.16	-0.32	13.14	13.15	315828	0.53	         12.23	13.88	13.88	12.69	13.48	    34.51	421706112	      25827.00	山东	         33.99亿	19980703	
600270	外运发展	-0.70	-4.19	16.02	-0.70	16.01	16.02	201251	-0.06	          6.08	16.80	17.01	15.52	16.72	    27.52	326325696	      33084.39	北京	         53.00亿	20001228	
600787	中储股份	0.00	0.00	9.27	0.00	9.27	9.28	1037902	0.00	          6.18	9.31	9.36	8.80	9.27	    29.31	945203712	     168020.56	天津	        155.76亿	19970121	
600794	保税科技	0.73	5.12	14.99	0.73	14.98	15.00	263320	0.94	          5.72	14.17	15.03	13.69	14.26	    49.65	377349184	      46055.19	江苏	         69.04亿	19970306	
603128	华贸物流	-0.77	-5.24	13.93	-0.77	13.93	13.94	121410	-0.21	          7.59	14.51	14.53	13.63	14.70	    52.27	170451776	      16000.00	上海	         22.29亿	20120529	
数据来源:通达信
