代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000593	大通燃气	-0.39	-4.17	8.96	-0.39	8.95	8.96	114792	0.00	          5.14	9.37	9.38	8.57	9.35	   241.94	103101272	      22317.48	四川	         20.00亿	19960312	
000669	金鸿能源	-0.91	-3.73	23.48	-0.91	23.45	23.48	29525	0.34	          1.29	24.39	24.60	23.00	24.39	    30.22	69725240	      22855.91	吉林	         53.67亿	19961210	
000692	惠天热电	-0.18	-3.79	4.57	-0.18	4.56	4.57	194785	0.21	          3.66	4.75	4.77	4.48	4.75	--  	89963280	      53278.89	辽宁	         24.35亿	19970227	
000695	滨海能源	1.22	8.62	15.38	1.22	15.37	15.38	64939	1.45	          2.93	14.09	15.45	13.50	14.16	--  	92232288	      22172.13	天津	         34.10亿	19970218	
002267	陕天然气	-0.67	-5.46	11.60	-0.67	11.60	11.61	171826	-0.42	          1.72	12.28	12.35	11.05	12.27	    29.27	203592496	      99710.15	陕西	        115.66亿	20080813	
002700	新疆浩源	--  	--  	25.29	--  	--  	--  	0	--  	          0.00	--  	--  	--  	25.29	    56.88	0	       9564.16	新疆	         24.19亿	20120921	
300335	迪森股份	-0.84	-5.61	14.12	-0.84	14.12	14.13	87297	-0.14	          5.41	14.96	14.96	13.99	14.96	    82.38	124289928	      16142.98	广东	         22.79亿	20120710	
600167	联美控股	-0.72	-4.80	14.29	-0.72	14.29	14.30	43576	0.00	          2.07	15.06	15.06	14.26	15.01	    19.09	63046196	      21100.00	辽宁	         30.15亿	19990128	
600333	长春燃气	-0.44	-5.04	8.29	-0.44	8.28	8.29	210012	-0.12	          4.23	8.69	8.69	8.19	8.73	   303.98	176649728	      49601.98	吉林	         41.12亿	20001211	
600617	国新能源	0.00	0.00	30.09	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	30.09	    42.79	0	      10263.63	山西	         30.88亿	19921013	
600635	大众公用	-0.45	-5.24	8.13	-0.45	8.13	8.14	1535323	-0.24	          9.33	8.40	8.55	7.81	8.58	    49.72	1263404800	     164486.98	上海	        133.73亿	19930304	
600719	大连热电	-0.56	-5.96	8.84	-0.56	8.83	8.84	61212	0.00	          3.03	9.40	9.44	8.52	9.40	--  	55030644	      20229.98	辽宁	         17.88亿	19960716	
600758	红阳能源	-0.57	-5.78	9.30	-0.57	9.30	9.31	46135	-0.10	          4.01	9.88	9.88	9.10	9.87	   193.80	43615416	      11505.03	辽宁	         10.70亿	19961029	
600917	重庆燃气	-0.68	-5.39	11.93	-0.68	11.92	11.93	243961	0.08	         15.64	12.58	12.58	11.69	12.61	    52.23	295718464	      15600.00	重庆	         18.61亿	20140930	
600982	宁波热电	-0.19	-2.52	7.36	-0.19	7.36	7.37	263307	0.13	          6.27	7.56	7.72	7.01	7.55	    34.44	194963008	      42000.00	浙江	         30.91亿	20040706	
601139	深圳燃气	-0.38	-4.47	8.13	-0.38	8.13	8.14	215155	0.12	          1.13	8.51	8.51	8.01	8.51	    20.72	177194832	     190458.59	深圳	        154.84亿	20091225	
数据来源:通达信
