代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000020	深华发Ａ	--  	--  	8.03	--  	--  	--  	0	--  	          0.00	--  	--  	--  	8.03	  1721.69	0	       6467.54	深圳	          5.19亿	19920428	
000032	深桑达Ａ	-0.89	-7.12	11.61	-0.89	11.61	11.62	99619	-0.25	          4.28	12.41	12.45	11.50	12.50	--  	118506432	      23282.71	深圳	         27.03亿	19931028	
000050	深天马Ａ	-0.81	-3.57	21.90	-0.81	21.89	21.90	173445	-0.09	          3.02	22.69	22.70	21.50	22.71	    59.65	383154944	      57422.05	深圳	        125.75亿	19950315	
000058	深 赛 格	-0.31	-4.78	6.17	-0.31	6.17	6.18	187628	0.32	          3.49	6.49	6.52	6.00	6.48	    77.95	117352664	      53831.10	深圳	         33.21亿	19961226	
000068	华控赛格	-0.47	-4.76	9.41	-0.47	9.41	9.42	178090	0.00	          1.99	9.88	9.88	8.91	9.88	--  	168659568	      89667.14	深圳	         84.38亿	19970611	
000413	东旭光电	--  	--  	7.67	--  	--  	--  	0	--  	          0.00	--  	--  	--  	7.67	    25.34	0	     201866.91	河北	        154.83亿	19960925	
000532	力合股份	-0.74	-4.24	16.71	-0.74	16.70	16.71	195639	0.00	          5.71	17.45	17.51	15.71	17.45	   209.39	324947232	      34279.58	广东	         57.28亿	19940103	
000536	华映科技	-0.77	-3.94	18.75	-0.77	18.74	18.75	157730	-0.05	          6.30	19.49	19.49	18.45	19.52	    52.52	298331168	      25052.75	福建	         46.97亿	19931126	
000636	风华高科	-0.55	-5.79	8.95	-0.55	8.94	8.95	273551	0.11	          4.08	9.40	9.40	8.65	9.50	    86.07	247437664	      67093.63	广东	         60.05亿	19961129	
000670	盈方微	--  	--  	13.20	--  	--  	--  	0	--  	          0.00	--  	--  	--  	13.20	--  	0	      46400.64	湖北	         61.25亿	19961217	
000725	京东方Ａ	0.14	4.68	3.13	0.14	3.13	3.14	10525942	0.00	          9.15	3.07	3.28	2.98	2.99	    44.67	3311981312	    1150574.38	北京	        360.13亿	20010112	
