代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000002	万  科Ａ	-0.23	-1.97	11.46	-0.23	11.46	11.47	3123284	0.17	          3.23	11.73	12.10	11.10	11.69	    14.66	3617616896	     967191.31	深圳	       1108.40亿	19910129	
000009	中国宝安	-0.60	-4.30	13.35	-0.60	13.35	13.36	698432	0.00	          4.69	14.15	14.30	13.23	13.95	    57.84	955248128	     148966.91	深圳	        198.87亿	19910625	
000014	沙河股份	-0.72	-4.38	15.70	-0.72	15.69	15.70	76918	-0.19	          3.81	16.61	16.68	15.45	16.42	   178.37	122644824	      20170.51	深圳	         31.67亿	19920602	
000024	招商地产	-0.91	-4.63	18.74	-0.91	18.74	18.75	993035	-1.10	          9.68	19.89	19.98	18.10	19.65	    16.16	1910271104	     102629.85	深圳	        192.33亿	19930607	
000031	中粮地产	-0.33	-4.54	6.94	-0.33	6.94	6.95	1008324	0.00	          5.56	7.29	7.47	6.56	7.27	    60.10	709124672	     181372.02	深圳	        125.87亿	19931008	
000036	华联控股	-0.21	-4.99	4.00	-0.21	3.99	4.00	471807	0.00	          4.20	4.22	4.26	3.91	4.21	  3744.21	191241728	     112388.02	深圳	         44.96亿	19940617	
000040	宝安地产	-0.13	-2.30	5.51	-0.13	5.50	5.51	185001	0.00	          3.98	5.62	5.75	5.30	5.64	   135.61	103474232	      46443.83	深圳	         25.59亿	19940808	
000042	中洲控股	1.41	10.01	15.50	1.41	15.50	--  	335209	0.00	          7.00	14.27	15.50	13.35	14.09	    18.24	491638816	      47879.07	深圳	         74.21亿	19940921	
000043	中航地产	-0.48	-5.47	8.30	-0.48	8.30	8.31	332847	-0.24	          4.99	8.80	8.86	7.90	8.78	--  	281386176	      66696.14	深圳	         55.36亿	19940928	
000046	泛海控股	0.15	1.68	9.06	0.15	9.06	9.07	1131636	-0.11	          2.49	9.20	9.60	8.50	8.91	    86.33	1035953536	     454493.25	深圳	        411.77亿	19940912	
000402	金 融 街	0.14	1.54	9.26	0.14	9.26	9.27	2046351	-0.32	          6.85	9.50	9.79	8.99	9.12	    35.76	1925524608	     298624.31	北京	        276.53亿	19960626	
000505	珠江控股	0.01	0.13	7.99	0.01	7.98	7.99	152426	0.12	          4.23	8.21	8.60	7.72	7.98	--  	124219016	      36044.53	海南	         28.80亿	19921221	
000616	亿城投资	--  	--  	4.77	--  	--  	--  	0	--  	          0.00	--  	--  	--  	4.77	    27.09	0	     143022.64	辽宁	         68.22亿	19961108	
000667	美好集团	-0.16	-5.32	2.85	-0.16	2.84	2.85	1390835	0.00	          5.43	2.99	3.01	2.81	3.01	   194.57	402883104	     255959.23	云南	         72.95亿	19961205	
000736	中房地产	-0.56	-5.45	9.71	-0.56	9.71	9.74	52422	0.20	          4.09	10.16	10.30	9.52	10.27	    22.52	51631564	      12824.53	重庆	         12.45亿	19970425	
000797	中国武夷	0.47	3.91	12.49	0.47	12.49	12.50	217314	0.00	          6.50	12.18	13.00	11.96	12.02	    53.58	269713760	      33432.37	福建	         41.76亿	19970715	
000918	嘉凯城	-0.24	-5.62	4.03	-0.24	4.02	4.03	356277	0.00	          1.97	4.27	4.30	4.00	4.27	--  	146274256	     180419.16	湖南	         72.71亿	19990720	
002133	广宇集团	-0.26	-4.81	5.14	-0.26	5.13	5.14	184314	0.19	          4.05	5.39	5.39	5.05	5.40	    62.42	96143608	      45524.98	浙江	         23.40亿	20070427	
002146	荣盛发展	-0.78	-5.62	13.10	-0.78	13.09	13.10	593586	-0.30	          3.56	13.90	13.90	12.60	13.88	     9.05	786390272	     166646.34	河北	        218.31亿	20070808	
600048	保利地产	-0.23	-2.89	7.72	-0.23	7.72	7.73	4132214	0.25	          3.85	8.01	8.25	7.50	7.95	    10.22	3251672064	    1072974.50	广东	        828.34亿	20060731	
600067	冠城大通	-0.46	-5.87	7.38	-0.46	7.38	7.39	461790	-0.27	          3.88	7.79	7.89	7.31	7.84	    19.33	350239904	     119055.79	福建	         87.86亿	19970508	
600077	宋都股份	-0.06	-0.90	6.62	-0.06	6.61	6.62	216057	0.30	          1.98	6.67	6.74	6.37	6.68	   883.04	142142160	     109096.45	浙江	         72.22亿	19970520	
600158	中体产业	-0.75	-4.69	15.23	-0.75	15.24	15.25	476142	-0.26	          7.24	15.97	15.97	14.84	15.98	   145.84	732061440	      65749.53	天津	        100.14亿	19980327	
600162	香江控股	-0.37	-5.43	6.45	-0.37	6.44	6.45	288203	0.00	          3.75	6.82	6.98	6.39	6.82	    15.11	191040592	      76781.27	深圳	         49.52亿	19980609	
600173	卧龙地产	0.13	2.58	5.17	0.13	5.15	5.17	400652	0.19	          5.53	5.05	5.20	4.91	5.04	    39.96	203368432	      72505.74	浙江	         37.49亿	19990415	
600175	美都能源	0.00	0.00	5.79	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	5.79	   106.05	0	     143984.31	浙江	         83.37亿	19990408	
600208	新湖中宝	0.03	0.42	7.15	0.03	7.15	7.16	1852029	0.70	          2.96	7.03	7.65	6.78	7.12	    96.63	1343516416	     625768.63	浙江	        447.42亿	19990623	
600240	华业地产	0.00	0.00	7.19	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	7.19	    16.63	0	     142425.34	北京	        102.40亿	20000628	
600383	金地集团	-0.37	-3.71	9.60	-0.37	9.58	9.60	571495	-0.41	          1.27	9.94	10.35	9.15	9.97	    72.63	559604992	     449146.34	深圳	        431.18亿	20010412	
600393	东华实业	-0.11	-1.35	8.04	-0.11	8.00	8.03	162085	0.24	          5.60	8.19	8.20	7.43	8.15	   113.48	128319224	      28950.50	广东	         23.28亿	20010319	
600510	黑牡丹	0.00	0.00	7.09	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	7.09	    21.19	0	      79552.27	江苏	         56.40亿	20020618	
600565	迪马股份	0.20	4.13	5.04	0.20	5.03	5.04	457210	0.39	          6.35	4.84	5.09	4.60	4.84	    56.49	221442448	      72000.00	重庆	         36.29亿	20020723	
600621	华鑫股份	-0.46	-5.68	7.64	-0.46	7.64	7.65	256942	0.00	          4.90	8.09	8.09	7.53	8.10	    31.81	199165408	      52408.23	上海	         40.04亿	19921202	
600657	信达地产	-0.50	-7.35	6.30	-0.50	6.30	6.31	641355	-0.31	          4.21	6.66	6.70	6.12	6.80	    28.71	412640352	     152426.05	北京	         96.03亿	19930524	
600665	天地源	-0.22	-4.80	4.36	-0.22	4.35	4.36	224017	0.00	          2.59	4.58	4.60	4.30	4.58	    25.29	99264720	      86412.25	上海	         37.68亿	19930709	
600684	珠江实业	-0.35	-4.86	6.85	-0.35	6.84	6.85	422661	-0.29	          5.94	7.20	7.20	6.70	7.20	    20.22	294151520	      71121.72	广东	         48.72亿	19931028	
600748	上实发展	-0.57	-5.02	10.78	-0.57	10.77	10.78	328433	-0.27	          3.03	11.37	11.37	10.41	11.35	    11.98	356783936	     108337.09	上海	        116.79亿	19960925	
600767	运盛实业	0.00	0.00	11.18	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	11.18	   211.69	0	      34091.01	上海	         38.11亿	19961115	
600791	京能置业	-0.35	-5.15	6.44	-0.35	6.42	6.43	175079	0.62	          3.87	6.80	6.80	6.25	6.79	    32.13	113744304	      45231.37	北京	         29.13亿	19970130	
600823	世茂股份	-0.35	-2.68	12.70	-0.35	12.69	12.70	337464	-0.39	          2.88	13.05	13.53	12.45	13.05	    14.47	435983328	     117059.53	上海	        148.67亿	19940204	
600862	南通科技	0.33	2.96	11.49	0.33	11.49	11.50	629184	0.00	          9.86	11.26	12.00	10.81	11.16	--  	717382976	      63792.85	江苏	         73.30亿	19940520	
数据来源:通达信
