代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000055	方大集团	-0.07	-0.64	10.86	-0.07	10.85	10.86	116297	0.83	          2.77	10.93	10.95	10.30	10.93	   103.96	123348088	      42017.94	深圳	         45.63亿	19960415	
000509	华塑控股	-0.15	-2.67	5.47	-0.15	5.47	5.48	260446	0.00	          4.93	5.62	5.79	5.39	5.62	   277.10	145929792	      52805.69	四川	         28.88亿	19930507	
000619	海螺型材	-0.42	-4.94	8.08	-0.42	8.07	8.08	128439	0.00	          3.57	8.48	8.48	7.88	8.50	    21.26	104793056	      36000.00	安徽	         29.09亿	19961023	
000786	北新建材	-0.52	-2.37	21.45	-0.52	21.41	21.45	96076	0.70	          1.67	22.16	22.18	20.50	21.97	    15.96	202900032	      57509.30	北京	        123.36亿	19970606	
002043	兔 宝 宝	-0.41	-5.92	6.52	-0.41	6.52	6.53	234943	0.00	          5.05	6.91	6.91	6.24	6.93	    76.96	154711680	      46568.10	浙江	         30.36亿	20050510	
002066	瑞泰科技	-0.64	-6.04	9.95	-0.64	9.95	9.99	128203	-0.10	          5.55	10.65	10.78	9.63	10.59	   212.06	130417168	      23100.00	北京	         22.98亿	20060823	
002205	国统股份	-0.97	-4.83	19.10	-0.97	19.02	19.10	80537	1.43	          6.93	20.05	20.05	18.68	20.07	    43.29	153821168	      11615.20	新疆	         22.19亿	20080123	
002225	濮耐股份	-0.40	-5.01	7.58	-0.40	7.57	7.58	268130	0.13	          6.28	7.96	7.96	7.38	7.98	    37.42	205023184	      42723.01	河南	         32.38亿	20080425	
002271	东方雨虹	-1.58	-4.73	31.82	-1.58	31.81	31.82	42719	0.03	          1.96	33.40	33.40	30.85	33.40	    23.17	136556848	      21825.31	北京	         69.45亿	20080910	
002314	雅致股份	-0.23	-4.06	5.44	-0.23	5.44	5.45	109251	-0.18	          1.88	5.69	5.70	5.30	5.67	--  	60052340	      57977.46	深圳	         31.54亿	20091203	
002372	伟星新材	-0.54	-3.82	13.58	-0.54	13.58	13.59	50265	0.00	          1.31	14.10	14.22	13.48	14.12	    15.92	69112064	      38494.82	浙江	         52.28亿	20100318	
002392	北京利尔	-0.11	-0.90	12.16	-0.11	12.15	12.16	210504	0.33	          8.40	12.21	12.50	11.80	12.27	    27.79	254918656	      25068.18	北京	         30.48亿	20100423	
002468	艾迪西	-0.01	-0.07	13.80	-0.01	13.79	13.80	227968	0.21	          6.87	13.50	14.09	12.45	13.81	   270.58	306390464	      33177.60	浙江	         45.79亿	20100908	
002596	海南瑞泽	-0.58	-5.27	10.42	-0.58	10.42	10.44	87079	-0.28	          5.36	10.99	11.00	10.35	11.00	   103.29	92430288	      16256.37	海南	         16.94亿	20110707	
002624	金磊股份	-0.01	-0.05	19.25	-0.01	19.24	19.25	22009	0.00	          1.40	19.26	19.48	18.48	19.26	--  	41683992	      15725.00	浙江	         30.27亿	20111028	
002652	扬子新材	-0.61	-3.61	16.29	-0.61	16.28	16.29	28570	0.00	          6.77	16.90	16.95	16.08	16.90	    72.95	46768528	       4218.14	江苏	          6.87亿	20120119	
002671	龙泉股份	-0.41	-3.79	10.40	-0.41	10.39	10.40	97621	0.00	          5.32	10.81	10.81	10.08	10.81	    29.17	101778360	      18332.99	山东	         19.07亿	20120426	
300080	新大新材	-0.40	-4.09	9.37	-0.40	9.37	9.38	98317	-0.10	          3.10	9.77	9.77	9.22	9.77	    64.31	92911640	      31731.83	河南	         29.73亿	20100625	
300163	先锋新材	-0.92	-6.97	12.28	-0.92	12.27	12.28	53810	-0.08	          5.65	13.21	13.21	12.00	13.20	    70.67	67581256	       9525.91	浙江	         11.70亿	20110113	
300344	太空板业	-0.57	-6.05	8.85	-0.57	8.85	8.86	64443	0.00	          6.18	9.40	9.41	8.63	9.42	  1487.35	57973760	      10422.41	北京	          9.22亿	20120801	
600321	国栋建设	-0.15	-4.42	3.24	-0.15	3.23	3.24	667497	0.30	          5.65	3.40	3.42	3.13	3.39	   327.16	218339824	     118088.00	四川	         38.26亿	20010524	
数据来源:通达信
