代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000061	农 产 品	-0.62	-5.03	11.70	-0.62	11.70	11.71	474871	0.00	          2.96	12.28	12.28	11.38	12.32	   248.75	561780544	     160569.73	深圳	        187.87亿	19970110	
000735	罗 牛 山	-0.38	-4.39	8.28	-0.38	8.28	8.29	733134	0.00	          8.33	8.58	8.65	7.96	8.66	    99.15	610953792	      88008.24	海南	         72.87亿	19970611	
000860	顺鑫农业	-0.52	-2.94	17.19	-0.52	17.19	17.20	154511	0.11	          3.52	17.77	17.77	17.00	17.71	    26.05	268011168	      43852.50	北京	         75.38亿	19981104	
002173	千足珍珠	--  	--  	13.08	--  	--  	--  	0	--  	          0.00	--  	--  	--  	13.08	   580.56	0	      10804.87	浙江	         14.13亿	20070925	
002234	*ST民和	-0.46	-4.57	9.60	-0.46	9.60	9.62	139820	0.41	          6.77	10.05	10.05	9.56	10.06	    39.52	135544432	      20664.49	山东	         19.84亿	20080516	
002299	圣农发展	-0.68	-4.73	13.69	-0.68	13.68	13.69	158074	-0.07	          1.76	14.31	14.32	13.43	14.37	    73.95	218122736	      89911.54	福建	        123.09亿	20091021	
002321	华英农业	-0.28	-3.54	7.62	-0.28	7.61	7.62	227467	0.52	          5.38	7.90	7.90	7.43	7.90	  2092.21	173435136	      42318.25	河南	         32.25亿	20091216	
002458	益生股份	-0.40	-3.05	12.70	-0.40	12.69	12.70	39634	2.09	          2.79	13.00	13.03	12.24	13.10	--  	49916364	      14182.44	山东	         18.01亿	20100810	
002477	雏鹰农牧	-0.48	-4.52	10.14	-0.48	10.14	10.15	269705	0.09	          5.67	10.64	10.67	9.85	10.62	--  	275179008	      47586.83	河南	         48.25亿	20100915	
002505	大康牧业	-0.16	-2.10	7.45	-0.16	7.45	7.46	412289	-0.13	          7.42	7.60	7.60	7.02	7.61	  1522.76	305730368	      55551.64	湖南	         41.39亿	20101118	
002714	牧原股份	-2.49	-4.42	53.90	-2.49	53.90	53.99	22380	-0.18	          3.70	55.96	55.96	52.85	56.39	  3624.35	120361880	       6050.00	河南	         32.61亿	20140128	
300021	大禹节水	-0.71	-4.43	15.31	-0.71	15.31	15.32	95967	0.00	          5.73	16.02	16.02	15.18	16.02	   258.40	148491424	      16750.81	甘肃	         25.65亿	20091030	
300106	西部牧业	-0.44	-3.03	14.06	-0.44	13.98	14.06	48711	0.57	          3.04	14.48	14.60	13.48	14.50	    55.33	68538464	      16038.95	新疆	         22.55亿	20100820	
300186	大华农	-0.42	-4.73	8.46	-0.42	8.46	8.50	84529	0.00	          2.14	8.86	8.87	8.40	8.88	    55.98	72750840	      39517.92	广东	         33.43亿	20110308	
300268	万福生科	--  	--  	5.65	--  	--  	--  	0	--  	          0.00	--  	--  	--  	5.65	--  	0	       3400.00	湖南	          1.92亿	20110927	
300313	天山生物	--  	--  	23.69	--  	--  	--  	0	--  	          0.00	--  	--  	--  	23.69	   258.62	0	       4177.81	新疆	          9.90亿	20120425	
600108	亚盛集团	-0.31	-3.20	9.37	-0.31	9.37	9.38	1800721	0.00	          9.25	9.93	10.00	9.05	9.68	    75.56	1714438400	     194691.52	甘肃	        182.43亿	19970818	
600127	金健米业	-0.23	-3.73	5.93	-0.23	5.92	5.93	244884	-0.16	          4.50	6.16	6.19	5.76	6.16	--  	146348304	      54445.96	湖南	         32.29亿	19980506	
600251	冠农股份	-1.24	-6.04	19.28	-1.24	19.27	19.28	196518	-0.51	          5.43	20.48	20.48	18.99	20.52	    36.31	385507360	      36210.00	新疆	         69.81亿	20030609	
600275	武昌鱼	-0.32	-5.55	5.45	-0.32	5.44	5.45	195044	-0.18	          3.83	5.77	5.77	5.32	5.77	--  	107877168	      50883.71	湖北	         27.73亿	20000810	
600359	新农开发	-0.39	-3.25	11.61	-0.39	11.62	11.63	152829	-0.17	          4.76	12.00	12.16	10.96	12.00	--  	177641280	      32100.00	新疆	         37.27亿	19990429	
600965	福成五丰	-0.42	-4.06	9.93	-0.42	9.92	9.93	157561	-0.50	          4.34	10.35	10.35	9.82	10.35	    87.90	158063936	      36322.42	河北	         36.07亿	20040713	
600975	新五丰	-0.81	-7.40	10.14	-0.81	10.14	10.15	99658	-0.19	          4.25	10.81	10.90	10.05	10.95	--  	103088752	      23436.00	湖南	         23.76亿	20040609	
数据来源:通达信
