代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000155	川化股份	0.72	9.99	7.93	0.72	7.93	--  	292057	0.00	          6.21	7.26	7.93	7.25	7.21	--  	228470864	      47000.00	四川	         37.27亿	20000926	
000422	湖北宜化	-0.25	-3.60	6.69	-0.25	6.68	6.69	417493	-0.14	          4.78	6.94	7.05	6.53	6.94	   247.84	283057408	      87374.47	湖北	         58.45亿	19960815	
000525	红 太 阳	-0.74	-4.29	16.51	-0.74	16.50	16.51	143364	-0.06	          2.83	17.25	17.25	16.18	17.25	    15.78	239021680	      50698.30	江苏	         83.70亿	19931028	
000553	沙隆达Ａ	-0.46	-3.37	13.20	-0.46	13.20	13.21	141038	0.07	          3.88	13.69	13.73	13.05	13.66	    13.71	188004608	      36389.37	湖北	         48.03亿	19931203	
000731	四川美丰	-0.31	-3.65	8.18	-0.31	8.18	8.19	281247	0.00	          4.76	8.49	8.53	8.04	8.49	--  	232138688	      59134.76	四川	         48.37亿	19970617	
000792	盐湖股份	-0.27	-1.19	22.39	-0.27	22.38	22.39	298001	0.04	          2.78	22.69	23.39	21.45	22.66	    40.91	671685696	     107353.50	青海	        240.36亿	19970904	
000830	鲁西化工	-0.21	-4.28	4.70	-0.21	4.70	4.71	663384	0.21	          4.53	4.93	4.93	4.65	4.91	    17.09	316618432	     146398.02	山东	         68.81亿	19980807	
000902	新洋丰	-0.91	-5.83	14.69	-0.91	14.69	14.70	127715	0.00	          4.95	15.60	15.60	14.21	15.60	    15.41	190111520	      25800.00	湖北	         37.90亿	19990408	
000912	泸 天 化	0.18	2.46	7.49	0.18	7.48	7.49	148272	0.13	          5.55	7.39	7.54	7.01	7.31	--  	108875608	      26715.00	四川	         20.01亿	19990603	
000950	建峰化工	-0.26	-4.26	5.84	-0.26	5.84	5.85	109951	-0.17	          1.84	6.08	6.10	5.72	6.10	--  	64783192	      59879.92	重庆	         34.97亿	19990916	
000953	河池化工	-0.28	-3.19	8.49	-0.28	8.46	8.49	73547	0.47	          2.50	8.78	8.81	8.30	8.77	    42.34	62380732	      29404.15	广西	         24.96亿	19991202	
002004	华邦颖泰	-0.33	-1.75	18.52	-0.33	18.52	18.53	88372	0.00	          2.07	18.86	18.87	18.30	18.85	    25.44	164378464	      42785.39	重庆	         79.24亿	20040625	
002018	华星化工	--  	--  	13.99	--  	--  	--  	0	--  	          0.00	--  	--  	--  	13.99	   162.62	0	      44739.51	安徽	         62.59亿	20040713	
002113	天润控股	--  	--  	16.76	--  	--  	--  	0	--  	          0.00	--  	--  	--  	16.76	  2673.89	0	      11839.71	湖南	         19.84亿	20070208	
002170	芭田股份	-0.44	-4.70	8.92	-0.44	8.91	8.92	261461	0.22	          4.15	9.37	9.46	8.68	9.36	    38.42	234159904	      62999.89	深圳	         56.20亿	20070919	
002215	诺 普 信	-0.50	-4.79	9.93	-0.50	9.92	9.93	104938	0.00	          2.03	10.40	10.40	9.61	10.43	    29.43	104653016	      51575.60	深圳	         51.21亿	20080218	
002258	利尔化学	-0.79	-4.71	15.99	-0.79	15.98	15.99	26873	0.31	          1.34	16.80	16.80	15.70	16.78	    27.60	43364928	      20107.91	四川	         32.15亿	20080708	
002274	华昌化工	-0.37	-4.87	7.22	-0.37	7.21	7.22	167708	0.00	          3.42	7.57	7.57	7.00	7.59	--  	122264920	      49063.26	江苏	         35.42亿	20080925	
002391	长青股份	-0.61	-3.70	15.89	-0.61	15.88	15.89	45624	-0.12	          2.95	16.50	16.50	15.80	16.50	    21.22	73278816	      15482.99	江苏	         24.60亿	20100416	
002470	金正大	-1.50	-5.00	28.50	-1.50	28.50	28.54	115494	-0.14	          1.95	29.90	29.90	28.00	30.00	    20.50	330640320	      59254.00	山东	        168.87亿	20100908	
002496	辉丰股份	0.71	2.52	28.88	0.71	28.88	28.90	149988	-0.10	          8.13	26.77	29.70	26.57	28.17	    44.10	424203712	      18456.77	江苏	         53.30亿	20101109	
002513	蓝丰生化	-0.58	-4.25	13.08	-0.58	13.07	13.08	77573	0.00	          3.64	13.66	13.74	12.59	13.66	--  	101499400	      21312.00	江苏	         27.88亿	20101203	
002538	司尔特	-0.25	-1.58	15.60	-0.25	15.58	15.60	82757	1.43	          2.92	16.00	16.01	15.01	15.85	    32.82	127588224	      28379.00	安徽	         44.27亿	20110118	
002539	新都化工	--  	--  	17.48	--  	--  	--  	0	--  	          0.00	--  	--  	--  	17.48	    48.83	0	      13581.16	四川	         23.74亿	20110118	
002588	史丹利	-0.98	-2.80	34.00	-0.98	33.90	34.00	36036	-1.24	          2.19	35.00	35.20	33.01	34.98	    17.63	121788128	      16462.27	山东	         55.97亿	20110610	
300261	雅本化学	-0.77	-4.85	15.12	-0.77	15.00	15.12	40034	0.79	          1.41	15.70	15.80	14.65	15.89	   100.19	60604460	      28487.67	江苏	         43.07亿	20110906	
600096	云天化	0.00	0.00	9.80	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	9.80	--  	0	      52126.35	云南	         51.08亿	19970709	
600226	升华拜克	-0.47	-4.81	9.30	-0.47	9.27	9.29	222877	-0.32	          5.50	9.76	9.76	8.90	9.77	    29.23	208487776	      40554.92	浙江	         37.72亿	19991116	
600227	赤天化	0.00	0.00	2.84	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	2.84	--  	0	      95039.25	贵州	         26.99亿	20000221	
600230	沧州大化	-0.42	-3.55	11.41	-0.42	11.41	11.42	111928	0.08	          3.80	11.80	11.85	11.18	11.83	--  	128743712	      29418.82	河北	         33.57亿	20000406	
600389	江山股份	-1.11	-3.62	29.59	-1.11	29.60	29.61	56687	0.00	          2.86	30.80	30.80	29.12	30.70	    23.27	168996224	      19800.00	江苏	         58.59亿	20010110	
600423	柳化股份	-0.31	-5.00	5.89	-0.31	5.88	5.90	145186	0.00	          3.64	6.20	6.21	5.68	6.20	--  	86055088	      39934.75	广西	         23.52亿	20030717	
600426	华鲁恒升	-0.49	-4.92	9.47	-0.49	9.46	9.48	511599	-0.10	          5.36	9.96	9.97	9.40	9.96	    10.90	492841344	      95362.50	山东	         90.31亿	20020620	
600470	六国化工	-0.31	-4.35	6.81	-0.31	6.81	6.82	276634	0.14	          5.30	7.13	7.16	6.61	7.12	--  	190489312	      52160.00	安徽	         35.52亿	20040305	
600486	扬农化工	-1.26	-4.62	25.99	-1.26	25.98	26.00	80506	-0.15	          3.12	27.25	27.29	25.88	27.25	    15.87	212048160	      25824.91	江苏	         67.12亿	20020425	
600538	国发股份	-0.44	-4.46	9.42	-0.44	9.42	9.44	121313	0.10	          4.34	9.81	9.93	9.00	9.86	--  	114029424	      27921.59	广西	         26.30亿	20030114	
600596	新安股份	-0.47	-4.33	10.38	-0.47	10.38	10.39	362209	0.28	          5.33	10.86	10.90	10.12	10.85	    56.01	380235744	      67918.46	浙江	         70.50亿	20010906	
600691	阳煤化工	-0.30	-5.39	5.27	-0.30	5.27	5.28	780267	0.19	          8.64	5.57	5.57	5.12	5.57	--  	415309920	      90260.89	四川	         47.57亿	19931119	
600727	鲁北化工	-0.27	-4.17	6.21	-0.27	6.21	6.22	103939	0.00	          2.96	6.45	6.47	6.03	6.48	   200.26	64974576	      35092.66	山东	         21.79亿	19960702	
600731	湖南海利	-0.44	-4.71	8.91	-0.44	8.95	8.96	101286	1.24	          3.96	9.35	9.35	8.70	9.35	   555.53	90254560	      25557.66	湖南	         22.77亿	19960802	
600796	钱江生化	-0.31	-3.88	7.67	-0.31	7.66	7.68	125406	-0.26	          4.16	7.90	7.97	7.58	7.98	    63.30	96557840	      30140.21	浙江	         23.12亿	19970408	
600803	威远生化	-0.64	-4.77	12.79	-0.64	12.78	12.79	88407	-0.07	          2.51	13.40	13.40	12.70	13.43	    17.53	114616848	      35281.87	河北	         45.13亿	19940103	
数据来源:通达信
