代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000504	*ST传媒	--  	--  	7.13	--  	--  	--  	0	--  	          0.00	--  	--  	--  	7.13	--  	0	      30997.25	湖南	         22.10亿	19921208	
000719	大地传媒	-0.49	-3.03	15.70	-0.49	15.70	15.71	61149	0.31	          5.74	16.18	16.18	15.20	16.19	    21.85	95682856	      10650.59	河南	         16.72亿	19970331	
000793	华闻传媒	-0.31	-2.56	11.79	-0.31	11.78	11.79	556275	0.34	          4.09	12.10	12.10	11.60	12.10	    21.60	656617984	     135938.25	海南	        160.27亿	19970729	
002181	粤 传 媒	-0.78	-4.52	16.48	-0.78	16.48	16.49	135581	0.06	          6.22	17.24	17.24	15.99	17.26	    72.04	226159440	      21802.38	广东	         35.93亿	20071116	
300148	天舟文化	-1.00	-4.72	20.20	-1.00	20.19	20.20	58755	0.09	          2.59	21.18	21.20	19.90	21.20	    86.76	120384640	      22698.09	湖南	         45.85亿	20101215	
600373	中文传媒	0.22	1.46	15.28	0.22	15.26	15.27	372298	0.00	          3.14	15.08	15.46	14.62	15.06	    20.66	563951296	     118568.14	江西	        181.17亿	20020304	
600551	时代出版	-1.13	-6.06	17.51	-1.13	17.51	17.53	142016	-0.22	          2.81	18.61	18.66	17.00	18.64	    23.37	254409056	      50582.53	安徽	         88.57亿	20020905	
600633	浙报传媒	-0.92	-5.02	17.41	-0.92	17.41	17.42	379837	0.05	          3.35	18.35	18.39	16.99	18.33	    37.98	671341312	     113407.17	浙江	        197.44亿	19930304	
600757	长江传媒	-0.29	-2.99	9.41	-0.29	9.39	9.40	339113	-0.52	          6.47	9.69	9.69	9.17	9.70	    33.77	320393152	      52410.60	湖北	         49.32亿	19961003	
600825	新华传媒	-0.89	-6.96	11.89	-0.89	11.88	11.89	562182	0.42	          5.38	12.71	12.71	11.53	12.78	   507.33	678628224	     104488.78	上海	        124.24亿	19940204	
601098	中南传媒	0.30	1.92	15.89	0.30	15.88	15.89	349222	-0.31	          1.94	15.80	16.45	15.56	15.59	    22.93	559051456	     179600.00	湖南	        285.38亿	20101028	
601801	皖新传媒	-0.61	-3.56	16.51	-0.61	16.42	16.44	97947	0.67	          1.08	17.15	17.22	16.00	17.12	    19.70	162657328	      91000.00	安徽	        150.24亿	20100118	
601928	凤凰传媒	0.00	0.00	10.61	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	10.61	    27.58	0	      65788.35	江苏	         69.80亿	20111130	
601999	出版传媒	-1.33	-9.62	12.50	-1.33	12.50	12.55	333930	-0.07	          6.06	13.65	13.70	12.45	13.83	   111.11	430872768	      55091.46	辽宁	         68.86亿	20071221	
数据来源:通达信
