代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000153	丰原药业	-0.56	-3.77	14.30	-0.56	14.29	14.30	76836	0.00	          2.59	14.85	14.85	14.01	14.86	    93.48	109902632	      29664.51	安徽	         42.42亿	20000920	
000566	海南海药	-0.12	-0.73	16.38	-0.12	16.38	16.39	109495	1.23	          2.31	16.50	16.59	16.10	16.50	    35.97	178739520	      47341.57	海南	         77.55亿	19940525	
000597	东北制药	-0.49	-3.99	11.78	-0.49	11.78	11.79	119339	0.00	          3.61	12.30	12.30	11.41	12.27	    71.52	142054096	      33099.16	辽宁	         38.99亿	19960523	
000606	青海明胶	-0.38	-4.90	7.37	-0.38	7.37	7.38	242661	0.00	          5.98	7.70	7.70	7.21	7.75	--  	180752048	      40596.35	青海	         29.92亿	19961004	
000739	普洛药业	-0.36	-4.16	8.29	-0.36	8.29	8.30	407012	-0.12	          5.40	8.64	8.64	8.11	8.65	    26.38	340862016	      75394.20	浙江	         62.50亿	19970509	
000756	新华制药	-0.38	-4.11	8.87	-0.38	8.86	8.87	199723	-0.11	          6.50	9.39	9.39	8.60	9.25	    63.25	178760480	      30731.27	山东	         27.26亿	19970806	
000788	北大医药	-0.16	-0.89	17.73	-0.16	17.73	17.74	251948	0.00	          4.51	17.81	18.14	17.33	17.89	   141.58	446303424	      55877.44	重庆	         99.07亿	19970616	
000952	广济药业	-0.35	-2.87	11.85	-0.35	11.84	11.85	81417	0.08	          3.23	12.18	12.18	11.65	12.20	--  	96523896	      25167.98	湖北	         29.82亿	19991112	
002001	新 和 成	-0.53	-3.36	15.26	-0.53	15.25	15.26	289385	-0.06	          2.70	15.80	15.92	14.91	15.79	    17.49	445110016	     107301.28	浙江	        163.74亿	20040625	
002019	亿帆鑫富	--  	--  	26.69	--  	--  	--  	0	--  	          0.00	--  	--  	--  	26.69	    79.11	0	      20541.85	浙江	         54.83亿	20040713	
002020	京新药业	-0.73	-3.72	18.90	-0.73	18.89	18.90	61694	0.15	          3.03	19.65	19.67	18.61	19.63	    43.65	117117664	      20373.47	浙江	         38.51亿	20040715	
002099	海翔药业	-0.45	-4.71	9.10	-0.45	9.10	9.11	110127	0.11	          4.24	9.56	9.56	9.00	9.55	   632.28	101587632	      25946.09	浙江	         23.61亿	20061226	
002262	恩华药业	-0.44	-1.65	26.20	-0.44	26.19	26.20	22525	-0.11	          0.68	26.50	26.50	25.95	26.64	    42.36	58968092	      32916.23	江苏	         86.24亿	20080723	
002294	信立泰	-0.75	-2.02	36.40	-0.75	36.37	36.40	70829	-0.02	          2.47	37.25	37.45	35.31	37.15	    23.75	257320576	      28698.46	深圳	        104.46亿	20090910	
002370	亚太药业	-0.56	-3.01	18.02	-0.56	18.02	18.07	35053	-0.33	          2.43	18.55	18.69	17.40	18.58	    98.54	63221004	      14417.91	浙江	         25.98亿	20100316	
002393	力生制药	-0.88	-2.43	35.30	-0.88	35.27	35.30	44086	-0.02	          2.43	36.20	36.29	34.27	36.18	    44.76	155431056	      18165.82	天津	         64.13亿	20100423	
002399	海普瑞	-0.81	-2.98	26.39	-0.81	26.32	26.39	90600	-0.78	          1.13	27.19	27.19	25.86	27.20	    70.68	238298032	      80020.00	深圳	        211.17亿	20100506	
002422	科伦药业	-1.25	-3.77	31.87	-1.25	31.87	31.88	101115	0.06	          2.85	33.12	33.13	31.76	33.12	    20.84	325780672	      35488.73	四川	        113.10亿	20100603	
002437	誉衡药业	--  	--  	23.75	--  	--  	--  	0	--  	          0.00	--  	--  	--  	23.75	    43.72	0	      70000.00	黑龙江	        166.25亿	20100623	
002653	海思科	-0.80	-4.02	19.10	-0.80	19.09	19.10	92826	0.15	          5.20	19.95	19.98	18.85	19.90	    43.40	179160624	      17864.27	西藏	         34.12亿	20120117	
002675	东诚药业	--  	--  	24.18	--  	--  	--  	0	--  	          0.00	--  	--  	--  	24.18	    39.89	0	      11869.20	山东	         28.70亿	20120525	
002688	金河生物	-0.86	-4.92	16.62	-0.86	16.61	16.62	70295	0.00	          6.48	17.50	17.53	16.20	17.48	    43.72	118037392	      10849.66	内蒙	         18.03亿	20120713	
002693	双成药业	--  	--  	13.81	--  	--  	--  	0	--  	          0.00	--  	--  	--  	13.81	    73.75	0	      13371.20	海南	         18.47亿	20120808	
