代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000510	金路集团	-0.34	-4.53	7.16	-0.34	7.16	7.17	251256	0.00	          4.12	7.50	7.52	7.07	7.50	--  	182143968	      60912.23	四川	         43.61亿	19930507	
000545	金浦钛业	-0.57	-3.89	14.10	-0.57	14.10	14.11	70897	0.00	          4.53	14.66	14.66	13.60	14.67	   117.24	100373568	      15637.36	吉林	         22.05亿	19931215	
000627	天茂集团	--  	--  	4.10	--  	--  	--  	0	--  	          0.00	--  	--  	--  	4.10	    28.37	0	     135358.98	湖北	         55.50亿	19961112	
000635	英 力 特	-0.60	-4.94	11.55	-0.60	11.54	11.55	83453	-0.08	          4.71	12.16	12.16	11.35	12.15	    33.22	97823160	      17706.10	宁夏	         20.45亿	19961120	
000683	远兴能源	-0.34	-6.03	5.30	-0.34	5.30	5.31	390989	-0.18	          5.09	5.64	5.68	5.20	5.64	    30.50	210572576	      76781.39	内蒙	         40.69亿	19970131	
000698	沈阳化工	-0.30	-5.50	5.15	-0.30	5.14	5.15	223440	0.00	          3.56	5.43	5.43	5.09	5.45	--  	116833688	      62709.67	辽宁	         32.30亿	19970220	
000707	双环科技	-0.25	-4.50	5.30	-0.25	5.29	5.30	130840	-0.18	          2.82	5.54	5.55	5.20	5.55	   151.02	70233912	      46414.33	湖北	         24.60亿	19970415	
000755	*ST三维	-0.25	-4.62	5.16	-0.25	5.16	5.17	146202	0.19	          3.12	5.40	5.40	5.14	5.41	   103.45	76123456	      46924.89	山西	         24.21亿	19970627	
000818	方大化工	-0.25	-5.35	4.42	-0.25	4.42	4.43	243142	0.22	          5.88	4.68	4.68	4.32	4.67	    53.65	109249624	      41382.21	辽宁	         18.29亿	19971017	
000822	*ST海化	-0.24	-4.99	4.57	-0.24	--  	4.57	254002	0.00	          2.84	4.77	4.85	4.57	4.81	    38.67	118401536	      89508.31	山东	         40.91亿	19980703	
000985	大庆华科	-1.06	-5.94	16.80	-1.06	16.80	16.81	26989	0.23	          2.08	17.66	17.70	16.08	17.86	    83.56	45833952	      12963.95	黑龙江	         21.78亿	20000726	
000990	诚志股份	-1.35	-7.46	16.74	-1.35	16.72	16.74	59372	0.84	          2.00	18.10	18.10	16.28	18.09	   227.41	100604528	      29702.83	江西	         49.72亿	20000706	
