代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000852	江钻股份	-1.04	-4.80	20.62	-1.04	20.62	20.63	88027	-0.04	          6.76	21.58	21.70	20.14	21.66	   197.46	182930240	      13012.21	湖北	         26.83亿	19981126	
002278	神开股份	-0.69	-5.24	12.47	-0.69	12.46	12.47	87497	0.00	          4.40	13.16	13.24	12.20	13.16	    53.90	110918472	      19879.42	上海	         24.79亿	20090811	
002337	赛象科技	-0.55	-2.83	18.88	-0.55	18.88	18.89	25970	-0.10	          1.41	19.25	19.42	18.71	19.43	    80.47	49346800	      18436.50	天津	         34.81亿	20100115	
002353	杰瑞股份	-1.45	-4.20	33.10	-1.45	33.10	33.11	208107	0.06	          3.92	34.57	34.77	32.20	34.55	    22.95	696816832	      53036.67	山东	        175.55亿	20100205	
002430	杭氧股份	-0.35	-4.12	8.15	-0.35	8.15	8.16	127180	-0.24	          1.57	8.51	8.54	8.05	8.50	    61.57	104874768	      80843.95	浙江	         65.89亿	20100610	
002490	山东墨龙	-0.49	-4.68	9.98	-0.49	9.97	9.98	137354	-0.20	          5.17	10.48	10.53	9.71	10.47	   592.77	138423888	      26542.63	山东	         26.49亿	20101021	
002564	张化机	-0.42	-4.49	8.93	-0.42	8.93	8.94	249357	0.11	          5.16	9.35	9.35	8.73	9.35	    89.31	225021488	      48357.53	江苏	         43.18亿	20110310	
002698	博实股份	-1.16	-4.24	26.20	-1.16	26.20	26.25	44992	0.19	          4.21	27.28	27.28	25.88	27.36	    48.42	118481536	      10692.99	黑龙江	         28.02亿	20120911	
300228	富瑞特装	-1.79	-3.57	48.35	-1.79	48.34	48.35	42626	0.00	          4.27	50.01	50.02	47.81	50.14	    27.06	207578496	       9991.25	江苏	         48.31亿	20110608	
600346	大橡塑	-0.48	-5.42	8.37	-0.48	8.37	8.38	94941	0.60	          3.94	8.69	8.73	8.10	8.85	--  	79823568	      24100.00	辽宁	         20.17亿	20010820	
600579	天华院	-0.34	-2.53	13.11	-0.34	13.00	13.05	236878	2.42	          9.27	13.80	13.80	12.25	13.45	   249.46	304028960	      25560.00	山东	         33.51亿	20020809	
601798	蓝科高新	-0.57	-4.16	13.13	-0.57	13.13	13.14	78405	-0.15	          2.21	13.73	13.75	12.85	13.70	   101.37	104042856	      35452.82	甘肃	         46.55亿	20110622	
数据来源:通达信
