代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000420	吉林化纤	-0.27	-4.66	5.52	-0.27	5.51	5.52	138593	0.18	          4.35	5.75	5.76	5.36	5.79	    31.08	77092104	      31830.68	吉林	         17.57亿	19960802	
000584	友利控股	--  	--  	6.85	--  	--  	--  	0	--  	          0.00	--  	--  	--  	6.85	    15.79	0	      61061.92	四川	         41.83亿	19951128	
000615	湖北金环	--  	--  	9.75	--  	--  	--  	0	--  	          0.00	--  	--  	--  	9.75	    98.80	0	      21167.25	湖北	         20.64亿	19961016	
000677	恒天海龙	-0.35	-5.88	5.60	-0.35	5.60	5.61	431609	0.17	          5.00	5.93	5.93	5.47	5.95	--  	245196384	      86394.82	山东	         48.38亿	19961226	
000687	恒天天鹅	--  	--  	5.40	--  	--  	--  	0	--  	          0.00	--  	--  	--  	5.40	--  	0	      70179.31	河北	         37.90亿	19970221	
000703	恒逸石化	-0.32	-4.02	7.64	-0.32	7.63	7.64	323587	0.00	          2.81	7.90	7.98	7.40	7.96	   540.31	249737872	     115358.77	广西	         88.13亿	19970328	
000782	美达股份	0.00	0.00	8.11	0.00	8.11	8.12	109172	0.49	          2.70	8.11	8.16	7.65	8.11	--  	86591672	      40450.87	广东	         32.81亿	19970619	
000936	华西股份	-0.74	-9.93	6.71	-0.74	--  	6.71	663227	0.00	          8.87	7.35	7.36	6.71	7.45	   127.80	455230656	      74768.59	江苏	         50.17亿	19990810	
000949	新乡化纤	-0.26	-5.62	4.37	-0.26	4.37	4.38	279355	-0.22	          3.37	4.61	4.61	4.27	4.63	    46.01	123601120	      82849.88	河南	         36.21亿	19991021	
000976	春晖股份	--  	--  	3.78	--  	--  	--  	0	--  	          0.00	--  	--  	--  	3.78	--  	0	      58663.19	广东	         22.17亿	20000601	
002015	*ST霞客	-0.22	-2.79	7.67	-0.22	7.66	7.67	112935	0.39	          5.15	7.83	7.86	7.55	7.89	--  	86957536	      21935.06	江苏	         16.82亿	20040708	
002064	华峰氨纶	-0.29	-2.70	10.44	-0.29	10.43	10.44	295524	-0.09	          4.43	10.73	10.94	10.19	10.73	    21.76	311341888	      66669.71	浙江	         69.60亿	20060823	
002080	中材科技	-0.32	-2.36	13.26	-0.32	13.26	13.27	73042	0.00	          1.83	13.65	13.72	12.88	13.58	    55.51	97292168	      40000.00	江苏	         53.04亿	20061120	
002172	澳洋科技	--  	--  	6.82	--  	--  	--  	0	--  	          0.00	--  	--  	--  	6.82	--  	0	      53754.96	江苏	         36.66亿	20070921	
002206	海 利 得	-0.30	-3.37	8.61	-0.30	8.60	8.61	103212	-0.11	          3.07	8.91	8.93	8.46	8.91	    21.07	89425648	      33630.10	浙江	         28.96亿	20080123	
002254	泰和新材	-0.26	-2.34	10.86	-0.26	10.85	10.86	128081	0.09	          2.52	11.14	11.17	10.51	11.12	    32.79	139145456	      50882.21	山东	         55.26亿	20080625	
002427	尤夫股份	-0.63	-4.66	12.89	-0.63	12.86	12.89	52369	0.54	          2.20	13.52	13.53	12.80	13.52	    34.55	68008600	      23818.07	浙江	         30.70亿	20100608	
002493	荣盛石化	-0.61	-4.90	11.84	-0.61	11.83	11.84	91263	0.08	          0.90	12.45	12.49	11.48	12.45	   818.34	109455840	     101907.50	浙江	        120.66亿	20101102	
300180	华峰超纤	-0.93	-4.05	22.06	-0.93	22.06	22.07	23970	0.00	          2.08	22.88	22.93	21.80	22.99	    31.71	53306808	      11531.30	上海	         25.44亿	20110222	
600061	中纺投资	2.22	9.98	24.46	2.22	24.46	--  	876165	0.00	         20.42	24.46	24.46	23.86	22.24	--  	2139908608	      42908.28	上海	        104.95亿	19970519	
600063	皖维高新	-0.03	-0.65	4.59	-0.03	4.57	4.58	1125771	0.00	          7.52	4.63	4.73	4.43	4.62	    42.39	519201472	     149785.31	安徽	         68.75亿	19970528	
600527	江南高纤	-0.21	-3.86	5.23	-0.21	5.22	5.23	332168	0.00	          4.14	5.43	5.45	5.17	5.44	    34.18	175584592	      80208.93	江苏	         41.95亿	20031127	
600810	神马股份	-0.36	-4.57	7.52	-0.36	7.51	7.52	124577	0.13	          2.82	7.90	7.92	7.40	7.88	    38.20	94817472	      44228.00	河南	         33.26亿	19940106	
600871	*ST仪化	0.21	4.90	4.50	0.21	4.50	--  	7690	0.00	          0.17	4.50	4.50	4.50	4.29	--  	3460343	      45000.00	江苏	         20.25亿	19950411	
600889	南京化纤	-0.47	-5.22	8.54	-0.47	8.53	8.54	131368	-0.11	          4.28	8.96	8.96	8.29	9.01	--  	113171720	      30706.92	江苏	         26.22亿	19960308	
601113	华鼎股份	-0.27	-4.33	5.96	-0.27	5.95	5.96	91811	0.16	          1.43	6.18	6.20	5.85	6.23	  1528.21	55200920	      64000.00	浙江	         38.14亿	20110509	
601233	桐昆股份	-0.39	-4.65	7.99	-0.39	7.98	7.99	218717	0.25	          2.28	8.37	8.38	7.81	8.38	   338.52	176736240	      95927.07	浙江	         76.65亿	20110518	
数据来源:通达信
