代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000005	世纪星源	-0.16	-4.02	3.82	-0.16	3.81	3.82	468690	0.00	          5.13	4.01	4.03	3.74	3.98	--  	181774752	      91374.29	深圳	         34.90亿	19901210	
000006	深振业Ａ	-0.24	-3.36	6.90	-0.24	6.89	6.90	672163	0.29	          5.02	7.14	7.29	6.68	7.14	    29.16	468723552	     133889.70	深圳	         92.38亿	19920427	
000011	深物业A	-0.36	-3.69	9.39	-0.36	9.39	9.40	170435	0.10	          9.69	9.81	9.85	8.98	9.75	    12.99	160358720	      17586.25	深圳	         16.51亿	19920330	
000029	深深房Ａ	-0.42	-6.09	6.48	-0.42	6.47	6.48	157507	0.62	          1.77	6.90	6.94	6.28	6.90	    86.25	103601264	      89166.00	深圳	         57.78亿	19930915	
000038	深大通	-1.23	-6.33	18.20	-1.23	18.19	18.20	17033	-0.16	          6.08	19.45	19.45	17.53	19.43	--  	31495016	       2803.19	深圳	          5.10亿	19940808	
000150	宜华地产	1.51	9.98	16.64	1.51	16.64	--  	263232	0.00	          8.12	16.64	16.64	15.51	15.13	  5065.80	430470976	      32400.00	广东	         53.91亿	20000807	
000502	绿景控股	-0.24	-2.14	10.98	-0.24	10.98	10.99	44337	-0.27	          2.42	11.15	11.16	10.66	11.22	--  	48642064	      18332.91	广东	         20.13亿	19921123	
000506	中润资源	--  	--  	6.97	--  	--  	--  	0	--  	          0.00	--  	--  	--  	6.97	--  	0	      92831.09	山东	         64.70亿	19930312	
000514	渝 开 发	--  	--  	7.08	--  	--  	--  	0	--  	          0.00	--  	--  	--  	7.08	    36.98	0	      84377.09	重庆	         59.74亿	19930712	
000517	荣安地产	--  	--  	9.53	--  	--  	--  	0	--  	          0.00	--  	--  	--  	9.53	    27.99	0	      22250.24	浙江	         21.20亿	19930806	
000534	万泽股份	-1.02	-10.01	9.17	-1.02	--  	9.17	244625	0.00	         11.62	10.19	10.25	9.17	10.19	    68.42	230267744	      21051.27	深圳	         19.30亿	19940110	
000537	广宇发展	-0.21	-2.50	8.19	-0.21	8.19	8.20	388431	0.00	          7.58	8.43	8.50	7.87	8.40	    12.81	316032064	      51271.33	天津	         41.99亿	19931210	
000540	中天城投	-0.48	-4.95	9.21	-0.48	9.21	9.22	789629	0.00	          6.17	9.99	9.99	8.93	9.69	     6.85	741789120	     127964.75	贵州	        117.86亿	19940202	
000558	莱茵置业	--  	--  	5.97	--  	--  	--  	0	--  	          0.00	--  	--  	--  	5.97	   112.23	0	      62975.35	浙江	         37.60亿	19940509	
000567	海德股份	-0.48	-3.38	13.72	-0.48	13.55	13.72	37971	0.36	          2.53	14.15	14.15	13.35	14.20	   177.16	51654064	      15036.08	海南	         20.63亿	19940525	
000573	粤宏远Ａ	-0.16	-3.24	4.78	-0.16	4.77	4.78	202451	0.00	          3.25	4.95	4.98	4.63	4.94	    99.63	97247792	      62228.57	广东	         29.75亿	19940815	
000608	阳光股份	-0.24	-4.76	4.80	-0.24	4.79	4.80	258213	0.00	          3.44	5.01	5.04	4.75	5.04	   150.96	125691416	      74991.32	广西	         36.00亿	19960919	
000609	绵世股份	--  	--  	13.87	--  	--  	--  	0	--  	          0.00	--  	--  	--  	13.87	   631.08	0	      27412.69	北京	         38.02亿	19961010	
000620	新华联	-0.32	-4.27	7.18	-0.32	7.18	7.19	251953	0.00	          1.58	7.70	7.70	6.93	7.50	    38.16	184069712	     159797.06	北京	        114.73亿	19961029	
000631	顺发恒业	-0.43	-5.84	6.93	-0.43	6.92	6.93	241384	0.00	          2.31	7.35	7.36	6.70	7.36	    23.01	170645040	     104550.97	吉林	         72.45亿	19961122	
000656	金科股份	-0.12	-0.86	13.85	-0.12	13.85	13.93	130771	-0.35	          2.81	13.94	14.45	13.50	13.97	    18.08	182323552	      46487.05	重庆	         64.38亿	19961128	
000668	荣丰控股	-0.56	-3.91	13.77	-0.56	13.77	13.78	17989	-0.72	          1.23	14.14	14.19	13.52	14.33	--  	24870050	      14668.41	上海	         20.20亿	19961210	
000671	阳 光 城	-0.23	-1.55	14.61	-0.23	14.60	14.61	207292	0.27	          2.01	14.82	14.83	13.80	14.84	    21.17	296198912	     103313.81	福建	        150.94亿	19961218	
000691	亚太实业	-0.31	-4.44	6.67	-0.31	6.66	6.67	173059	0.15	          5.96	6.96	6.96	6.53	6.98	--  	116281312	      29048.63	海南	         19.38亿	19970228	
000718	苏宁环球	-0.40	-6.50	5.75	-0.40	5.74	5.75	479372	-0.34	          3.26	6.18	6.20	5.57	6.15	   244.55	280682240	     146984.73	吉林	         84.52亿	19970408	
000732	泰禾集团	0.35	2.48	14.48	0.35	14.46	14.48	262416	0.00	          2.58	14.18	14.77	13.68	14.13	    17.85	375711040	     101577.28	福建	        147.08亿	19970704	
000809	铁岭新城	-1.02	-6.49	14.70	-1.02	14.70	14.71	117762	0.00	          3.26	15.67	15.67	14.57	15.72	  3377.28	175869904	      36085.78	辽宁	         53.05亿	19980616	
000838	国兴地产	-0.66	-6.09	10.18	-0.66	10.17	10.18	49799	-0.09	          3.06	10.77	10.82	10.10	10.84	    33.01	51534932	      16289.96	北京	         16.58亿	19970626	
000863	三湘股份	-0.55	-6.97	7.34	-0.55	7.34	7.35	175418	0.00	         10.05	7.82	7.97	7.15	7.89	   156.32	131276376	      17462.02	上海	         12.82亿	19970925	
000897	津滨发展	0.62	8.62	7.81	0.62	7.80	7.81	2488701	-0.25	         15.39	7.25	7.89	6.71	7.19	   417.26	1818855680	     161708.06	天津	        126.29亿	19990422	
000926	福星股份	-0.37	-3.76	9.47	-0.37	9.47	9.48	466116	0.00	          8.82	9.95	10.00	9.34	9.84	     8.73	448562080	      52853.94	湖北	         50.05亿	19990618	
000931	中 关 村	0.18	1.83	9.99	0.18	9.99	10.00	1430971	-0.10	         28.25	10.03	10.77	9.81	9.81	--  	1467202816	      50651.39	北京	         50.60亿	19990712	
000965	天保基建	0.56	5.89	10.06	0.56	10.06	10.07	285180	0.49	          4.12	9.37	10.08	8.80	9.50	    28.99	268316976	      69233.71	天津	         69.65亿	20000406	
000979	中弘股份	-0.27	-5.67	4.49	-0.27	4.49	4.50	906710	0.00	          4.72	4.81	4.87	4.30	4.76	    26.75	417123552	     192073.30	安徽	         86.24亿	20000616	
000981	银亿股份	-0.62	-5.23	11.23	-0.62	11.22	11.23	44284	0.00	          0.52	12.00	12.00	11.23	11.85	    20.58	50861492	      85810.52	甘肃	         96.37亿	20000622	
002016	世荣兆业	-0.34	-3.47	9.45	-0.34	9.44	9.45	285662	0.00	          4.42	9.75	9.77	8.95	9.79	   155.60	267073312	      64609.46	广东	         61.06亿	20040708	
002077	大港股份	-0.59	-6.07	9.13	-0.59	9.12	9.13	68348	0.10	          2.71	9.64	9.71	9.06	9.72	    47.04	63480924	      25200.00	江苏	         23.01亿	20061116	
