代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
002223	鱼跃医疗	-0.73	-2.66	26.70	-0.73	26.70	26.71	58622	0.00	          1.44	27.40	27.40	26.21	27.43	    42.19	157372528	      40844.92	江苏	        109.06亿	20080418	
002382	蓝帆医疗	-0.70	-3.14	21.60	-0.70	21.60	21.65	30685	-0.23	          1.28	22.23	22.47	21.38	22.30	   123.35	66807252	      23897.19	山东	         51.62亿	20100402	
002432	九安医疗	-1.16	-3.85	29.00	-1.16	29.00	29.01	89693	0.00	          2.41	29.99	29.99	27.32	30.16	--  	259512288	      37200.00	天津	        107.88亿	20100610	
002551	尚荣医疗	-0.97	-3.55	26.33	-0.97	26.33	26.36	97444	-0.30	          4.46	27.40	27.44	25.44	27.30	    82.28	256065040	      21865.44	深圳	         57.57亿	20110225	
002614	蒙发利	-0.62	-3.91	15.25	-0.62	15.25	15.26	86929	0.00	          5.21	16.05	16.08	15.03	15.87	    37.15	134165816	      16696.39	福建	         25.46亿	20110909	
300003	乐普医疗	0.68	2.73	25.58	0.68	25.56	25.58	130457	0.19	          1.90	24.90	25.62	23.84	24.90	    48.92	324083616	      68610.67	北京	        175.51亿	20091030	
300015	爱尔眼科	-1.52	-5.68	25.26	-1.52	25.26	25.27	98933	-0.15	          1.89	26.80	26.85	24.98	26.78	    48.56	254494480	      52327.30	湖南	        132.18亿	20091030	
300030	阳普医疗	-0.44	-3.16	13.50	-0.44	13.49	13.50	101062	-0.07	          4.19	13.97	14.03	13.20	13.94	    73.66	137514304	      24106.39	广东	         32.54亿	20091225	
300061	康耐特	-0.72	-4.79	14.30	-0.72	14.30	14.31	48800	0.06	          5.48	14.99	15.00	13.88	15.02	    60.52	70327696	       8909.37	上海	         12.74亿	20100319	
300171	东富龙	-1.02	-3.88	25.25	-1.02	25.23	25.25	40130	0.07	          2.55	26.20	26.24	24.80	26.27	    27.35	101825936	      15713.73	上海	         39.68亿	20110201	
300206	理邦仪器	-1.12	-5.50	19.26	-1.12	19.20	19.26	45017	0.46	          4.08	20.41	20.41	19.09	20.38	   249.29	87635456	      11044.70	深圳	         21.27亿	20110421	
300216	千山药机	--  	--  	37.00	--  	--  	--  	0	--  	          0.00	--  	--  	--  	37.00	    95.47	0	      12195.49	湖南	         45.12亿	20110511	
300238	冠昊生物	-1.98	-2.89	66.50	-1.98	66.50	66.51	15754	-0.03	          1.84	68.50	68.50	64.00	68.48	   216.92	105111112	       8538.84	广东	         56.78亿	20110706	
300244	迪安诊断	--  	--  	43.93	--  	--  	--  	0	--  	          0.00	--  	--  	--  	43.93	    76.21	0	      13692.08	浙江	         60.15亿	20110719	
300246	宝莱特	-0.82	-3.01	26.46	-0.82	26.45	26.46	31039	0.00	          2.99	27.06	27.27	26.10	27.28	   128.73	82472624	      10385.57	广东	         27.48亿	20110719	
300247	桑乐金	-0.55	-5.31	9.81	-0.55	9.80	9.81	110572	0.10	          6.68	10.33	10.33	9.61	10.36	   166.20	110117504	      16564.31	安徽	         16.25亿	20110729	
300273	和佳股份	-0.68	-3.09	21.30	-0.68	21.30	21.31	155703	0.00	          4.21	21.68	21.96	21.10	21.98	    49.69	332919008	      37004.05	广东	         78.82亿	20111026	
300298	三诺生物	-2.01	-5.12	37.23	-2.01	37.22	37.23	27850	-0.08	          4.45	39.24	39.30	37.18	39.24	    38.08	105219280	       6256.35	湖南	         23.29亿	20120319	
300314	戴维医疗	-2.32	-8.10	26.31	-2.32	26.31	26.32	41455	0.00	          9.54	28.66	28.66	25.97	28.63	    86.14	111299568	       4345.00	浙江	         11.43亿	20120508	
300318	博晖创新	--  	--  	21.32	--  	--  	--  	0	--  	          0.00	--  	--  	--  	21.32	    82.80	0	       6039.25	北京	         12.88亿	20120523	
300326	凯利泰	-1.81	-5.81	29.36	-1.81	29.36	29.37	34120	-0.06	          6.79	31.00	31.05	29.16	31.17	    89.52	101429504	       5025.00	上海	         14.75亿	20120613	
300347	泰格医药	-1.75	-5.21	31.85	-1.75	31.84	31.85	45224	0.00	          3.84	33.40	33.45	31.58	33.60	    60.56	145504432	      11786.29	浙江	         37.54亿	20120817	
300396	迪瑞医疗	-2.30	-2.42	92.60	-2.30	92.31	92.60	15292	0.54	          9.97	94.12	94.50	91.10	94.90	    59.64	141866368	       1534.00	吉林	         14.20亿	20140910	
600055	华润万东	-0.47	-2.01	22.92	-0.47	22.87	22.95	16464	-0.30	          0.76	23.50	23.63	22.16	23.39	   266.23	37595716	      21645.00	北京	         49.61亿	19970519	
600587	新华医疗	-0.86	-2.36	35.57	-0.86	35.52	35.53	116353	0.05	          3.34	36.45	36.48	34.60	36.43	    44.74	413996512	      34810.62	山东	        123.82亿	20020927	
600763	通策医疗	-0.86	-1.64	51.46	-0.86	51.45	51.46	24192	-0.07	          1.51	52.41	52.55	49.49	52.32	    68.06	122425304	      16032.00	浙江	         82.50亿	19961030	
数据来源:通达信
