代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000028	国药一致	-0.71	-1.47	47.75	-0.71	47.75	47.76	39126	-0.06	          1.68	48.40	48.40	46.90	48.46	    25.68	186958960	      23326.17	深圳	        111.38亿	19930809	
000411	英特集团	--  	--  	21.37	--  	--  	--  	0	--  	          0.00	--  	--  	--  	21.37	    63.59	0	      20363.83	浙江	         43.52亿	19960716	
000591	桐 君 阁	0.14	1.04	13.60	0.14	13.60	13.61	123052	0.00	          4.48	13.41	13.68	12.80	13.46	--  	163057200	      27463.09	重庆	         37.35亿	19960208	
000705	浙江震元	-0.40	-3.57	10.79	-0.40	10.79	10.80	126893	0.09	          4.65	11.19	11.19	10.46	11.19	    69.13	137939264	      27272.08	浙江	         29.43亿	19970410	
000963	华东医药	-1.01	-1.90	52.17	-1.01	52.17	52.18	38418	-0.05	          0.89	53.08	53.46	51.60	53.18	    30.96	200722512	      43404.41	浙江	        226.44亿	20000127	
002462	嘉事堂	1.43	6.04	25.11	1.43	25.10	25.11	152721	0.48	          7.80	23.71	25.90	23.65	23.68	    23.34	378872704	      19567.08	北京	         49.13亿	20100818	
002589	瑞康医药	1.55	4.88	33.28	1.55	33.28	33.29	60647	0.03	          4.18	31.74	33.72	31.52	31.73	    42.12	199003824	      14516.21	山东	         48.31亿	20110610	
002727	一心堂	-2.01	-4.20	45.89	-2.01	45.88	45.89	72651	0.02	         11.16	47.60	47.60	45.45	47.90	    39.75	334881344	       6510.00	云南	         29.87亿	20140702	
600056	中国医药	0.78	5.15	15.92	0.78	15.92	15.93	673521	-0.25	          7.62	15.22	16.61	15.05	15.14	    28.69	1067296576	      88445.85	北京	        140.81亿	19970515	
600511	国药股份	1.51	5.08	31.22	1.51	31.25	31.28	82412	0.51	          2.97	29.90	32.18	29.50	29.71	    29.91	254080528	      27764.33	北京	         86.68亿	20021127	
600713	南京医药	-0.17	-2.08	8.02	-0.17	8.02	8.03	266539	0.12	          3.84	8.22	8.34	7.81	8.19	   105.80	214846208	      69358.07	江苏	         55.63亿	19960701	
600833	第一医药	0.37	2.50	15.17	0.37	15.17	15.18	139793	0.13	          6.27	14.67	15.96	14.33	14.80	    87.16	212122448	      22308.63	上海	         33.84亿	19940224	
600998	九州通	-0.31	-1.82	16.76	-0.31	16.76	16.77	219239	0.11	          1.54	17.06	17.39	16.45	17.07	    69.84	370470784	     142051.56	湖北	        238.08亿	20101102	
601607	上海医药	-0.17	-1.05	15.98	-0.17	15.95	15.97	667503	-0.24	          3.47	16.22	16.80	15.60	16.15	    16.85	1079721088	     192293.50	上海	        307.29亿	19940324	
603368	柳州医药	3.78	10.01	41.54	3.78	41.54	--  	140	0.00	          0.06	41.54	41.54	41.54	37.76	    27.75	581560	       2250.00	广西	          9.35亿	20141204	
数据来源:通达信
