代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
002079	苏州固锝	-0.27	-3.18	8.22	-0.27	8.19	8.22	282876	0.61	          3.90	8.45	8.45	7.92	8.49	   135.04	231107728	      72491.09	江苏	         59.59亿	20061116	
002119	康强电子	-0.43	-3.14	13.27	-0.43	13.27	13.30	52307	-0.30	          2.69	13.70	14.10	12.93	13.70	   610.05	70786656	      19420.00	浙江	         25.77亿	20070302	
002129	中环股份	-0.82	-3.76	21.01	-0.82	21.01	21.05	114329	-0.19	          1.58	21.83	21.96	20.82	21.83	   163.61	242822896	      72335.17	天津	        151.98亿	20070420	
002156	通富微电	-0.14	-1.55	8.88	-0.14	8.88	8.89	108725	-0.22	          1.67	9.12	9.15	8.62	9.02	    50.28	96300560	      64986.67	江苏	         57.71亿	20070816	
002185	华天科技	-0.56	-3.90	13.80	-0.56	13.79	13.80	256459	-0.21	          3.87	14.33	14.33	13.61	14.36	    30.56	355796736	      66276.22	甘肃	         91.46亿	20071120	
002218	拓日新能	-0.38	-3.85	9.50	-0.38	9.49	9.50	100163	0.00	          2.09	9.89	9.90	9.31	9.88	   337.88	96199568	      47959.26	深圳	         45.56亿	20080228	
002371	七星电子	0.06	0.23	25.85	0.06	25.84	25.85	44632	0.38	          1.34	25.85	25.88	24.88	25.79	   190.24	113191416	      33281.44	北京	         86.03亿	20100316	
002449	国星光电	-0.63	-5.04	11.86	-0.63	11.85	11.86	134842	0.08	          4.59	12.43	12.43	11.50	12.49	    38.08	161499312	      29364.30	广东	         34.83亿	20100716	
002504	东光微电	-0.22	-1.30	16.70	-0.22	16.69	16.70	43423	0.24	          4.37	16.92	16.98	16.10	16.92	--  	71590824	       9935.99	北京	         16.59亿	20101118	
002638	勤上光电	--  	--  	14.43	--  	--  	--  	0	--  	          0.00	--  	--  	--  	14.43	    44.43	0	      36564.80	广东	         52.76亿	20111125	
002654	万润科技	-0.60	-4.04	14.26	-0.60	14.26	14.27	34462	0.00	          4.84	14.86	14.89	14.18	14.86	    55.18	49437272	       7124.00	深圳	         10.16亿	20120217	
002724	海洋王	-2.34	-6.80	32.07	-2.34	32.07	32.08	90231	-0.03	         18.05	34.00	34.67	31.51	34.41	   108.49	298488352	       5000.00	深圳	         16.03亿	20141104	
