代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000062	深圳华强	1.02	5.37	20.03	1.02	20.03	20.04	384855	-0.04	          5.77	19.55	20.49	18.62	19.01	    23.34	758541824	      66694.97	深圳	        133.59亿	19970130	
000151	中成股份	-0.68	-3.87	16.89	-0.68	16.89	16.90	179538	-0.05	          6.74	17.38	17.57	15.88	17.57	    28.73	301403872	      26654.40	北京	         45.02亿	20000906	
000408	金谷源	--  	--  	5.91	--  	--  	--  	0	--  	          0.00	--  	--  	--  	5.91	--  	0	      25230.06	河北	         14.91亿	19960628	
000626	如意集团	-0.44	-3.47	12.23	-0.44	12.23	12.24	59632	-0.40	          2.95	12.74	12.75	11.96	12.67	    15.74	73575680	      20229.75	江苏	         24.74亿	19961128	
002091	江苏国泰	-0.71	-4.18	16.29	-0.71	16.28	16.29	107154	0.00	          3.08	16.95	17.00	16.18	17.00	    26.41	176627056	      34734.66	江苏	         56.58亿	20061208	
600058	五矿发展	-0.77	-4.87	15.05	-0.77	15.04	15.05	404875	-0.06	          3.78	15.70	15.71	14.50	15.82	    68.48	615614400	     107191.07	北京	        161.32亿	19970528	
600120	浙江东方	0.57	3.06	19.20	0.57	19.20	19.21	411593	-0.10	          8.14	19.05	19.99	17.89	18.63	    17.93	786439488	      50547.33	浙江	         97.05亿	19971201	
600128	弘业股份	-0.53	-3.59	14.23	-0.53	14.24	14.25	312138	-0.07	         12.65	14.80	15.22	13.81	14.76	    59.96	454200256	      24676.75	江苏	         35.12亿	19970901	
600136	道博股份	0.00	0.00	18.53	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	18.53	 26247.93	0	      10429.40	湖北	         19.33亿	19980303	
600153	建发股份	0.26	3.00	8.94	0.26	8.94	8.95	1484880	0.33	          5.24	8.68	9.13	8.49	8.68	    12.08	1313913088	     283520.06	福建	        253.47亿	19980616	
600241	时代万恒	0.00	0.00	8.28	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	8.28	--  	0	      18020.00	辽宁	         14.92亿	20001128	
600247	*ST成城	-0.37	-4.96	7.09	-0.37	--  	7.09	122637	0.00	          3.65	7.41	7.42	7.09	7.46	--  	87689368	      33644.16	吉林	         23.85亿	20001123	
600250	南纺股份	0.00	0.00	10.32	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	10.32	--  	0	      25869.25	江苏	         26.70亿	20010306	
600278	东方创业	-0.10	-0.81	12.19	-0.10	12.18	12.19	236173	0.08	          4.52	12.47	12.64	11.72	12.29	    49.99	289661728	      52224.17	上海	         63.66亿	20000712	
600287	江苏舜天	-0.60	-5.61	10.09	-0.60	10.08	10.09	97090	-0.39	          2.22	10.60	10.67	9.90	10.69	    56.37	99289312	      43679.60	江苏	         44.07亿	20000901	
600382	广东明珠	-0.51	-3.74	13.13	-0.51	13.12	13.13	259879	-0.15	          7.60	13.67	13.73	12.90	13.64	     4.07	344593024	      34174.66	广东	         44.87亿	20010118	
600500	中化国际	-0.55	-5.89	8.78	-0.55	8.77	8.78	354313	-0.11	          2.06	9.30	9.37	8.70	9.33	    17.53	316824640	     172312.45	上海	        151.29亿	20000301	
600605	汇通能源	-0.54	-3.64	14.31	-0.54	14.31	14.33	24827	0.21	          1.68	14.87	14.97	14.14	14.85	   541.72	35970344	      14734.45	上海	         21.08亿	19920327	
600704	物产中大	0.00	0.00	10.38	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	10.38	    23.97	0	      79051.57	浙江	         82.06亿	19960606	
600739	辽宁成大	0.85	3.86	22.89	0.85	22.88	22.90	2691732	-0.04	         19.72	22.46	23.68	20.95	22.04	    35.74	6073260032	     136470.98	辽宁	        312.38亿	19960819	
600755	厦门国贸	0.66	6.06	11.55	0.66	11.55	11.56	2621519	0.00	         19.70	10.76	11.80	10.59	10.89	    20.03	2945272064	     133083.59	福建	        153.71亿	19961003	
600822	上海物贸	-0.33	-2.94	10.89	-0.33	10.78	10.91	106649	1.39	          2.69	11.16	11.18	10.52	11.22	  9295.22	115913584	      39614.78	上海	         43.14亿	19940204	
600826	兰生股份	0.22	1.04	21.45	0.22	21.50	21.53	206869	0.28	          4.92	22.08	22.78	20.27	21.23	   132.24	447632512	      42064.23	上海	         90.23亿	19940204	
600981	汇鸿股份	0.00	0.00	4.21	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	4.21	    92.48	0	      51610.64	江苏	         21.73亿	20040630	
数据来源:通达信
