代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000628	高新发展	-0.54	-4.14	12.49	-0.54	12.48	12.49	137562	0.00	          7.33	12.87	12.89	11.80	13.03	--  	170566304	      18774.72	四川	         23.45亿	19961118	
600007	中国国贸	-0.77	-5.33	13.68	-0.77	13.67	13.68	99382	-0.07	          0.99	14.54	14.55	13.29	14.45	    24.08	137218384	     100728.25	北京	        137.80亿	19990312	
600064	南京高科	-0.15	-0.81	18.33	-0.15	18.40	18.41	331208	-0.32	          6.42	18.76	19.64	17.64	18.48	    23.96	617356544	      51621.87	江苏	         94.62亿	19970506	
600082	海泰发展	0.11	1.34	8.30	0.11	8.30	8.31	742753	0.00	         11.79	8.05	8.36	7.37	8.19	    73.42	588779648	      62998.89	天津	         52.29亿	19970620	
600133	东湖高新	-0.98	-9.11	9.78	-0.98	9.79	9.80	599350	0.30	         11.14	10.50	10.50	9.68	10.76	    39.73	599903040	      53794.89	湖北	         52.61亿	19980212	
600215	长春经开	-0.26	-4.11	6.07	-0.26	6.07	6.08	113049	0.00	          2.43	6.34	6.35	6.00	6.33	--  	68979480	      46503.28	吉林	         28.23亿	19990909	
600463	空港股份	-0.45	-3.82	11.34	-0.45	11.30	11.36	72929	1.34	          2.89	11.67	11.78	10.90	11.79	    60.59	81894576	      25200.00	北京	         28.58亿	20040318	
600604	市北高新	-0.63	-4.75	12.64	-0.63	12.65	12.66	94408	0.15	          2.83	13.16	13.20	12.40	13.27	   599.02	120624808	      33352.42	上海	         42.16亿	19920327	
600639	浦东金桥	-0.76	-4.48	16.21	-0.76	16.20	16.21	246333	0.00	          3.75	17.24	17.24	15.60	16.97	    35.39	403850624	      65664.88	上海	        106.44亿	19930326	
600648	外高桥	-1.52	-4.66	31.08	-1.52	31.07	31.08	133299	-0.03	          1.65	32.61	32.74	30.00	32.60	    48.53	420143936	      81022.34	上海	        251.82亿	19930504	
600658	电子城	-0.82	-6.04	12.76	-0.82	12.76	12.77	107141	-0.07	          1.85	13.35	13.45	12.50	13.58	    13.14	138813776	      58009.73	北京	         74.02亿	19930524	
600663	陆家嘴	-1.62	-4.94	31.20	-1.62	31.19	31.20	303162	0.12	          2.23	32.50	32.60	30.42	32.82	    44.29	957936576	     135808.41	上海	        423.72亿	19930628	
600736	苏州高新	-0.51	-7.74	6.08	-0.51	6.07	6.08	942738	0.33	          8.91	6.45	6.47	5.93	6.59	    46.94	583232128	     105788.15	江苏	         64.32亿	19960815	
600895	张江高科	-0.59	-4.92	11.41	-0.59	11.42	11.43	757905	0.00	          4.89	12.03	12.14	10.91	12.00	    91.45	875111744	     154868.95	上海	        176.71亿	19960422	
数据来源:通达信
