代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000407	胜利股份	-0.34	-4.82	6.71	-0.34	6.70	6.71	260295	0.29	          4.04	7.05	7.05	6.51	7.05	   104.35	175974000	      64490.39	山东	         43.27亿	19960703	
000859	国风塑业	0.00	0.00	6.29	0.00	6.28	6.29	148838	-0.15	          3.54	6.29	6.45	5.97	6.29	  2515.09	91191888	      42047.89	安徽	         26.45亿	19981119	
000973	佛塑科技	-0.37	-5.19	6.76	-0.37	6.76	6.77	393576	0.00	          5.10	7.13	7.13	6.57	7.13	    80.02	269555104	      77237.97	广东	         52.21亿	20000525	
002002	鸿达兴业	-0.43	-3.95	10.45	-0.43	10.45	10.46	65543	0.09	          2.81	10.80	10.84	10.24	10.88	    26.38	68656440	      23365.13	广东	         24.42亿	20040625	
002014	永新股份	-0.43	-4.68	8.76	-0.43	8.76	8.77	96448	0.00	          2.99	9.13	9.16	8.58	9.19	    20.61	85771312	      32282.72	安徽	         28.28亿	20040708	
002108	沧州明珠	-0.46	-2.99	14.95	-0.46	14.95	14.96	130894	0.00	          3.89	15.38	15.46	14.67	15.41	    31.68	195862880	      33627.42	河北	         50.27亿	20070124	
002243	通产丽星	-0.01	-0.11	9.27	-0.01	9.26	9.27	186015	0.21	          6.00	9.27	9.33	8.80	9.28	--  	168548864	      30990.90	深圳	         28.73亿	20080528	
002263	大 东 南	-0.37	-5.56	6.28	-0.37	6.28	6.29	284639	-0.15	          3.70	6.65	6.67	6.18	6.65	--  	181577552	      76851.75	浙江	         48.26亿	20080728	
002324	普利特	--  	--  	19.90	--  	--  	--  	0	--  	          0.00	--  	--  	--  	19.90	    26.33	0	      15582.66	上海	         31.01亿	20091218	
002343	禾欣股份	--  	--  	9.19	--  	--  	--  	0	--  	          0.00	--  	--  	--  	9.19	    41.82	0	      14341.34	浙江	         13.18亿	20100126	
002395	双象股份	-0.26	-2.02	12.60	-0.26	12.58	12.60	34295	0.00	          1.92	12.90	13.14	11.95	12.86	   204.60	43221036	      17880.59	江苏	         22.53亿	20100429	
002420	毅昌股份	-0.21	-2.72	7.50	-0.21	7.50	7.51	151742	-0.26	          4.02	7.69	7.69	7.21	7.71	   213.08	113784672	      37782.35	广东	         28.34亿	20100601	
002457	青龙管业	-0.57	-5.22	10.36	-0.57	10.35	10.36	198644	0.29	          7.83	10.93	10.93	10.12	10.93	    41.57	207999248	      25365.41	宁夏	         26.28亿	20100803	
002464	金利科技	-0.68	-3.73	17.56	-0.68	17.56	17.59	26638	0.00	          1.97	18.24	18.28	17.35	18.24	   163.10	47130416	      13500.00	江苏	         23.71亿	20100831	
002522	浙江众成	-0.33	-1.62	19.99	-0.33	19.96	19.99	81611	0.00	          3.65	20.28	20.28	18.54	20.32	   165.66	159849040	      22336.58	浙江	         44.65亿	20101210	
002585	双星新材	-0.68	-4.57	14.21	-0.68	14.20	14.21	111760	0.07	          3.98	14.88	14.88	13.89	14.89	    64.68	160456960	      28100.00	江苏	         39.93亿	20110602	
002641	永高股份	-0.45	-4.30	10.02	-0.45	10.01	10.02	69798	0.09	          2.04	10.42	10.48	9.91	10.47	    20.48	70707280	      34209.00	浙江	         34.28亿	20111208	
002676	顺威股份	-1.56	-7.90	18.19	-1.56	18.18	18.19	36511	0.05	          8.54	19.51	19.73	17.78	19.75	    55.41	67782544	       4275.22	广东	          7.78亿	20120525	
002694	顾地科技	-0.50	-5.24	9.04	-0.50	9.04	9.05	132694	-0.11	         10.43	9.50	9.53	8.91	9.54	    35.96	121262080	      12721.25	湖北	         11.50亿	20120816	
002735	王子新材	1.46	9.99	16.08	1.46	16.08	--  	129	0.00	          0.06	16.08	16.08	16.08	14.62	    45.37	207432	       2000.00	深圳	          3.22亿	20141203	
300169	天晟新材	--  	--  	12.00	--  	--  	--  	0	--  	          0.00	--  	--  	--  	12.00	   170.90	0	      17235.50	江苏	         20.68亿	20110125	
300198	纳川股份	--  	--  	8.39	--  	--  	--  	0	--  	          0.00	--  	--  	--  	8.39	    65.08	0	      34416.17	福建	         28.88亿	20110407	
300218	安利股份	-0.54	-4.54	11.36	-0.54	11.36	11.38	26622	0.00	          1.63	11.90	11.94	11.30	11.90	    39.41	30726282	      16368.00	安徽	         18.59亿	20110518	
300221	银禧科技	-0.74	-4.63	15.24	-0.74	15.23	15.24	56377	-0.13	          3.28	15.79	15.79	15.04	15.98	   117.06	86065200	      17187.50	广东	         26.19亿	20110525	
300230	永利带业	-0.50	-4.06	11.83	-0.50	11.83	11.84	25828	0.00	          2.55	12.31	12.31	11.68	12.33	    36.14	30892036	      10127.07	上海	         11.98亿	20110615	
