代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000910	大亚科技	0.00	0.00	7.73	0.00	7.73	7.74	118323	-0.12	          2.24	7.71	8.00	7.40	7.73	    37.67	91638024	      52750.00	江苏	         40.78亿	19990630	
002084	海鸥卫浴	-1.26	-8.81	13.05	-1.26	13.04	13.05	281942	0.15	          6.94	13.50	14.00	12.88	14.31	   152.89	377642912	      40605.57	广东	         52.99亿	20061124	
002120	新海股份	-0.60	-3.78	15.26	-0.60	15.26	15.28	29243	0.00	          2.99	15.81	15.87	15.13	15.86	    25.09	44939000	       9770.62	浙江	         14.91亿	20070306	
002240	威华股份	1.31	4.94	27.81	1.31	27.81	27.82	248053	0.21	          6.96	26.90	27.81	26.00	26.50	  1414.20	671178688	      35647.42	广东	         99.14亿	20080523	
002259	升达林业	-0.21	-3.07	6.64	-0.21	6.63	6.64	248127	0.00	          4.09	6.85	6.87	6.41	6.85	   335.31	164367728	      60716.10	四川	         40.32亿	20080716	
002354	科冕木业	--  	--  	57.50	--  	--  	--  	0	--  	          0.00	--  	--  	--  	57.50	    68.05	0	       6531.25	辽宁	         37.55亿	20100209	
002489	浙江永强	0.04	0.26	15.40	0.04	15.40	15.44	112564	0.00	          2.96	15.35	15.65	14.00	15.36	    39.05	170754608	      38040.41	浙江	         58.58亿	20101021	
002572	索菲亚	-0.61	-2.86	20.69	-0.61	20.67	20.69	54644	0.14	          2.17	21.42	21.42	20.41	21.30	    34.55	113277824	      25138.69	广东	         52.01亿	20110412	
002615	哈尔斯	-1.21	-3.99	29.10	-1.21	29.09	29.10	19700	-0.10	          3.86	30.30	30.30	29.00	30.31	    35.12	57853716	       5106.25	浙江	         14.86亿	20110909	
002631	德尔家居	-0.52	-3.90	12.80	-0.52	12.80	12.82	50352	-0.15	          1.58	13.34	13.34	12.58	13.32	    30.27	64838576	      31849.19	江苏	         40.77亿	20111111	
002718	友邦吊顶	-6.48	-7.35	81.70	-6.48	81.70	81.78	13901	-0.24	         10.61	87.70	87.70	80.88	88.18	    44.19	116021896	       1310.00	浙江	         10.70亿	20140128	
600337	美克家居	-0.05	-0.48	10.27	-0.05	10.26	10.27	150324	0.19	          2.35	10.40	10.40	10.14	10.32	    33.44	154238976	      63833.23	新疆	         65.56亿	20001127	
600978	宜华木业	-0.25	-4.10	5.85	-0.25	5.85	5.86	588221	-0.34	          3.97	6.10	6.13	5.74	6.10	    14.48	348389664	     148287.00	广东	         86.75亿	20040824	
603008	喜临门	0.00	0.00	14.58	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	14.58	    39.85	0	      19827.18	浙江	         28.91亿	20120717	
数据来源:通达信
