代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000016	深康佳Ａ	-0.21	-3.39	5.99	-0.21	5.99	6.00	272804	0.00	          4.55	6.20	6.20	5.90	6.20	   113.68	164656752	      59991.50	深圳	         35.93亿	19920327	
000100	TCL 集团	-0.01	-0.28	3.50	-0.01	3.50	3.51	5658639	-0.28	          6.95	3.53	3.71	3.40	3.51	    11.18	2003896704	     813618.25	广东	        284.77亿	20040130	
000333	美的集团	-0.95	-3.70	24.70	-0.95	24.69	24.70	593453	0.28	          2.65	25.95	26.00	24.10	25.65	     8.72	1480129280	     223971.95	广东	        553.21亿	19931112	
000418	小天鹅Ａ	-0.56	-4.44	12.04	-0.56	12.03	12.04	128713	0.08	          2.94	12.62	12.73	11.90	12.60	    11.11	157267040	      43776.10	江苏	         52.71亿	19970328	
000521	美菱电器	-0.22	-3.60	5.89	-0.22	5.88	5.89	257999	0.00	          4.36	6.12	6.14	5.74	6.11	    14.10	153286304	      59107.98	安徽	         34.81亿	19931018	
000533	万 家 乐	--  	--  	5.97	--  	--  	--  	0	--  	          0.00	--  	--  	--  	5.97	    35.25	0	      68487.71	广东	         40.89亿	19940103	
000541	佛山照明	-0.38	-3.46	10.60	-0.38	10.59	10.60	267555	0.09	          4.33	10.99	11.03	10.38	10.98	    25.87	285736704	      61813.42	广东	         65.52亿	19931123	
000651	格力电器	-0.48	-1.33	35.51	-0.48	35.50	35.51	465650	-0.02	          1.56	36.21	37.42	35.06	35.99	     8.15	1682267008	     298621.16	广东	       1060.40亿	19961118	
000921	海信科龙	-0.27	-3.03	8.65	-0.27	8.64	8.65	137392	0.00	          1.53	8.92	8.98	8.55	8.92	    12.38	120515584	      89723.63	广东	         77.61亿	19990713	
002005	德豪润达	-0.31	-3.66	8.16	-0.31	8.16	8.17	629673	-0.24	          5.41	8.45	8.47	7.98	8.47	   121.30	517808288	     116470.65	广东	         95.04亿	20040625	
002032	苏 泊 尔	-0.21	-1.17	17.79	-0.21	17.79	17.80	19609	2.00	          0.58	18.00	18.04	16.71	18.00	    16.64	34489004	      33906.17	浙江	         60.32亿	20040817	
002035	华帝股份	-0.09	-0.67	13.32	-0.09	13.32	13.33	60736	0.00	          2.05	13.50	13.70	13.10	13.41	    17.75	81440536	      29677.21	广东	         39.53亿	20040901	
002076	雪 莱 特	-0.56	-3.89	13.84	-0.56	13.84	13.85	63587	-0.28	          5.28	14.21	14.25	13.25	14.40	   149.20	88040456	      12042.00	广东	         16.67亿	20061025	
002242	九阳股份	-0.46	-3.91	11.29	-0.46	11.29	11.30	136554	-0.08	          1.79	11.75	11.79	11.12	11.75	    14.88	155591696	      76095.00	山东	         85.91亿	20080528	
002260	伊 立 浦	0.07	0.27	26.20	0.07	26.12	26.20	26212	-0.11	          1.68	26.15	26.64	24.76	26.13	   307.32	67159344	      15600.00	广东	         40.87亿	20080716	
002290	禾盛新材	-0.66	-4.86	12.91	-0.66	12.91	12.92	51635	0.00	          3.86	13.57	13.57	12.74	13.57	    67.78	67365432	      13391.49	江苏	         17.29亿	20090903	
002403	爱仕达	-0.60	-4.49	12.75	-0.60	12.74	12.75	53752	0.00	          2.42	13.30	13.35	12.58	13.35	    42.58	69315792	      22238.25	浙江	         28.35亿	20100511	
002429	兆驰股份	-0.30	-3.55	8.16	-0.30	8.16	8.17	194979	0.12	          1.23	8.50	8.50	8.12	8.46	    19.49	161442752	     158184.06	深圳	        129.08亿	20100610	
002473	圣莱达	-0.50	-1.85	26.60	-0.50	26.60	26.61	11517	0.15	          0.72	27.10	27.10	26.50	27.10	--  	30725290	      16000.00	浙江	         42.56亿	20100910	
002508	老板电器	-1.41	-3.96	34.21	-1.41	34.21	34.22	46856	0.02	          1.50	35.50	35.50	33.52	35.62	    23.73	161552352	      31175.00	浙江	        106.65亿	20101123	
002543	万和电气	-0.39	-3.40	11.07	-0.39	11.06	11.07	51118	-0.09	          1.60	11.48	11.51	11.00	11.46	    16.12	57172520	      31872.50	广东	         35.28亿	20110128	
002668	奥马电器	-0.84	-3.87	20.85	-0.84	20.85	20.88	59404	-0.04	          8.21	21.69	21.70	20.65	21.69	    15.17	125375824	       7235.00	广东	         15.08亿	20120416	
002677	浙江美大	-0.63	-3.38	18.00	-0.63	18.00	18.03	29247	-0.05	          5.85	18.59	18.59	17.75	18.63	    32.77	52844400	       5000.00	浙江	          9.00亿	20120525	
002681	奋达科技	-1.71	-5.59	28.90	-1.71	28.90	28.91	47760	-0.17	          6.37	30.51	30.51	27.56	30.61	    59.71	140224896	       7500.00	深圳	         21.67亿	20120605	
002705	新宝股份	-0.83	-4.85	16.29	-0.83	16.29	16.30	69622	0.00	          9.16	17.06	17.10	16.05	17.12	    35.02	115040512	       7600.00	广东	         12.38亿	20140121	
002723	金莱特	-1.60	-4.92	30.93	-1.60	30.93	30.96	25565	-0.03	         10.95	32.55	32.60	30.60	32.53	    66.00	80363520	       2335.00	广东	          7.22亿	20140129	
600060	海信电器	-0.34	-2.83	11.66	-0.34	11.65	11.66	570861	-0.17	          4.36	12.01	12.20	11.50	12.00	    12.45	674307008	     130848.13	山东	        152.57亿	19970422	
600261	阳光照明	-0.32	-3.34	9.26	-0.32	9.26	9.27	289662	-0.10	          2.99	9.59	9.60	9.13	9.58	    31.38	271089376	      96806.85	浙江	         89.64亿	20000720	
600336	澳柯玛	-0.38	-5.87	6.09	-0.38	6.09	6.10	306362	0.00	          4.50	6.47	6.47	6.03	6.47	    33.91	191034768	      68007.20	山东	         41.42亿	20001229	
600690	青岛海尔	-0.38	-2.06	18.06	-0.38	18.05	18.06	717959	0.05	          2.62	18.59	18.90	17.78	18.44	     9.79	1315113088	     273684.13	山东	        494.27亿	19931119	
600839	四川长虹	-0.11	-2.16	4.98	-0.11	4.97	4.98	2173059	-0.20	          4.71	5.11	5.18	4.86	5.09	--  	1093845632	     460999.78	四川	        229.58亿	19940311	
600854	春兰股份	-0.33	-5.34	5.85	-0.33	5.84	5.85	161940	0.17	          3.12	6.18	6.18	5.82	6.18	   185.35	96673256	      51945.85	江苏	         30.39亿	19940425	
600870	厦华电子	0.25	2.92	8.81	0.25	8.80	8.82	199282	-0.11	          5.37	8.51	8.94	8.25	8.56	--  	172121408	      37081.87	福建	         32.67亿	19950228	
600983	合肥三洋	-0.45	-3.41	12.74	-0.45	12.75	12.76	59566	0.00	          1.12	13.20	13.24	12.69	13.19	    24.14	76676400	      53280.00	安徽	         67.88亿	20040727	
603366	日出东方	-0.64	-3.67	16.81	-0.64	16.77	16.78	77721	0.11	          5.50	17.46	17.46	16.62	17.45	    17.28	131877864	      14140.00	江苏	         23.77亿	20120521	
数据来源:通达信
