代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000426	兴业矿业	-0.72	-5.58	12.19	-0.72	12.18	12.19	290724	0.08	          6.31	12.80	12.84	11.63	12.91	    31.63	357034304	      46051.41	内蒙	         56.14亿	19960828	
000657	中钨高新	-0.96	-5.70	15.88	-0.96	15.85	15.88	60624	-0.68	          4.21	16.88	16.99	15.52	16.84	--  	98165808	      14405.07	海南	         22.88亿	19961205	
000693	华泽钴镍	-1.46	-5.09	27.22	-1.46	27.22	27.23	149868	0.03	         20.82	29.61	30.00	26.20	28.68	    86.20	423324800	       7197.20	四川	         19.59亿	19970226	
000697	炼石有色	0.35	1.67	21.29	0.35	21.26	21.29	257393	0.18	         10.09	20.81	21.66	19.80	20.94	   197.43	537140800	      25509.72	陕西	         54.31亿	19970325	
000762	西藏矿业	-0.89	-5.68	14.78	-0.89	14.78	14.79	218147	-0.13	          4.58	15.60	15.67	14.52	15.67	--  	328702784	      47597.48	西藏	         70.35亿	19970708	
000831	五矿稀土	-0.80	-2.88	27.00	-0.80	26.98	27.00	447722	0.00	          6.01	27.90	28.58	25.60	27.80	--  	1215096704	      74449.32	山西	        201.01亿	19980911	
000960	锡业股份	-0.75	-4.08	17.64	-0.75	17.63	17.64	328307	-0.05	          2.85	18.38	18.38	17.00	18.39	    68.13	583055936	     115122.03	云南	        203.08亿	20000221	
000962	东方钽业	-0.64	-4.67	13.07	-0.64	13.06	13.07	201415	0.38	          4.57	13.79	13.79	12.71	13.71	--  	266871584	      44083.05	宁夏	         57.62亿	20000120	
002149	西部材料	-0.80	-4.06	18.90	-0.80	18.89	18.90	51811	0.10	          2.97	19.77	19.85	18.20	19.70	 19323.81	99477608	      17463.00	陕西	         33.01亿	20070810	
002167	东方锆业	-0.07	-0.42	16.79	-0.07	16.75	16.79	314780	0.96	          9.98	17.27	17.44	16.00	16.86	  5695.85	529899424	      31540.67	广东	         52.96亿	20070913	
002182	云海金属	-0.79	-5.97	12.44	-0.79	12.44	12.45	131791	-0.24	          5.97	13.20	13.20	12.10	13.23	   100.28	167229696	      22064.83	江苏	         27.45亿	20071113	
002340	格林美	-0.42	-2.97	13.74	-0.42	13.73	13.74	318748	0.07	          4.23	14.25	14.25	13.50	14.16	    61.13	440174112	      75344.96	深圳	        103.52亿	20100122	
002378	章源钨业	-0.67	-2.51	26.05	-0.67	26.04	26.05	153860	-0.38	          3.59	27.20	27.90	24.50	26.72	   150.13	396504672	      42821.35	江西	        111.55亿	20100331	
002428	云南锗业	-0.78	-4.71	15.78	-0.78	15.77	15.78	526818	0.19	          8.50	16.43	16.43	15.47	16.56	    73.19	839215168	      62002.58	云南	         97.84亿	20100608	
002460	赣锋锂业	-1.09	-5.22	19.80	-1.09	19.80	19.81	175834	0.00	          8.81	20.89	20.97	19.00	20.89	    88.52	352970592	      19949.83	江西	         39.50亿	20100810	
002716	金贵银业	-1.39	-4.75	27.89	-1.39	27.88	27.89	54157	-0.07	          9.47	29.18	29.18	27.62	29.28	    49.55	152624896	       5719.20	湖南	         15.95亿	20140128	
300034	钢研高纳	0.81	3.27	25.57	0.81	25.56	25.57	193463	-0.07	          6.08	25.08	26.59	23.35	24.76	    78.64	484799776	      31798.22	北京	         81.31亿	20091225	
600111	包钢稀土	-1.14	-4.51	24.11	-1.14	24.10	24.11	1293878	-0.20	          8.75	25.09	25.10	23.30	25.25	   110.36	3148722944	     147946.98	内蒙	        356.70亿	19970924	
600259	广晟有色	-1.97	-3.57	53.14	-1.97	53.08	53.10	155221	0.20	          6.22	55.10	55.17	51.30	55.11	  1163.68	825156352	      24940.00	海南	        132.53亿	20000525	
600390	金瑞科技	-0.68	-4.79	13.53	-0.68	13.53	13.54	215127	0.14	          5.63	14.30	14.30	13.30	14.21	--  	293591744	      38194.67	湖南	         51.68亿	20010115	
600392	盛和资源	-1.05	-4.47	22.46	-1.05	22.46	22.47	167276	0.26	         10.68	23.82	24.00	21.95	23.51	   219.75	380937536	      15660.00	山西	         35.17亿	20030529	
600432	吉恩镍业	-0.54	-3.19	16.40	-0.54	16.42	16.43	360703	0.24	          4.45	17.30	17.79	15.60	16.94	--  	605467648	      81112.15	吉林	        133.02亿	20030905	
600456	宝钛股份	0.61	3.18	19.80	0.61	19.77	19.78	246685	0.00	          5.73	19.19	20.53	17.80	19.19	  4240.97	478251296	      43026.57	陕西	         85.19亿	20020412	
600459	贵研铂业	-0.90	-4.50	19.11	-0.90	19.09	19.11	145275	-0.36	          5.57	20.00	20.00	18.50	20.01	    61.22	279662912	      26097.76	云南	         49.87亿	20030516	
600549	厦门钨业	-1.71	-4.86	33.46	-1.71	33.47	33.49	215972	0.14	          3.17	34.92	35.29	32.36	35.17	    80.69	733981248	      68198.00	福建	        228.19亿	20021107	
600711	盛屯矿业	0.00	0.00	7.71	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	7.71	    99.12	0	      80034.21	福建	         61.71亿	19960531	
601958	金钼股份	-0.59	-5.66	9.84	-0.59	9.84	9.85	486757	-0.20	          1.51	10.50	10.55	9.58	10.43	   136.38	487511456	     322660.44	陕西	        317.50亿	20080417	
603399	新华龙	-0.59	-4.96	11.31	-0.59	11.31	11.32	124670	-0.17	          9.95	11.95	11.96	11.05	11.90	    87.87	143016576	      12525.79	辽宁	         14.17亿	20120824	
