代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000157	中联重科	-0.09	-1.60	5.55	-0.09	5.55	5.56	3320788	0.00	          5.30	5.74	5.96	5.37	5.64	    32.07	1877802496	     626117.19	湖南	        347.50亿	20001012	
000425	徐工机械	-0.22	-2.02	10.68	-0.22	10.67	10.68	731153	-0.09	          3.56	11.04	11.38	10.21	10.90	    19.72	788544704	     205562.52	江苏	        219.54亿	19960828	
000528	柳    工	-0.20	-2.27	8.63	-0.20	8.63	8.64	618266	-0.57	          5.50	8.85	9.27	8.33	8.83	    40.59	545969792	     112508.84	广西	         97.10亿	19931118	
000680	山推股份	-0.22	-4.44	4.74	-0.22	4.73	4.74	734024	0.21	          7.69	4.98	5.11	4.61	4.96	   115.83	357820128	      95481.35	山东	         45.26亿	19970122	
000811	烟台冰轮	--  	--  	12.00	--  	--  	--  	0	--  	          0.00	--  	--  	--  	12.00	    35.57	0	      39453.41	山东	         47.34亿	19980528	
000923	河北宣工	0.10	0.87	11.59	0.10	11.59	11.60	126504	0.08	          6.39	11.44	11.65	10.41	11.49	  1214.19	140590928	      19799.91	河北	         22.95亿	19990714	
002006	*ST精功	--  	--  	8.75	--  	--  	--  	0	--  	          0.00	--  	--  	--  	8.75	--  	0	      43677.89	浙江	         38.22亿	20040625	
002009	天奇股份	--  	--  	16.30	--  	--  	--  	0	--  	          0.00	--  	--  	--  	16.30	    47.89	0	      25991.22	江苏	         42.37亿	20040629	
002011	盾安环境	-0.47	-4.35	10.33	-0.47	10.33	10.34	644884	0.09	          7.70	10.90	10.93	9.97	10.80	    57.11	678293888	      83800.65	浙江	         86.57亿	20040705	
002097	山河智能	-0.42	-4.01	10.06	-0.42	10.05	10.06	190142	0.00	          5.81	10.49	10.50	9.70	10.48	   331.63	192926576	      32744.49	湖南	         32.94亿	20061222	
002158	汉钟精机	-0.94	-4.98	17.93	-0.94	17.93	17.95	46108	-0.05	          1.75	18.90	18.93	17.88	18.87	    23.87	84101168	      26387.00	上海	         47.31亿	20070817	
