代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000659	*ST中富	-0.17	-4.04	4.04	-0.17	4.04	4.05	650821	-0.24	          5.06	4.20	4.21	4.00	4.21	    35.22	264141392	     128570.25	广东	         51.94亿	19961203	
000673	当代东方	-1.16	-6.88	15.69	-1.16	15.69	15.70	58138	-0.06	          2.79	16.80	16.80	15.50	16.85	   805.59	93259800	      20808.00	山西	         32.65亿	19970124	
000812	陕西金叶	-0.43	-5.51	7.38	-0.43	7.37	7.38	319344	0.13	          7.16	7.85	7.90	7.20	7.81	    52.69	238480736	      44625.01	陕西	         32.93亿	19980623	
002117	东港股份	0.48	1.95	25.10	0.48	25.09	25.10	195886	-0.35	          5.41	25.20	26.89	23.32	24.62	    57.26	496538016	      36217.28	山东	         90.91亿	20070302	
002191	劲嘉股份	-0.46	-3.20	13.91	-0.46	13.91	13.92	212214	-0.07	          3.31	14.37	14.41	13.74	14.37	    15.81	297781984	      64200.00	深圳	         89.30亿	20071205	
002228	合兴包装	0.06	0.43	14.10	0.06	14.07	14.10	56862	0.07	          1.64	14.17	14.18	13.27	14.04	    40.54	77665288	      34750.39	福建	         49.00亿	20080508	
002229	鸿博股份	-0.73	-3.96	17.69	-0.73	17.68	17.69	116301	0.05	          6.28	18.39	18.39	17.28	18.42	   188.10	206758912	      18511.88	福建	         32.75亿	20080508	
002374	丽鹏股份	-0.35	-3.03	11.19	-0.35	11.18	11.19	64183	-0.17	          4.27	11.49	11.50	10.80	11.54	    87.86	71817728	      15039.49	山东	         16.83亿	20100318	
002400	省广股份	-0.01	-0.04	23.62	-0.01	23.61	23.62	147663	-0.25	          2.86	23.80	23.85	22.59	23.63	    40.55	345554464	      51663.73	广东	        122.03亿	20100506	
002599	盛通股份	-0.84	-4.78	16.74	-0.84	16.73	16.74	18622	-0.05	          2.13	17.56	17.56	16.55	17.58	   125.16	31341600	       8756.25	北京	         14.66亿	20110715	
002701	奥瑞金	-0.88	-3.89	21.76	-0.88	21.75	21.76	185941	0.04	          5.74	22.70	22.70	21.70	22.64	    14.98	409850720	      32411.50	北京	         70.53亿	20121011	
002712	思美传媒	-4.32	-7.20	55.71	-4.32	55.71	55.80	27836	-0.37	         13.05	59.78	59.80	55.55	60.03	    89.71	158009344	       2132.98	浙江	         11.88亿	20140123	
300057	万顺股份	-0.14	-1.31	10.57	-0.14	10.42	10.57	72355	1.63	          2.93	10.78	10.82	10.11	10.71	    35.82	75812384	      24660.97	广东	         26.07亿	20100226	
300058	蓝色光标	-0.91	-3.78	23.16	-0.91	23.15	23.16	199511	0.12	          3.05	24.06	24.07	22.86	24.07	    33.01	465599680	      65351.42	北京	        151.35亿	20100226	
300071	华谊嘉信	-0.86	-4.66	17.58	-0.86	17.58	17.60	56960	0.28	          2.51	18.00	18.36	17.36	18.44	   103.93	101337360	      22684.24	北京	         39.88亿	20100421	
600210	紫江企业	-0.29	-5.49	4.99	-0.29	4.98	4.99	594804	-0.20	          4.14	5.22	5.33	4.91	5.28	    28.57	302059136	     143673.59	上海	         71.69亿	19990824	
600836	界龙实业	-0.88	-5.12	16.32	-0.88	16.32	16.34	205115	0.18	          6.54	17.08	17.09	15.73	17.20	   827.93	338201888	      31356.33	上海	         51.17亿	19940224	
600880	博瑞传播	-0.53	-4.29	11.82	-0.53	11.81	11.82	448301	-0.08	          6.11	12.36	12.44	11.52	12.35	    44.54	537527104	      73336.50	四川	         86.68亿	19951115	
601515	东风股份	-0.73	-5.89	11.67	-0.73	11.68	11.69	173669	-0.84	         10.26	12.42	12.48	11.46	12.40	    17.60	207357856	      16930.00	广东	         19.76亿	20120216	
数据来源:通达信
