代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000010	深华新	-0.20	-2.66	7.32	-0.20	7.32	7.33	147151	-0.13	          4.11	7.51	7.52	7.02	7.52	--  	107112360	      35815.75	北京	         26.22亿	19951027	
000023	深天地Ａ	--  	--  	11.43	--  	--  	--  	0	--  	          0.00	--  	--  	--  	11.43	    74.10	0	      13875.62	深圳	         15.86亿	19930429	
000065	北方国际	1.13	5.97	20.05	1.13	20.04	20.05	182896	0.00	          7.22	18.93	20.30	18.40	18.92	    27.41	357236992	      25340.18	深圳	         50.81亿	19980605	
000090	天健集团	-0.34	-2.58	12.86	-0.34	12.85	12.86	163223	-0.07	          2.95	13.15	13.19	12.30	13.20	    39.30	208041616	      55253.07	深圳	         71.06亿	19990721	
000498	山东路桥	--  	--  	4.64	--  	--  	--  	0	--  	          0.00	--  	--  	--  	4.64	    27.67	0	      35417.01	山东	         16.43亿	19970609	
000928	中钢国际	-0.52	-4.51	11.01	-0.52	11.00	11.01	94895	-0.18	          3.35	11.57	11.59	10.75	11.53	    73.57	105591704	      28289.90	吉林	         31.15亿	19990312	
000961	中南建设	-0.46	-3.89	11.36	-0.46	11.35	11.36	237740	-0.08	          2.04	11.71	11.86	11.18	11.82	    16.17	273095168	     116386.50	江苏	        132.22亿	20000301	
002051	中工国际	-1.62	-6.24	24.34	-1.62	24.33	24.34	212846	-0.53	          2.79	25.84	25.85	23.98	25.96	    19.99	525170112	      76414.59	北京	        185.99亿	20060619	
002060	粤 水 电	-0.44	-5.65	7.35	-0.44	7.34	7.35	241120	0.00	          4.01	7.72	7.74	7.11	7.79	    49.95	179568384	      60103.19	广东	         44.18亿	20060810	
002062	宏润建设	-0.21	-3.96	5.09	-0.21	5.09	5.10	120927	-0.19	          1.84	5.31	5.31	5.01	5.30	    21.81	62261580	      65617.60	浙江	         33.40亿	20060816	
002116	中国海诚	-0.93	-5.50	15.97	-0.93	15.96	15.97	41115	0.31	          1.34	16.70	16.70	15.60	16.90	    24.63	66210648	      30746.82	上海	         49.10亿	20070215	
