代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000156	华数传媒	-0.90	-3.06	28.48	-0.90	28.47	28.48	45801	-0.07	          6.29	29.35	29.35	27.90	29.38	   101.48	131193384	       7281.04	浙江	         20.74亿	20000906	
000665	湖北广电	-0.24	-1.70	13.87	-0.24	13.87	13.88	46628	0.00	          2.45	14.17	14.17	13.46	14.11	    46.55	64415264	      18995.71	湖北	         26.35亿	19961210	
000917	电广传媒	-0.91	-4.75	18.26	-0.91	18.25	18.26	541915	0.05	          7.74	19.00	19.09	17.91	19.17	    59.71	1005398656	      70048.78	湖南	        127.91亿	19990325	
002071	长城影视	-0.75	-3.80	19.01	-0.75	19.01	19.02	57340	0.05	          3.20	19.70	19.72	18.51	19.76	   134.91	109575392	      17915.71	江苏	         34.06亿	20061012	
002238	天威视讯	-0.68	-4.43	14.67	-0.68	14.67	14.69	61705	0.06	          1.93	15.25	15.36	14.29	15.35	    38.01	91551400	      32040.00	深圳	         47.00亿	20080526	
002292	奥飞动漫	-0.69	-2.10	32.12	-0.69	32.12	32.13	110706	-0.03	          3.45	32.90	33.30	31.08	32.81	    52.62	356095616	      32064.00	广东	        102.99亿	20090910	
300027	华谊兄弟	-1.44	-4.79	28.65	-1.44	28.64	28.65	801210	0.03	          9.36	29.78	30.00	28.00	30.09	    58.46	2320826880	      85615.11	浙江	        245.29亿	20091030	
300133	华策影视	-1.76	-5.87	28.22	-1.76	28.22	28.23	155881	0.00	          3.64	29.98	30.00	27.98	29.98	    46.88	446604352	      42790.21	浙江	        120.75亿	20101026	
300251	光线传媒	-0.99	-4.72	20.00	-0.99	19.99	20.00	269674	-0.19	          5.08	21.15	21.15	19.62	20.99	    77.27	548417536	      53120.28	北京	        106.24亿	20110803	
300291	华录百纳	-1.92	-6.02	30.00	-1.92	30.00	30.01	58467	-0.06	          4.03	31.88	31.88	29.51	31.92	   165.69	177833136	      14520.00	北京	         43.56亿	20120209	
300336	新文化	-2.11	-6.57	30.00	-2.11	29.99	30.00	61269	0.16	          8.28	31.79	31.88	29.92	32.11	    59.51	186395472	       7400.25	上海	         22.20亿	20120710	
600037	歌华有线	-0.92	-6.01	14.39	-0.92	14.38	14.39	387019	0.00	          3.64	15.38	15.39	14.29	15.31	    38.78	567202304	     106378.70	北京	        153.08亿	20010208	
600088	中视传媒	-1.36	-6.28	20.30	-1.36	20.30	20.32	141948	0.14	          4.28	21.66	21.68	19.85	21.66	   130.88	292374336	      33142.19	上海	         67.28亿	19970616	
600637	百视通	-1.58	-3.95	38.37	-1.58	38.38	38.39	255967	-0.23	          3.06	40.00	40.00	38.11	39.95	    57.78	996356288	      83551.57	上海	        320.59亿	19930316	
600831	广电网络	-0.57	-5.75	9.35	-0.57	9.34	9.35	248882	-0.42	          4.42	9.86	9.87	9.01	9.92	    44.11	235919680	      56343.85	陕西	         52.68亿	19940224	
601929	吉视传媒	-0.28	-2.34	11.68	-0.28	11.66	11.68	241569	-0.17	          3.68	11.98	11.99	11.33	11.96	    34.49	282502560	      65649.14	吉林	         76.68亿	20120223	
数据来源:通达信
