代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000017	深中华A	-0.31	-3.82	7.80	-0.31	7.79	7.80	81569	0.00	          2.69	8.10	8.10	7.71	8.11	   951.97	64162224	      30297.59	深圳	         23.63亿	19920331	
002103	广博股份	--  	--  	10.18	--  	--  	--  	0	--  	          0.00	--  	--  	--  	10.18	   172.72	0	      17095.44	浙江	         17.40亿	20070110	
002105	信隆实业	-0.54	-5.76	8.83	-0.54	8.83	8.84	142674	0.11	          4.26	9.36	9.36	8.77	9.37	  1450.88	128058488	      33500.00	深圳	         29.58亿	20070112	
002301	齐心集团	-0.50	-5.69	8.28	-0.50	8.28	8.30	151385	-0.12	          4.44	8.80	8.85	8.20	8.78	   147.89	128251584	      34120.00	深圳	         28.25亿	20091021	
002348	高乐股份	-0.20	-2.11	9.30	-0.20	9.28	9.30	149499	0.64	          4.43	9.48	9.55	8.85	9.50	    63.67	137885584	      33766.39	广东	         31.40亿	20100203	
002502	骅威股份	-0.84	-5.69	13.91	-0.84	13.90	13.91	59757	0.07	          3.79	14.70	14.70	13.81	14.75	   107.57	84503528	      15750.79	广东	         21.91亿	20101117	
002575	群兴玩具	-0.30	-2.22	13.19	-0.30	13.18	13.19	38432	0.00	          1.48	13.45	13.49	12.95	13.49	   122.27	50766692	      25960.00	广东	         34.24亿	20110422	
002605	姚记扑克	-0.71	-3.73	18.33	-0.71	18.33	18.34	72225	-0.10	          2.84	19.05	19.13	17.81	19.04	    54.81	133085392	      25458.05	上海	         46.66亿	20110805	
002678	珠江钢琴	-0.67	-5.63	11.24	-0.67	11.24	11.25	120729	-0.08	          7.92	11.81	11.85	10.90	11.91	    66.30	137037200	      15237.55	广东	         17.13亿	20120530	
002699	美盛文化	--  	--  	32.14	--  	--  	--  	0	--  	          0.00	--  	--  	--  	32.14	    79.49	0	       6941.00	浙江	         22.31亿	20120911	
300043	互动娱乐	--  	--  	15.29	--  	--  	--  	0	--  	          0.00	--  	--  	--  	15.29	    43.47	0	      18764.13	广东	         28.69亿	20100120	
300329	海伦钢琴	-1.03	-4.86	20.18	-1.03	20.17	20.18	29864	0.00	          4.35	21.00	21.00	20.10	21.21	   109.11	61047528	       6858.85	浙江	         13.84亿	20120619	
300359	全通教育	--  	--  	88.15	--  	--  	--  	0	--  	          0.00	--  	--  	--  	88.15	   205.68	0	       2445.00	广东	         21.55亿	20140121	
600071	凤凰光学	-0.52	-3.76	13.30	-0.52	13.30	13.31	63406	0.15	          2.67	13.69	13.69	13.20	13.82	--  	85058648	      23747.25	江西	         31.58亿	19970528	
600234	山水文化	0.00	0.00	13.57	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	13.57	--  	0	      20244.58	山西	         27.47亿	20000615	
600661	新南洋	-2.44	-8.71	25.57	-2.44	25.57	25.58	102787	-0.07	          5.92	27.78	27.78	25.21	28.01	   110.84	265648096	      17367.67	上海	         44.41亿	19930614	
600679	金山开发	-0.70	-4.81	13.84	-0.70	13.82	13.84	45775	-0.43	          2.51	14.52	14.53	13.09	14.54	--  	63951376	      18201.97	上海	         25.19亿	19931008	
600818	中路股份	2.48	9.98	27.32	2.48	27.32	--  	15975	0.00	          0.67	27.32	27.32	27.32	24.84	   923.12	43645012	      23795.78	上海	         65.01亿	19940128	
数据来源:通达信
