代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000069	华侨城Ａ	-0.22	-3.24	6.56	-0.22	6.56	6.57	1942841	0.00	          6.24	6.85	6.92	6.40	6.78	    12.71	1280525440	     311246.41	深圳	        204.18亿	19970910	
000430	张家界	-0.24	-2.86	8.15	-0.24	8.15	8.16	82865	-0.12	          3.96	8.40	8.41	8.03	8.39	    30.22	67945720	      20902.96	湖南	         17.04亿	19960829	
000888	峨眉山Ａ	-0.49	-2.51	19.02	-0.49	19.01	19.02	38609	-0.31	          1.79	19.56	19.60	18.90	19.51	    26.60	73891416	      21605.13	四川	         41.09亿	19971021	
000978	桂林旅游	-0.33	-3.41	9.36	-0.33	9.35	9.36	101473	-0.10	          2.82	9.70	10.08	9.21	9.69	--  	97676688	      36010.00	广西	         33.71亿	20000518	
002033	丽江旅游	-0.60	-3.86	14.96	-0.60	14.95	14.96	82596	-0.13	          4.20	15.56	15.58	14.80	15.56	    19.45	124594352	      19658.59	云南	         29.41亿	20040825	
002059	云南旅游	-0.46	-4.07	10.85	-0.46	10.85	10.87	30564	0.83	          1.42	11.27	11.37	10.75	11.31	   217.86	33303288	      21500.00	云南	         23.33亿	20060810	
002159	三特索道	-0.20	-0.88	22.40	-0.20	21.89	22.40	39683	0.90	          3.31	22.60	22.60	21.40	22.60	--  	86495632	      11986.75	湖北	         26.85亿	20070817	
300144	宋城演艺	--  	--  	26.88	--  	--  	--  	0	--  	          0.00	--  	--  	--  	26.88	    35.55	0	      19553.75	浙江	         52.56亿	20101209	
600054	黄山旅游	-0.42	-2.79	14.62	-0.42	14.64	14.65	63057	-0.06	          5.36	15.00	15.00	14.32	15.04	    24.20	92643376	      11762.00	安徽	         17.20亿	19970506	
600555	九龙山	0.11	1.98	5.67	0.11	5.66	5.67	617433	0.35	          6.34	5.55	5.75	5.29	5.56	   450.83	343552448	      97350.00	上海	         55.20亿	20010328	
600593	大连圣亚	-0.82	-4.28	18.35	-0.82	18.32	18.36	25463	0.00	          2.77	19.17	19.20	18.12	19.17	    21.19	47175000	       9200.00	辽宁	         16.88亿	20020711	
600749	西藏旅游	0.00	0.00	12.18	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	12.18	  1161.76	0	      18913.78	西藏	         23.04亿	19961015	
数据来源:通达信
