代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000610	西安旅游	-0.42	-4.15	9.70	-0.42	9.66	9.70	90603	0.41	          4.65	10.05	10.06	9.19	10.12	--  	87345240	      19502.47	陕西	         18.92亿	19960926	
000613	大东海A	-0.46	-5.98	7.23	-0.46	7.23	7.25	82280	-0.55	          3.16	7.72	7.72	7.03	7.69	--  	60593768	      26056.48	海南	         18.84亿	19970128	
000802	北京文化	-0.58	-3.82	14.60	-0.58	14.59	14.60	95811	-0.27	          2.56	15.25	15.30	14.08	15.18	   207.62	141074288	      37483.41	北京	         54.73亿	19980108	
002558	世纪游轮	--  	--  	31.65	--  	--  	--  	0	--  	          0.00	--  	--  	--  	31.65	   271.60	0	       3244.39	重庆	         10.27亿	20110302	
002707	众信旅游	3.74	2.54	151.10	3.74	151.01	151.10	12656	-0.65	          8.68	142.18	157.50	138.00	147.36	    70.77	183912640	       1457.50	北京	         22.02亿	20140123	
300178	腾邦国际	-3.23	-8.97	32.77	-3.23	32.76	32.77	160785	0.30	         10.34	35.00	35.00	32.40	36.00	    63.72	531013728	      15548.70	深圳	         50.95亿	20110215	
600138	中青旅	-0.43	-2.50	16.79	-0.43	16.79	16.80	258760	-0.05	          4.15	17.16	17.20	16.62	17.22	    30.27	437072672	      62302.50	北京	        104.61亿	19971203	
600358	国旅联合	-0.20	-2.33	8.40	-0.20	8.39	8.40	107004	-0.11	          2.48	8.51	8.57	8.08	8.60	--  	88357776	      43200.00	江苏	         36.29亿	20000922	
600706	曲江文旅	-0.63	-3.82	15.85	-0.63	15.84	15.85	44498	0.00	          5.19	16.40	16.50	15.50	16.48	    47.05	70876720	       8573.24	陕西	         13.59亿	19960516	
601888	中国国旅	-0.59	-1.42	40.96	-0.59	40.89	40.98	80672	0.04	          0.83	41.70	42.00	40.10	41.55	    25.15	328714464	      97623.77	北京	        399.87亿	20091015	
603099	长白山	-0.96	-5.60	16.19	-0.96	16.18	16.19	95591	0.06	         14.34	17.09	17.09	15.89	17.15	    34.53	156926416	       6667.00	吉林	         10.79亿	20140822	
数据来源:通达信
