代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000409	山东地矿	-0.54	-4.68	11.01	-0.54	11.01	11.02	129313	-0.18	          4.38	11.40	11.46	10.75	11.55	   254.99	143535680	      29512.00	山东	         32.49亿	19960627	
000629	攀钢钒钛	-0.18	-5.37	3.17	-0.18	3.16	3.17	2814142	-0.31	          5.90	3.36	3.38	3.09	3.35	    33.09	909435328	     476729.66	四川	        151.12亿	19961115	
000655	金岭矿业	-0.40	-4.12	9.30	-0.40	9.30	9.31	217756	0.00	          3.66	9.66	9.84	9.10	9.70	    28.38	205189760	      59534.01	山东	         55.37亿	19961128	
000709	河北钢铁	-0.15	-4.52	3.17	-0.15	3.16	3.17	3176215	0.00	          6.24	3.31	3.40	3.04	3.32	    50.45	1020907776	     508938.06	河北	        161.33亿	19970416	
000898	鞍钢股份	-0.18	-3.45	5.03	-0.18	5.03	5.04	1305839	0.00	          2.12	5.23	5.44	4.81	5.21	    29.57	670435968	     614893.63	辽宁	        309.29亿	19971225	
000932	华菱钢铁	-0.18	-5.56	3.06	-0.18	3.05	3.06	670774	0.00	          2.22	3.22	3.24	2.98	3.24	   160.73	207061840	     301503.97	湖南	         92.26亿	19990803	
000959	首钢股份	0.03	0.70	4.29	0.03	4.28	4.29	698169	0.23	          5.79	4.24	4.47	4.15	4.26	  1576.94	300141536	     120615.02	北京	         51.74亿	19991216	
002110	三钢闽光	-0.30	-4.71	6.07	-0.30	6.07	6.08	110652	-0.16	          2.07	6.37	6.37	6.00	6.37	--  	67958936	      53470.00	福建	         32.46亿	20070126	
002478	常宝股份	-0.72	-5.65	12.03	-0.72	12.02	12.03	68291	-0.33	          2.61	12.76	12.80	11.98	12.75	    19.24	83811464	      26154.86	江苏	         31.46亿	20100921	
600005	武钢股份	-0.12	-3.87	2.98	-0.12	2.98	2.99	2558867	-0.33	          2.54	3.11	3.15	2.91	3.10	    29.28	775033088	    1009378.00	湖北	        300.79亿	19990803	
600010	包钢股份	-0.15	-4.01	3.59	-0.15	3.58	3.59	9745911	0.27	          6.19	3.72	3.87	3.49	3.74	   766.28	3555984896	    1574202.38	内蒙	        565.14亿	20010309	
600019	宝钢股份	-0.18	-3.07	5.69	-0.18	5.68	5.69	2468214	-0.35	          1.50	5.89	5.97	5.54	5.87	    14.03	1423599488	    1642427.88	上海	        934.54亿	20001212	
600022	山东钢铁	-0.14	-4.90	2.72	-0.14	2.71	2.72	1554439	0.00	          2.91	2.86	2.87	2.60	2.86	--  	428010048	     534315.81	山东	        145.33亿	20040629	
600126	杭钢股份	-0.38	-6.33	5.62	-0.38	5.61	5.62	170521	-0.35	          2.03	6.00	6.00	5.49	6.00	   699.17	97542296	      83893.88	浙江	         47.15亿	19980311	
600193	创兴资源	-0.45	-5.11	8.35	-0.45	8.34	8.35	191264	-0.23	          4.50	8.80	8.80	8.30	8.80	--  	162015696	      42537.30	上海	         35.52亿	19990527	
600231	凌钢股份	-0.13	-2.76	4.58	-0.13	4.57	4.58	148361	-0.21	          1.85	4.70	4.73	4.48	4.71	--  	68276648	      80400.21	辽宁	         36.82亿	20000511	
600282	*ST南钢	0.00	0.00	2.61	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	2.61	    37.48	0	     387575.25	江苏	        101.16亿	20000919	
600307	酒钢宏兴	-0.23	-6.35	3.39	-0.23	3.38	3.39	410264	-0.29	          0.66	3.60	3.67	3.30	3.62	--  	142976560	     626335.75	甘肃	        212.33亿	20001220	
600532	宏达矿业	-0.26	-2.37	10.69	-0.26	10.68	10.69	66913	0.00	          4.05	10.94	11.13	9.87	10.95	    27.15	71480752	      16510.25	山东	         17.65亿	20021031	
600569	安阳钢铁	0.00	0.00	2.32	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	2.32	    78.40	0	     239368.45	河南	         55.53亿	20010820	
600581	八一钢铁	-0.33	-6.41	4.82	-0.33	4.83	4.84	391878	-0.20	          5.11	5.15	5.15	4.77	5.15	--  	193792832	      76644.89	新疆	         36.94亿	20020816	
600784	鲁银投资	-0.57	-6.34	8.42	-0.57	8.42	8.43	475679	-0.11	          9.58	8.99	9.04	8.09	8.99	   123.56	404266400	      49661.37	山东	         41.81亿	19961225	
600808	马钢股份	-0.14	-4.64	2.88	-0.14	2.87	2.88	1790268	-0.34	          3.00	3.03	3.04	2.78	3.02	--  	523256576	     596775.13	安徽	        171.87亿	19940106	
600882	华联矿业	-0.47	-5.30	8.40	-0.47	8.39	8.40	129816	0.00	          4.60	8.88	8.89	8.25	8.87	    17.70	110932768	      28209.88	山东	         23.70亿	19951206	
601003	柳钢股份	-0.22	-6.08	3.40	-0.22	3.40	3.41	318495	0.00	          1.24	3.62	3.64	3.26	3.62	    32.03	110570992	     256279.31	广西	         87.13亿	20070227	
601005	重庆钢铁	-0.18	-5.37	3.17	-0.18	3.16	3.17	270693	-0.62	          2.27	3.35	3.36	3.16	3.35	--  	87623248	     119500.00	重庆	         37.88亿	20070228	
数据来源:通达信
