代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
002003	伟星股份	-0.35	-3.34	10.13	-0.35	10.13	10.14	100410	0.09	          3.42	10.49	10.49	10.02	10.48	    13.35	102563744	      29320.38	浙江	         29.70亿	20040625	
002029	七 匹 狼	-0.48	-4.65	9.84	-0.48	9.83	9.84	268385	-0.30	          3.55	10.30	10.30	9.76	10.32	    24.42	268521600	      75538.71	福建	         74.33亿	20040806	
002036	宜科科技	-0.19	-2.05	9.08	-0.19	9.08	9.10	78845	0.11	          3.09	9.28	9.44	8.89	9.27	   162.14	72177272	      25515.15	浙江	         23.17亿	20040903	
002044	江苏三友	--  	--  	10.04	--  	--  	--  	0	--  	          0.00	--  	--  	--  	10.04	    43.13	0	      22410.00	江苏	         22.50亿	20050518	
002098	浔兴股份	-0.76	-5.22	13.80	-0.76	13.80	13.81	36572	0.00	          2.36	14.53	14.53	13.78	14.56	    23.97	51210916	      15500.00	福建	         21.39亿	20061222	
002154	报 喜 鸟	-0.42	-4.71	8.50	-0.42	8.50	8.51	159088	0.00	          2.98	8.96	9.00	8.34	8.92	    29.43	137048624	      53315.05	浙江	         45.32亿	20070816	
002239	金 飞 达	--  	--  	5.02	--  	--  	--  	0	--  	          0.00	--  	--  	--  	5.02	   205.84	0	      42210.00	江苏	         21.19亿	20080522	
002269	美邦服饰	-0.62	-5.00	11.77	-0.62	11.77	11.78	307614	-0.08	          3.06	12.37	12.38	11.60	12.39	    39.50	368251296	     100500.00	上海	        118.29亿	20080828	
002291	星期六	-0.26	-3.23	7.80	-0.26	7.80	7.81	48489	0.64	          1.33	8.10	8.10	7.65	8.06	    73.76	37968384	      36335.00	广东	         28.34亿	20090903	
002293	罗莱家纺	-0.69	-2.63	25.54	-0.69	25.53	25.54	56465	0.07	          2.01	26.23	26.25	24.89	26.23	    19.43	143642320	      28072.61	江苏	         71.70亿	20090910	
002327	富安娜	-0.53	-3.74	13.65	-0.53	13.64	13.65	51467	0.22	          2.33	14.20	14.24	13.36	14.18	    17.91	70854672	      22056.60	深圳	         30.11亿	20091230	
