代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000410	沈阳机床	-0.78	-6.18	11.84	-0.78	11.84	11.85	1161201	0.16	         15.72	12.46	12.47	11.50	12.62	   403.37	1395748096	      73877.59	辽宁	         87.47亿	19960718	
000837	秦川机床	-0.66	-5.58	11.16	-0.66	11.16	11.17	207062	-0.08	          8.10	11.69	11.69	11.00	11.82	  2376.44	233931520	      25558.96	陕西	         28.52亿	19980928	
002248	*ST东数	--  	--  	8.80	--  	--  	--  	0	--  	          0.00	--  	--  	--  	8.80	--  	0	      20291.75	山东	         17.86亿	20080612	
002270	法因数控	--  	--  	11.77	--  	--  	--  	0	--  	          0.00	--  	--  	--  	11.77	   155.73	0	      13143.70	山东	         15.47亿	20080905	
002520	日发精机	1.43	4.67	32.03	1.43	32.02	32.03	82339	0.12	          3.95	30.40	33.36	29.40	30.60	   131.53	260188992	      20871.00	浙江	         66.85亿	20101210	
002559	亚威股份	--  	--  	19.42	--  	--  	--  	0	--  	          0.00	--  	--  	--  	19.42	    33.89	0	      13317.53	江苏	         25.86亿	20110303	
300161	华中数控	-1.10	-5.92	17.49	-1.10	17.48	17.49	107954	0.28	          7.02	18.60	18.60	17.15	18.59	  1649.71	191872768	      15379.38	湖北	         26.90亿	20110113	
600243	青海华鼎	-0.46	-5.01	8.72	-0.46	8.72	8.74	90029	0.22	          3.80	9.20	9.21	8.30	9.18	--  	79217960	      23685.00	青海	         20.65亿	20001120	
600806	昆明机床	-0.61	-7.71	7.30	-0.61	7.29	7.30	342045	-0.13	          8.77	7.80	7.85	7.20	7.91	--  	256441824	      39018.62	云南	         28.48亿	19940103	
603011	合锻股份	3.41	9.99	37.53	3.41	37.53	--  	159062	0.00	         35.35	37.29	37.53	36.55	34.12	   252.37	594364736	       4500.00	安徽	         16.89亿	20141107	
数据来源:通达信
