代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000519	江南红箭	0.75	4.83	16.27	0.75	16.26	16.27	200539	-0.06	         10.53	15.63	16.47	14.90	15.52	    33.67	319446976	      19039.75	湖南	         30.98亿	19931008	
000530	大冷股份	--  	--  	11.27	--  	--  	--  	0	--  	          0.00	--  	--  	--  	11.27	    30.74	0	      21579.34	辽宁	         24.32亿	19931208	
000595	西北轴承	-0.45	-5.13	8.32	-0.45	8.32	8.33	111691	-0.23	          5.15	8.78	8.88	8.15	8.77	--  	94258032	      21681.03	宁夏	         18.04亿	19960419	
000617	石油济柴	-0.68	-6.23	10.23	-0.68	10.23	10.24	57926	-0.58	          2.01	10.89	10.89	10.00	10.91	--  	60538372	      28753.91	山东	         29.42亿	19961022	
000678	襄阳轴承	--  	--  	7.27	--  	--  	--  	0	--  	          0.00	--  	--  	--  	7.27	   157.01	0	      30107.63	湖北	         21.89亿	19970106	
000777	中核科技	0.19	0.58	32.90	0.19	32.90	32.91	771734	-0.21	         20.13	34.00	34.68	31.30	32.71	   181.03	2577256960	      38335.10	江苏	        126.12亿	19970710	
000816	江淮动力	-0.34	-4.42	7.35	-0.34	7.35	7.36	352677	-0.13	          3.24	7.76	7.76	7.15	7.69	   185.65	260796688	     108877.75	江苏	         80.03亿	19970818	
000856	冀东装备	0.01	0.11	9.04	0.01	9.03	9.04	107752	-0.11	          8.16	9.03	9.09	8.40	9.03	--  	95212176	      13207.05	河北	         11.94亿	19980813	
000880	潍柴重机	-0.34	-2.75	12.04	-0.34	12.04	12.05	55657	-0.08	          4.12	12.43	12.44	11.81	12.38	    61.46	67218712	      13513.50	山东	         16.27亿	19980402	
000903	云内动力	-0.28	-4.03	6.67	-0.28	6.66	6.67	170545	-0.29	          2.51	6.96	6.98	6.66	6.95	    38.23	115006864	      68076.00	云南	         45.41亿	19990415	
000908	天一科技	-0.63	-3.81	15.91	-0.63	15.91	15.93	37449	0.00	          1.34	16.52	16.52	15.70	16.54	--  	59779712	      28000.00	湖南	         44.55亿	19990203	
002026	山东威达	-0.47	-4.40	10.22	-0.47	10.22	10.23	43684	0.00	          1.91	10.69	10.69	10.15	10.69	    32.63	45205972	      22815.00	山东	         23.32亿	20040727	
002046	轴研科技	0.20	1.91	10.66	0.20	10.66	10.67	273079	0.00	          8.02	10.43	10.85	9.82	10.46	   244.82	286156384	      34056.60	河南	         36.30亿	20050526	
002050	三花股份	--  	--  	13.57	--  	--  	--  	0	--  	          0.00	--  	--  	--  	13.57	    19.62	0	      75871.92	浙江	        102.96亿	20050607	
002101	广东鸿图	-1.13	-5.68	18.75	-1.13	18.75	18.76	52470	0.00	          2.74	19.89	19.90	18.50	19.88	    27.61	99438880	      19169.25	广东	         35.94亿	20061229	
002122	天马股份	-0.42	-4.91	8.14	-0.42	8.14	8.15	427111	0.00	          4.06	8.53	8.55	7.80	8.56	   280.75	349221152	     105146.97	浙江	         85.59亿	20070328	
002147	方圆支承	-0.48	-4.80	9.53	-0.48	9.53	9.54	117033	0.31	          5.66	10.00	10.00	9.30	10.01	   876.10	112316440	      20674.86	安徽	         19.70亿	20070808	
002150	通润装备	-0.50	-5.02	9.47	-0.50	9.45	9.47	43181	1.71	          1.74	9.98	10.00	9.31	9.97	    40.00	41487492	      24786.00	江苏	         23.47亿	20070810	
002272	川润股份	-0.48	-6.08	7.41	-0.48	7.41	7.42	158443	0.00	          5.18	7.89	7.89	7.11	7.89	   576.39	119280320	      30572.97	四川	         22.65亿	20080919	
002342	巨力索具	-0.31	-4.43	6.68	-0.31	6.68	6.69	364363	-0.29	          4.63	6.95	6.98	6.50	6.99	   103.70	245698176	      78615.50	河北	         52.52亿	20100126	
002347	泰尔重工	-0.57	-4.32	12.63	-0.57	12.62	12.63	56774	-0.15	          4.93	13.00	13.19	12.24	13.20	   180.16	71841376	      11510.00	安徽	         14.54亿	20100128	
002413	常发股份	0.30	1.49	20.40	0.30	20.40	20.41	104045	-0.43	          4.72	20.13	20.93	18.09	20.10	   100.08	208429440	      22050.00	江苏	         44.98亿	20100528	
002418	康盛股份	-0.20	-1.39	14.24	-0.20	14.24	14.29	76821	0.28	          4.70	14.44	15.12	13.00	14.44	--  	111686864	      16338.44	浙江	         23.27亿	20100601	
002435	长江润发	-0.58	-5.23	10.51	-0.58	10.51	10.54	37517	-0.37	          2.10	11.03	11.09	10.35	11.09	    46.07	40064668	      17897.33	江苏	         18.81亿	20100618	
