代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000565	渝三峡Ａ	-0.92	-5.70	15.23	-0.92	15.23	15.24	55748	0.13	          3.21	16.02	16.05	15.03	16.15	    47.52	85814576	      17343.68	重庆	         26.41亿	19940408	
002010	传化股份	-0.44	-4.23	9.97	-0.44	9.96	9.97	82424	-0.10	          2.00	10.41	10.43	9.83	10.41	    23.64	83246408	      41283.30	浙江	         41.16亿	20040629	
002256	彩虹精化	-0.58	-4.92	11.22	-0.58	11.22	11.24	85494	0.08	          2.73	11.80	11.85	11.11	11.80	    52.36	97125488	      31320.00	深圳	         35.14亿	20080625	
002319	乐通股份	-0.60	-5.23	10.88	-0.60	10.86	10.88	94186	0.18	          4.71	11.48	11.57	10.80	11.48	   227.13	104336096	      19979.53	广东	         21.74亿	20091211	
002440	闰土股份	-0.52	-2.94	17.19	-0.52	17.18	17.19	234186	-0.05	          5.26	17.73	17.73	17.03	17.71	    11.15	406246400	      44518.32	浙江	         76.53亿	20100706	
300063	天龙集团	--  	--  	17.75	--  	--  	--  	0	--  	          0.00	--  	--  	--  	17.75	 14046.26	0	      11374.65	广东	         20.19亿	20100326	
300067	安诺其	-0.53	-4.98	10.12	-0.53	10.11	10.12	91614	0.00	          4.92	10.60	10.64	9.90	10.65	    33.00	93763816	      18635.56	上海	         18.86亿	20100421	
300192	科斯伍德	--  	--  	9.23	--  	--  	--  	0	--  	          0.00	--  	--  	--  	9.23	    61.84	0	      14973.75	江苏	         13.82亿	20110322	
300225	金力泰	-0.61	-5.37	10.75	-0.61	10.70	10.75	106463	0.74	          5.93	11.37	11.41	10.36	11.36	    32.97	114980624	      17954.08	上海	         19.30亿	20110531	
300398	飞凯材料	-3.64	-5.15	67.00	-3.64	67.00	67.01	24500	-0.14	         12.25	70.50	70.50	66.73	70.64	    59.59	166421488	       2000.00	上海	         13.40亿	20141009	
600352	浙江龙盛	-0.46	-2.91	15.35	-0.46	15.34	15.35	667611	0.13	          4.37	15.81	15.86	15.11	15.81	     8.72	1031726912	     152786.59	浙江	        234.53亿	20030801	
603188	亚邦股份	-1.63	-3.34	47.16	-1.63	47.15	47.17	62705	-0.04	          8.71	48.45	48.70	46.98	48.79	    19.78	298476928	       7200.00	江苏	         33.96亿	20140909	
数据来源:通达信
