代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000722	湖南发展	-0.39	-4.27	8.75	-0.39	8.74	8.75	113897	0.00	          4.25	9.13	9.13	8.56	9.14	    19.04	100436800	      26812.35	湖南	         23.46亿	19970522	
000791	甘肃电投	-0.49	-3.68	12.81	-0.49	12.80	12.81	64827	-0.54	          5.65	13.40	13.47	12.65	13.30	    39.47	84171216	      11477.80	甘肃	         14.70亿	19971014	
000993	闽东电力	0.15	1.49	10.24	0.15	10.23	10.24	88983	0.39	          2.39	10.16	10.25	9.60	10.09	    32.49	88849280	      37300.00	福建	         38.20亿	20000731	
002039	黔源电力	-0.28	-2.29	11.95	-0.28	11.94	11.95	77534	0.16	          2.54	12.35	12.44	11.81	12.23	     9.73	93355912	      30537.52	贵州	         36.49亿	20050303	
600101	明星电力	-0.47	-4.78	9.36	-0.47	9.35	9.36	149734	-0.21	          4.62	9.80	9.82	9.20	9.83	    19.93	141946256	      32417.90	四川	         30.34亿	19970627	
600116	三峡水利	-0.58	-4.28	12.97	-0.58	12.96	12.98	159442	-0.07	          5.96	13.50	13.51	12.53	13.55	    22.33	207355184	      26753.32	重庆	         34.70亿	19970804	
600131	岷江水电	-0.37	-5.46	6.41	-0.37	6.40	6.41	145246	0.00	          3.66	6.78	6.78	6.22	6.78	    17.61	94717400	      39736.69	四川	         25.47亿	19980402	
600236	桂冠电力	0.00	0.00	4.70	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	4.70	    15.23	0	     112823.02	广西	         53.03亿	20000323	
600310	桂东电力	0.69	3.26	21.87	0.69	21.80	21.85	185350	-0.13	          6.72	21.41	22.80	19.83	21.18	    86.74	397070592	      27592.50	广西	         60.34亿	20010228	
600505	西昌电力	-0.22	-1.83	11.78	-0.22	11.76	11.77	62708	-0.59	          1.72	11.93	12.00	11.25	12.00	    64.35	73196592	      36456.75	四川	         42.95亿	20020530	
600644	乐山电力	-0.50	-5.17	9.18	-0.50	9.18	9.19	213805	0.10	          6.55	9.69	9.69	9.00	9.68	    79.23	198528128	      32648.00	四川	         29.97亿	19930426	
600868	梅雁吉祥	-0.06	-1.55	3.80	-0.06	3.79	3.80	2435505	-0.52	         12.83	3.97	4.07	3.70	3.86	   401.92	947076288	     189814.88	广东	         72.13亿	19940912	
600886	国投电力	0.03	0.39	7.80	0.03	7.78	7.79	1371359	0.25	          2.02	7.79	8.06	7.56	7.77	     8.55	1077553920	     678602.31	甘肃	        529.31亿	19960118	
600900	长江电力	-0.04	-0.43	9.24	-0.04	9.22	9.26	1058287	0.43	          1.09	9.35	9.55	9.02	9.28	    12.10	985407552	     974594.13	北京	        900.52亿	20031118	
600969	郴电国际	-0.69	-4.39	15.01	-0.69	15.00	15.03	33857	-0.66	          1.61	15.64	15.76	14.95	15.70	    29.77	51513828	      21026.76	湖南	         31.56亿	20040408	
600979	广安爱众	-0.34	-4.84	6.69	-0.34	6.68	6.70	126680	0.14	          1.76	7.04	7.05	6.50	7.03	    43.65	85847088	      71789.21	四川	         48.03亿	20040906	
600995	文山电力	-0.40	-5.28	7.17	-0.40	7.17	7.18	200821	-0.41	          4.20	7.58	7.64	7.06	7.57	    18.13	146819744	      47852.64	云南	         34.31亿	20040615	
数据来源:通达信
