代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000605	渤海股份	-1.12	-5.88	17.92	-1.12	17.92	17.95	22558	0.00	          2.55	18.85	18.88	17.53	19.04	    89.10	41139864	       8842.98	北京	         15.85亿	19960913	
000685	中山公用	0.82	3.80	22.40	0.82	22.40	22.41	517252	-0.35	          7.90	21.70	23.20	20.66	21.58	    26.06	1139435392	      65505.55	广东	        146.73亿	19970123	
600168	武汉控股	-0.67	-5.71	11.06	-0.67	11.07	11.08	158272	-0.18	          2.78	11.68	11.70	10.80	11.73	    18.89	178174512	      56888.10	湖北	         62.92亿	19980427	
600187	国中水务	-0.31	-4.54	6.52	-0.31	6.51	6.52	1250632	0.00	          8.59	6.83	6.83	6.42	6.83	    94.25	824872256	     145562.42	黑龙江	         94.91亿	19981111	
600283	钱江水利	-1.31	-8.57	13.97	-1.31	13.95	13.97	352061	-0.56	         12.34	14.90	14.90	13.75	15.28	   315.51	500987520	      28533.00	浙江	         39.86亿	20001018	
600323	瀚蓝环境	-0.71	-4.92	13.73	-0.71	13.72	13.73	198213	-0.07	          4.06	14.44	14.44	13.69	14.44	    27.75	276810144	      48792.32	广东	         66.99亿	20001225	
600461	洪城水业	-0.72	-6.24	10.81	-0.72	10.79	10.80	163965	-0.46	          4.97	11.50	11.50	10.74	11.53	    23.52	180781376	      33000.00	江西	         35.67亿	20040601	
600649	城投控股	0.00	0.00	7.23	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	7.23	    15.43	0	     298752.34	上海	        216.00亿	19930518	
601158	重庆水务	0.02	0.26	7.78	0.02	7.78	7.79	682812	-0.12	          1.42	8.12	8.30	7.40	7.76	    19.55	536182016	     480000.00	重庆	        373.44亿	20100329	
601199	江南水务	-0.92	-4.47	19.64	-0.92	19.65	19.67	82802	-0.45	          3.54	20.60	20.60	19.48	20.56	    29.31	164557328	      23380.00	江苏	         45.92亿	20110317	
数据来源:通达信
