代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000401	冀东水泥	-0.71	-6.31	10.55	-0.71	10.54	10.55	500122	-0.09	          4.13	11.12	11.49	10.13	11.26	   514.07	525678208	     121233.36	河北	        127.90亿	19960614	
000672	上峰水泥	-0.31	-3.60	8.31	-0.31	8.31	8.32	75541	-0.12	          3.59	8.65	8.68	8.00	8.62	    16.81	63019460	      21069.01	甘肃	         17.51亿	19961218	
000789	万年青	-0.45	-3.76	11.53	-0.45	11.52	11.53	189090	-0.17	          4.62	12.02	12.09	11.31	11.98	     9.43	220433120	      40888.75	江西	         47.14亿	19970923	
000877	天山股份	-0.52	-6.15	7.94	-0.52	7.94	7.95	616689	-0.25	          7.01	8.52	8.58	7.80	8.46	    17.06	500808352	      88001.99	新疆	         69.87亿	19990107	
000885	同力水泥	-0.41	-4.48	8.75	-0.41	8.75	8.76	32316	0.00	          0.76	9.15	9.16	8.70	9.16	    29.44	28720950	      42679.92	河南	         37.34亿	19990319	
000935	四川双马	-0.43	-6.01	6.73	-0.43	6.72	6.73	143492	0.29	          7.60	7.17	7.17	6.58	7.16	   119.28	98402728	      18890.02	四川	         12.71亿	19990824	
002233	塔牌集团	-0.39	-4.44	8.40	-0.39	8.39	8.40	240776	-0.11	          4.33	8.83	8.86	8.25	8.79	    11.42	205711088	      55565.60	广东	         46.68亿	20080516	
002302	西部建设	-0.94	-6.23	14.16	-0.94	14.16	14.17	110719	-0.14	          4.09	15.01	15.01	13.77	15.10	    32.14	160057488	      27091.33	新疆	         38.36亿	20091103	
002346	柘中建设	-0.56	-4.49	11.90	-0.56	11.88	11.90	49669	-0.08	          7.10	12.47	12.48	11.58	12.46	   795.61	59179808	       7000.00	上海	          8.33亿	20100128	
002619	巨龙管业	--  	--  	22.42	--  	--  	--  	0	--  	          0.00	--  	--  	--  	22.42	   198.34	0	      10231.25	浙江	         22.94亿	20110929	
600217	秦岭水泥	-0.16	-2.10	7.45	-0.16	7.44	7.45	156872	0.13	          2.37	7.62	7.66	7.31	7.61	--  	116921608	      66080.00	陕西	         49.23亿	19991216	
600291	西水股份	-1.47	-7.06	19.35	-1.47	19.34	19.35	480262	-0.51	         12.51	20.45	21.18	19.00	20.82	    24.26	959488832	      38400.00	内蒙	         74.30亿	20000731	
600318	巢东股份	0.00	0.00	11.20	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	11.20	    17.93	0	      24200.00	安徽	         27.10亿	20001208	
600425	青松建化	-0.37	-5.73	6.09	-0.37	6.08	6.09	374579	-0.16	          2.72	6.45	6.45	6.02	6.46	--  	231753920	     137879.02	新疆	         83.97亿	20030724	
600449	宁夏建材	-0.64	-5.79	10.41	-0.64	10.41	10.42	199780	-0.09	          7.97	11.05	11.15	10.21	11.05	    13.42	211717264	      25076.77	宁夏	         26.10亿	20030829	
600539	狮头股份	-0.39	-4.55	8.19	-0.39	8.16	8.17	123159	1.11	          5.35	8.55	8.55	7.80	8.58	--  	101012472	      23000.00	山西	         18.84亿	20010824	
600585	海螺水泥	-0.75	-3.80	18.97	-0.75	18.98	18.99	1217108	0.42	          3.04	19.93	20.00	18.45	19.72	     9.23	2332300032	     399970.25	安徽	        758.74亿	20020207	
600668	尖峰集团	-0.49	-3.50	13.51	-0.49	13.50	13.51	202896	0.07	          5.90	13.99	14.01	13.40	14.00	    14.15	276464320	      34385.21	浙江	         46.45亿	19930728	
600678	四川金顶	0.81	10.04	8.88	0.81	8.88	--  	10129	0.00	          0.29	8.88	8.88	8.88	8.07	--  	8994135	      34899.00	四川	         30.99亿	19931008	
600720	祁连山	-0.45	-4.89	8.75	-0.45	8.75	8.76	579776	-0.11	          7.47	9.25	9.30	8.68	9.20	     8.02	515878304	      77616.27	甘肃	         67.91亿	19960716	
600801	华新水泥	-0.37	-4.02	8.83	-0.37	8.82	8.83	425622	0.34	          4.38	9.27	9.36	8.62	9.20	    12.16	382014368	      97167.99	湖北	         85.80亿	19940103	
600802	福建水泥	-0.41	-4.65	8.40	-0.41	8.39	8.40	194370	-0.11	          5.09	8.81	8.81	8.00	8.81	--  	165293408	      38187.37	福建	         32.08亿	19940103	
600881	亚泰集团	0.09	1.17	7.81	0.09	7.80	7.81	1482948	0.00	          7.83	7.75	8.19	7.25	7.72	    69.16	1161942528	     189473.20	吉林	        147.98亿	19951115	
600883	博闻科技	-0.54	-5.16	9.93	-0.54	9.93	9.95	48292	-0.40	          2.05	10.43	10.43	9.70	10.47	--  	48540808	      23608.80	云南	         23.44亿	19951208	
601992	金隅股份	-0.88	-9.21	8.68	-0.88	8.68	8.69	1021176	0.00	          3.28	9.44	9.53	8.60	9.56	    17.89	904363136	     311140.25	北京	        270.07亿	20110301	
数据来源:通达信
