代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
002320	海峡股份	-0.69	-5.42	12.05	-0.69	12.05	12.06	96663	-0.08	          2.27	12.73	12.74	11.90	12.74	    64.58	117981064	      42587.60	海南	         51.32亿	20091216	
000520	*ST凤凰	--  	--  	0.00	--  	--  	--  	0	--  	          0.00	--  	--  	--  	--  	--  	--  	     100371.70	湖北	          0.00亿	19931025	
600026	中海发展	-0.49	-6.92	6.59	-0.49	6.58	6.59	532256	0.00	          2.52	7.10	7.12	6.40	7.08	   197.30	357889280	     210855.66	上海	        138.95亿	20020523	
600242	中昌海运	0.00	0.00	8.78	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	8.78	--  	0	      26696.25	广东	         23.44亿	20001207	
600428	中远航运	-0.33	-5.88	5.28	-0.33	5.28	5.29	702190	0.57	          4.15	5.59	5.59	5.08	5.61	    34.91	374238048	     169044.64	广东	         89.26亿	20020418	
600692	亚通股份	-0.57	-4.85	11.19	-0.57	11.20	11.21	158129	-0.08	          6.20	11.76	11.76	10.99	11.76	   146.75	179213632	      25501.05	上海	         28.54亿	19931119	
600751	天津海运	1.15	9.98	12.67	1.15	12.67	--  	916563	0.00	         26.68	11.45	12.67	11.10	11.52	  2388.73	1096771328	      34350.75	天津	         43.52亿	19960909	
600798	宁波海运	-0.18	-3.51	4.95	-0.18	4.95	4.96	247123	0.00	          2.84	5.14	5.15	4.78	5.13	--  	122691336	      87117.45	浙江	         43.12亿	19970423	
600896	中海海盛	0.08	1.39	5.82	0.08	5.82	5.83	766044	-0.85	         13.18	5.99	6.20	5.51	5.74	--  	453839424	      58131.57	海南	         33.83亿	19960503	
601866	中海集运	-0.19	-5.11	3.53	-0.19	3.52	3.53	1598940	0.00	          2.02	3.70	3.72	3.40	3.72	    46.61	572582080	     793212.50	上海	        280.00亿	20071212	
601872	招商轮船	-0.21	-4.72	4.24	-0.21	4.24	4.25	700940	0.47	          1.86	4.39	4.45	4.08	4.45	    47.95	299022752	     377673.75	上海	        160.13亿	20061201	
601919	中国远洋	-0.25	-4.51	5.29	-0.25	5.28	5.29	1567299	-0.18	          2.05	5.55	5.60	5.26	5.54	--  	845924096	     763567.44	天津	        403.93亿	20070626	
603167	渤海轮渡	-0.81	-6.32	12.01	-0.81	12.02	12.03	290168	-0.08	          9.53	12.80	12.82	11.90	12.82	    21.03	353838272	      30451.61	山东	         36.57亿	20120906	
数据来源:通达信
