代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000550	江铃汽车	0.55	1.71	32.77	0.55	32.75	32.77	47406	0.24	          0.92	32.24	33.61	31.75	32.22	    13.86	155952800	      51739.21	江西	        169.55亿	19931201	
000572	海马汽车	-0.23	-4.32	5.10	-0.23	5.09	5.10	429597	-0.19	          2.62	5.30	5.32	5.01	5.33	    39.84	221985200	     164205.73	海南	         83.74亿	19940808	
000625	长安汽车	0.53	3.34	16.41	0.53	16.40	16.41	687909	0.06	          2.03	15.88	16.92	15.65	15.88	    10.52	1124359936	     338752.00	重庆	        555.89亿	19970610	
000800	一汽轿车	0.56	4.25	13.74	0.56	13.74	13.75	839868	0.21	          5.95	13.16	13.85	12.90	13.18	    68.10	1122361344	     141175.41	吉林	        193.98亿	19970618	
000868	安凯客车	-0.34	-5.45	5.90	-0.34	5.89	5.90	293353	-0.16	          4.22	6.26	6.29	5.83	6.24	   166.23	176641840	      69556.15	安徽	         41.04亿	19970725	
000927	一汽夏利	0.29	4.60	6.59	0.29	6.58	6.59	354219	0.45	          2.22	6.28	6.61	6.06	6.30	--  	224693152	     159517.09	天津	        105.12亿	19990727	
000951	中国重汽	-0.75	-4.55	15.73	-0.75	15.73	15.75	113670	-0.25	          2.71	16.49	16.54	15.44	16.48	    13.37	181217344	      41942.55	山东	         65.98亿	19991125	
000957	中通客车	--  	--  	13.90	--  	--  	--  	0	--  	          0.00	--  	--  	--  	13.90	     8.96	0	      23847.91	山东	         33.15亿	20000113	
002594	比亚迪	-1.22	-2.74	43.36	-1.22	43.36	43.37	128938	-0.02	          1.95	44.66	44.73	43.00	44.58	   207.04	564595136	      65973.24	深圳	        286.06亿	20110630	
600006	东风汽车	-0.27	-4.49	5.75	-0.27	5.72	5.74	455805	0.87	          2.28	6.02	6.03	5.42	6.02	    46.42	262974464	     200000.00	湖北	        115.00亿	19990727	
600066	宇通客车	0.68	3.43	20.52	0.68	20.50	20.51	530830	0.00	          4.27	20.10	20.73	19.20	19.84	    17.35	1068614208	     124421.64	河南	        255.31亿	19970508	
600104	上汽集团	0.28	1.31	21.58	0.28	21.58	21.59	763574	-0.09	          0.83	21.63	22.36	20.81	21.30	     8.74	1656107648	     924242.19	上海	       1994.51亿	19971125	
600166	福田汽车	-0.25	-3.88	6.20	-0.25	6.20	6.21	960013	-0.32	          3.78	6.45	6.52	6.10	6.45	    43.37	604604864	     253810.02	北京	        157.36亿	19980602	
600178	*ST东安	-0.02	-0.32	6.25	-0.02	6.23	6.26	87453	0.16	          1.89	6.28	6.32	5.96	6.27	--  	53880292	      46208.00	黑龙江	         28.88亿	19981014	
600213	亚星客车	0.18	1.32	13.84	0.18	13.84	13.85	28483	0.21	          1.29	13.65	14.10	13.40	13.66	--  	39080044	      22000.00	江苏	         30.45亿	19990831	
600303	曙光股份	-0.23	-3.75	5.90	-0.23	5.90	5.91	252775	1.89	          4.40	6.16	6.16	5.70	6.13	    42.99	149433488	      57450.60	辽宁	         33.90亿	20001226	
600375	华菱星马	-0.65	-4.97	12.43	-0.65	12.39	12.40	273796	0.00	          5.50	13.01	13.03	12.00	13.08	    49.23	345364896	      49788.89	安徽	         61.89亿	20030401	
600418	江淮汽车	-0.35	-2.89	11.77	-0.35	11.77	11.78	573582	0.17	          5.37	12.12	12.35	11.40	12.12	    27.03	682695680	     106903.75	安徽	        125.83亿	20010824	
600609	金杯汽车	-0.21	-4.82	4.15	-0.21	4.14	4.15	385104	0.24	          3.52	4.36	4.36	4.10	4.36	--  	161852608	     109266.71	辽宁	         45.35亿	19920724	
600686	金龙汽车	-0.53	-4.15	12.23	-0.53	12.22	12.23	129212	-0.08	          2.92	12.77	12.87	11.86	12.76	    30.05	159037280	      44259.71	福建	         54.13亿	19931108	
600760	中航黑豹	0.00	0.00	11.77	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	11.77	--  	0	      34494.51	山东	         40.60亿	19961011	
601238	广汽集团	-0.21	-2.41	8.49	-0.21	8.47	8.48	255769	0.11	          4.23	8.66	9.05	8.21	8.70	    18.03	220107552	      60431.64	广东	         51.31亿	20120329	
601633	长城汽车	3.78	9.79	42.38	3.78	42.39	42.40	165402	0.07	          0.82	40.01	42.46	39.50	38.60	    17.31	686292096	     200924.30	河北	        851.52亿	20110928	
数据来源:通达信
