代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000030	富奥股份	-0.34	-4.14	7.88	-0.34	7.87	7.88	152721	-0.12	          2.72	8.25	8.25	7.74	8.22	    16.11	121891440	      56056.17	吉林	         44.17亿	19930929	
000338	潍柴动力	-0.68	-2.87	22.99	-0.68	22.99	23.00	570320	0.04	          5.45	23.68	23.99	22.28	23.67	     7.75	1323601920	     104608.49	山东	        240.49亿	20070430	
000559	万向钱潮	-0.55	-3.83	13.80	-0.55	13.79	13.80	696904	0.14	          3.65	14.30	14.47	13.40	14.35	    38.64	972084800	     190825.09	浙江	        263.34亿	19940110	
000581	威孚高科	-0.85	-3.04	27.15	-0.85	27.13	27.15	147332	0.00	          2.17	27.98	28.28	26.75	28.00	    16.76	403179200	      67848.32	江苏	        184.21亿	19980924	
000589	黔轮胎Ａ	-0.35	-5.09	6.53	-0.35	6.53	6.54	195775	-0.15	          4.00	6.90	6.92	6.40	6.88	    29.27	129848376	      48884.73	贵州	         31.92亿	19960308	
000599	青岛双星	-0.31	-4.69	6.30	-0.31	6.30	6.31	183385	0.00	          3.49	6.61	6.61	6.20	6.61	    77.58	117178464	      52481.05	山东	         33.06亿	19960430	
000622	恒立实业	-0.43	-5.63	7.21	-0.43	7.20	7.21	186730	0.00	          6.83	7.60	7.60	6.91	7.64	--  	135894320	      27320.35	湖南	         19.70亿	19961107	
000700	模塑科技	-0.59	-4.07	13.90	-0.59	13.90	13.93	121104	0.07	          3.92	14.49	14.65	13.70	14.49	    15.95	171258080	      30904.35	江苏	         42.96亿	19970228	
000710	天兴仪表	--  	--  	13.60	--  	--  	--  	0	--  	          0.00	--  	--  	--  	13.60	--  	0	      15120.00	四川	         20.56亿	19970422	
000757	浩物股份	-0.26	-3.54	7.08	-0.26	7.08	7.09	128160	0.14	          4.10	7.31	7.34	7.01	7.34	   178.38	91720920	      31280.26	四川	         22.15亿	19970627	
000760	斯太尔	-0.46	-3.32	13.40	-0.46	13.40	13.42	70826	0.00	          2.99	13.81	13.82	13.00	13.86	  9445.52	95121888	      23685.23	江苏	         31.74亿	19970627	
002013	中航机电	2.20	10.01	24.18	2.20	24.17	24.18	302568	0.00	         10.33	22.10	24.18	21.22	21.98	    55.76	695912640	      29285.81	湖北	         70.81亿	20040705	
002031	巨轮股份	-0.39	-2.24	17.00	-0.39	16.99	17.00	315748	-0.52	          7.21	17.28	17.70	15.65	17.39	    59.39	513829280	      43814.57	广东	         74.48亿	20040816	
002048	宁波华翔	-0.55	-3.55	14.94	-0.55	14.94	14.95	192831	-0.06	          4.19	15.60	15.67	14.77	15.49	    13.30	291989472	      46002.08	浙江	         68.73亿	20050603	
002085	万丰奥威	-0.85	-3.21	25.65	-0.85	25.64	25.65	39213	0.03	          1.07	26.55	26.57	25.20	26.50	    24.79	100854888	      36813.28	浙江	         94.43亿	20061128	
002126	银轮股份	-0.33	-2.31	13.93	-0.33	13.93	13.94	81645	0.00	          2.76	14.27	14.30	13.71	14.26	    31.01	113483984	      29591.32	浙江	         41.22亿	20070418	
002190	成飞集成	--  	--  	54.29	--  	--  	--  	0	--  	          0.00	--  	--  	--  	54.29	  2694.99	0	      34518.83	四川	        187.40亿	20071203	
002213	特 尔 佳	-0.22	-1.91	11.31	-0.22	11.30	11.31	38584	-0.26	          3.06	11.50	11.53	11.01	11.53	   138.16	43595516	      12614.04	深圳	         14.27亿	20080201	
002265	西仪股份	0.45	3.51	13.27	0.45	13.26	13.27	90020	-0.07	          3.17	12.95	13.48	11.54	12.82	  2268.87	116761592	      28372.59	云南	         37.65亿	20080806	
002283	天润曲轴	-0.46	-4.96	8.81	-0.46	8.81	8.82	156848	-0.22	          2.80	9.26	9.26	8.67	9.27	    35.88	140378528	      55941.17	山东	         49.28亿	20090821	
002284	亚太股份	-0.31	-2.08	14.60	-0.31	14.60	14.61	47846	0.20	          1.84	14.93	15.00	14.47	14.91	    31.65	70120848	      26067.17	浙江	         38.06亿	20090828	
002355	兴民钢圈	-0.28	-3.60	7.49	-0.28	7.49	7.50	192339	0.00	          5.66	7.78	7.78	7.34	7.77	    64.11	145353616	      33964.69	山东	         25.44亿	20100209	
002363	隆基机械	-2.05	-9.98	18.50	-2.05	--  	18.50	203149	0.00	          6.80	20.28	20.88	18.50	20.55	    99.14	388613920	      29880.00	山东	         55.28亿	20100305	
002406	远东传动	-0.61	-4.93	11.77	-0.61	11.76	11.77	116287	0.08	          6.58	12.39	12.39	11.55	12.38	    24.41	138712544	      17661.66	河南	         20.79亿	20100518	
002434	万里扬	-0.25	-1.46	16.88	-0.25	16.78	16.88	32268	0.71	          0.99	16.98	17.59	15.42	17.13	    31.51	54261388	      32679.36	浙江	         55.16亿	20100618	
002454	松芝股份	-0.50	-3.42	14.11	-0.50	14.11	14.12	115669	-0.07	          4.80	14.64	14.69	13.98	14.61	    20.92	164053648	      24081.55	上海	         33.98亿	20100720	
002488	金固股份	-0.03	-0.09	33.30	-0.03	33.00	33.30	46828	1.52	          5.38	33.85	35.33	31.50	33.33	    72.90	158119744	       8706.50	浙江	         28.99亿	20101021	
002510	天汽模	-0.30	-2.83	10.30	-0.30	10.30	10.31	97007	0.19	          3.15	10.60	10.61	10.16	10.60	    33.26	100236536	      30808.71	天津	         31.73亿	20101125	
002536	西泵股份	-1.11	-3.68	29.03	-1.11	29.02	29.03	32193	0.03	          7.25	30.00	30.08	28.31	30.14	    60.56	93752232	       4438.20	河南	         12.88亿	20110111	
002555	顺荣股份	4.24	10.01	46.59	4.24	46.59	--  	109774	0.00	         18.64	46.59	46.59	44.49	42.35	  1435.36	507541088	       5890.00	安徽	         27.44亿	20110302	
002590	万安科技	0.36	2.38	15.50	0.36	15.49	15.50	59039	0.12	          3.29	15.24	15.51	13.90	15.14	    49.21	87848472	      17945.35	浙江	         27.82亿	20110610	
002593	日上集团	-0.05	-0.34	14.69	-0.05	14.68	14.69	78166	-0.06	          5.99	14.80	14.84	14.25	14.74	    73.49	114524232	      13042.04	福建	         19.16亿	20110628	
002602	世纪华通	--  	--  	26.58	--  	--  	--  	0	--  	          0.00	--  	--  	--  	26.58	   111.44	0	      12600.00	浙江	         33.49亿	20110728	
002625	龙生股份	-0.55	-3.61	14.69	-0.55	14.68	14.69	39263	-0.06	          4.03	15.24	15.60	14.67	15.24	    66.90	58771140	       9734.16	浙江	         14.30亿	20111103	
002662	京威股份	-0.85	-5.80	13.80	-0.85	13.80	13.81	76085	0.00	          5.07	14.64	14.64	13.45	14.65	    28.64	106136952	      14998.71	北京	         20.70亿	20120309	
