代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000798	中水渔业	--  	--  	11.12	--  	--  	--  	0	--  	          0.00	--  	--  	--  	11.12	   160.76	0	      31944.91	北京	         35.52亿	19980212	
002069	獐 子 岛	--  	--  	15.46	--  	--  	--  	0	--  	          0.00	--  	--  	--  	15.46	--  	0	      68235.38	辽宁	        105.49亿	20060928	
002086	东方海洋	-0.56	-4.93	10.80	-0.56	10.79	10.80	92890	0.09	          3.91	11.35	11.35	10.70	11.36	    52.77	101771792	      23780.85	山东	         25.68亿	20061128	
002447	壹桥苗业	-0.44	-2.82	15.18	-0.44	15.17	15.18	45341	0.06	          2.06	15.69	15.75	14.80	15.62	    51.15	68920192	      21961.50	辽宁	         33.34亿	20100713	
002696	百洋股份	-0.57	-4.14	13.21	-0.57	13.20	13.21	45613	-0.07	          5.71	13.79	13.90	12.80	13.78	    47.89	60682600	       7990.91	广西	         10.56亿	20120905	
300094	国联水产	-0.02	-0.19	10.43	-0.02	10.41	10.43	86655	1.26	          2.47	10.50	10.90	9.85	10.45	    92.80	89246640	      35072.21	广东	         36.58亿	20100708	
600097	开创国际	-0.59	-4.17	13.55	-0.59	13.54	13.58	33163	-0.22	          1.64	14.11	14.20	13.40	14.14	    26.85	45379736	      20259.78	上海	         27.45亿	19970619	
600257	大湖股份	-0.27	-3.35	7.79	-0.27	7.78	7.79	249966	-0.38	          5.85	8.05	8.06	7.52	8.06	  1623.85	194287296	      42705.00	湖南	         33.27亿	20000612	
600467	好当家	-0.27	-4.12	6.28	-0.27	6.28	6.29	311158	-0.15	          4.26	6.56	6.60	6.21	6.55	   155.90	198366288	      73049.71	山东	         45.88亿	20040405	
数据来源:通达信
