代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000022	深赤湾Ａ	1.52	8.44	19.54	1.52	19.54	19.55	176266	0.51	          3.79	17.80	19.55	16.70	18.02	    25.77	325837920	      46486.73	深圳	         90.84亿	19930505	
000088	盐 田 港	0.44	4.93	9.36	0.44	9.36	9.37	1127097	-0.10	          5.80	8.98	9.50	8.42	8.92	    39.51	1019321664	     194212.78	深圳	        181.78亿	19970728	
000507	珠海港	0.61	6.94	9.40	0.61	9.39	9.40	1084548	0.21	         14.05	8.80	9.56	8.37	8.79	--  	981086784	      77214.38	广东	         72.58亿	19930326	
000582	北部湾港	-0.59	-3.54	16.09	-0.59	16.09	16.10	62162	0.00	          4.39	16.51	16.51	15.51	16.68	    20.22	100118816	      14166.61	广西	         22.79亿	19951102	
000905	厦门港务	0.55	3.80	15.02	0.55	15.01	15.02	464720	0.20	          8.75	14.26	15.10	13.79	14.47	    45.74	683583616	      53100.00	福建	         79.76亿	19990429	
002040	南 京 港	-0.33	-3.11	10.29	-0.33	10.28	10.29	73263	-0.29	          2.98	10.53	10.57	9.80	10.62	   138.11	75296448	      24587.19	江苏	         25.30亿	20050325	
600017	日照港	-0.15	-3.50	4.14	-0.15	4.14	4.15	1075844	0.00	          4.09	4.27	4.28	4.01	4.29	    16.76	447598784	     263063.16	山东	        108.91亿	20061017	
600018	上港集团	0.15	2.47	6.23	0.15	6.23	6.24	2580162	0.00	          1.13	6.12	6.40	5.98	6.08	    22.72	1602481664	    2275518.00	上海	       1417.65亿	20061026	
600190	锦州港	-0.18	-3.33	5.23	-0.18	5.22	5.23	141756	-0.19	          1.06	5.40	5.40	5.05	5.41	    50.17	74276984	     133898.05	辽宁	         70.03亿	19990609	
600279	重庆港九	-0.45	-3.25	13.41	-0.45	13.41	13.42	126831	-0.29	          3.71	13.86	13.99	12.70	13.86	    63.21	170041104	      34209.23	重庆	         45.87亿	20000731	
600317	营口港	-0.16	-3.43	4.51	-0.16	4.51	4.52	1039057	0.00	          3.16	4.64	4.64	4.32	4.67	    46.38	470837216	     329271.50	辽宁	        148.50亿	20020131	
600575	皖江物流	0.00	0.00	4.11	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	4.11	--  	0	     142320.00	安徽	         58.49亿	20030328	
600717	天津港	1.58	9.94	17.48	1.58	17.45	17.49	1392915	0.00	          8.32	15.90	17.49	15.18	15.90	    24.15	2294150656	     167476.91	天津	        292.75亿	19960614	
601000	唐山港	0.83	9.19	9.86	0.83	9.85	9.86	1548191	0.00	          7.63	8.84	9.93	8.37	9.03	    19.91	1423675136	     203035.16	河北	        200.19亿	20100705	
601008	连云港	-0.29	-4.05	6.87	-0.29	6.86	6.87	506496	-0.29	          6.24	7.10	7.10	6.47	7.16	    63.80	347603200	      81163.50	江苏	         55.76亿	20070426	
601018	宁波港	-0.15	-3.68	3.93	-0.15	3.92	3.93	2007842	0.51	          1.57	4.07	4.07	3.74	4.08	    15.87	793110528	    1280000.00	浙江	        503.04亿	20100928	
601880	大连港	-0.17	-3.64	4.50	-0.17	4.49	4.50	968931	-0.22	          2.88	4.65	4.65	4.34	4.67	    35.69	438160928	     336340.00	辽宁	        151.35亿	20101206	
数据来源:通达信
