代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000027	深圳能源	0.29	2.90	10.28	0.29	10.28	10.29	1105450	0.09	         11.53	10.19	10.70	9.50	9.99	    13.22	1132349056	      95835.00	深圳	         98.52亿	19930903	
000037	深南电Ａ	-0.16	-2.56	6.08	-0.16	6.08	6.09	76042	-0.16	          2.24	6.25	6.35	5.97	6.24	--  	46981592	      33889.39	深圳	         20.60亿	19940701	
000531	穗恒运Ａ	-0.28	-1.84	14.92	-0.28	14.92	14.93	279858	0.00	          4.09	15.46	16.15	14.35	15.20	    14.64	423541376	      68508.13	广东	        102.21亿	19940106	
000539	粤电力Ａ	0.00	0.00	6.33	0.00	6.32	6.33	458982	-0.15	          2.16	6.38	6.62	6.08	6.33	     8.23	292901504	     212769.03	广东	        134.68亿	19931126	
000543	皖能电力	-0.02	-0.19	10.36	-0.02	10.36	10.38	663826	-0.28	          6.48	10.50	10.87	10.01	10.38	    11.53	696462272	     102515.75	安徽	        106.21亿	19931220	
000600	建投能源	-0.39	-4.37	8.53	-0.39	8.52	8.53	336458	0.00	          3.68	8.93	8.98	8.23	8.92	     7.22	289914304	      91358.03	河北	         77.93亿	19960606	
000601	韶能股份	-0.14	-2.16	6.33	-0.14	6.33	6.34	315296	-0.15	          3.17	6.49	6.63	6.08	6.47	    19.31	202178176	      99398.67	广东	         62.92亿	19960830	
000690	宝新能源	-0.14	-2.54	5.37	-0.14	5.36	5.37	946102	-0.18	          5.52	5.57	5.65	5.26	5.51	     8.35	516443808	     171265.66	广东	         91.97亿	19970128	
000720	新能泰山	-0.29	-5.92	4.61	-0.29	4.61	4.62	518582	0.00	          6.01	4.93	4.96	4.55	4.90	    53.19	243768784	      86345.92	山东	         39.81亿	19970509	
000767	漳泽电力	-0.20	-4.87	3.91	-0.20	3.91	3.92	615064	0.00	          3.91	4.12	4.16	3.83	4.11	    20.71	245305296	     157371.63	山西	         61.53亿	19970609	
000875	吉电股份	-0.29	-6.12	4.45	-0.29	4.45	4.46	410929	0.00	          6.23	4.75	4.77	4.33	4.74	   480.20	186748368	      66003.21	吉林	         29.37亿	20020926	
000883	湖北能源	--  	--  	6.43	--  	--  	--  	0	--  	          0.00	--  	--  	--  	6.43	    22.70	0	     534603.25	湖北	        343.75亿	19980519	
000899	赣能股份	-0.23	-3.54	6.26	-0.23	6.26	6.27	201148	-0.15	          3.62	6.51	6.58	6.12	6.49	    10.78	127293504	      55518.16	江西	         34.75亿	19971126	
000939	凯迪电力	-0.68	-5.75	11.15	-0.68	11.15	11.16	494719	-0.08	          5.26	11.83	11.90	10.90	11.83	    60.31	564425216	      94032.74	湖北	        104.85亿	19990923	
000958	东方能源	-0.70	-5.38	12.30	-0.70	12.30	12.31	208993	0.16	          9.52	13.02	13.12	12.20	13.00	    27.20	260830144	      21947.96	河北	         27.00亿	19991223	
000966	长源电力	-0.37	-3.43	10.43	-0.37	10.43	10.44	216450	-0.09	          3.91	10.81	10.96	10.32	10.80	     6.97	229358272	      55414.19	湖北	         57.80亿	20000316	
001896	豫能控股	-0.40	-4.18	9.17	-0.40	9.17	9.19	54360	-0.32	          1.26	9.57	9.72	9.05	9.57	    14.10	50810692	      42999.25	河南	         39.43亿	19980122	
002479	富春环保	0.15	1.56	9.75	0.15	9.74	9.75	476680	0.30	          6.52	9.60	9.99	9.11	9.60	    39.44	457090528	      73141.99	浙江	         71.31亿	20100921	
600011	华能国际	0.06	0.85	7.16	0.06	7.14	7.15	1146267	-0.13	          1.09	7.22	7.44	6.90	7.10	     7.75	821979264	    1050000.00	北京	        751.80亿	20011206	
600021	上海电力	0.10	1.43	7.10	0.10	7.09	7.10	735486	0.14	          3.44	7.42	7.42	6.85	7.00	    18.69	529650368	     213973.92	上海	        151.92亿	20031029	
600023	浙能电力	-0.24	-3.73	6.20	-0.24	6.20	6.21	773689	-0.16	          9.79	6.56	6.66	6.10	6.44	    12.96	493372672	      79063.02	浙江	         49.02亿	20131219	
600027	华电国际	0.01	0.19	5.15	0.01	5.14	5.15	1618981	0.38	          2.75	5.17	5.40	4.96	5.14	     8.00	839295232	     588005.63	山东	        302.82亿	20050203	
600098	广州发展	-0.22	-3.05	7.00	-0.22	7.00	7.01	402331	0.00	          1.65	7.20	7.33	6.76	7.22	    14.19	284050368	     243737.45	广东	        170.62亿	19970718	
600396	金山股份	0.00	0.00	4.98	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	4.98	    11.26	0	      68120.00	辽宁	         33.92亿	20010328	
600452	涪陵电力	-0.49	-3.13	15.14	-0.49	15.14	15.15	35287	0.93	          2.21	15.63	15.63	14.72	15.63	    34.50	53503456	      16000.00	重庆	         24.22亿	20040303	
