代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000723	美锦能源	-0.60	-7.51	7.39	-0.60	7.39	7.40	217009	-0.13	         11.14	8.00	8.00	7.19	7.99	   457.00	163373488	      19486.41	山西	         14.40亿	19970515	
600179	黑化股份	0.00	0.00	8.40	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	8.40	--  	0	      39000.00	黑龙江	         32.76亿	19981104	
600408	安泰集团	-0.26	-6.50	3.74	-0.26	3.73	3.74	703519	0.26	          6.99	4.00	4.02	3.65	4.00	--  	268092000	     100680.00	山西	         37.65亿	20030212	
600721	百花村	-0.77	-6.81	10.53	-0.77	10.54	10.55	77110	0.38	          6.43	11.30	11.30	10.30	11.30	--  	82568832	      11995.84	新疆	         12.63亿	19960626	
600725	云维股份	-0.33	-6.12	5.06	-0.33	5.05	5.06	211867	0.00	          3.44	5.39	5.39	4.93	5.39	--  	108537624	      61623.50	云南	         31.18亿	19960702	
600740	山西焦化	-0.36	-4.95	6.91	-0.36	6.91	6.92	380553	-0.14	          5.79	7.29	7.31	6.71	7.27	   192.37	265702624	      65683.27	山西	         45.39亿	19960808	
600792	云煤能源	0.81	9.71	9.15	0.81	9.09	9.10	767324	0.00	          8.06	9.17	9.17	8.34	8.34	  1268.79	668221568	      95202.89	云南	         87.11亿	19970123	
601011	宝泰隆	-0.88	-6.69	12.27	-0.88	12.27	12.28	124945	0.00	          3.23	13.06	13.06	12.02	13.15	    65.45	156373696	      38700.00	黑龙江	         47.48亿	20110309	
601015	陕西黑猫	-1.99	-9.25	19.52	-1.99	19.51	19.53	334776	-0.20	         27.90	20.98	20.98	19.36	21.51	    68.40	672746176	      12000.00	陕西	         23.42亿	20141105	
数据来源:通达信
