代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000552	靖远煤电	-0.72	-6.31	10.69	-0.72	10.69	10.70	322066	-0.09	          9.09	11.48	11.49	10.37	11.41	    21.17	350467936	      35412.42	甘肃	         37.86亿	19940106	
000571	新大洲Ａ	-0.31	-5.35	5.48	-0.31	5.47	5.48	373825	0.00	          5.08	5.85	5.85	5.35	5.79	    36.22	208584048	      73542.67	海南	         40.30亿	19940525	
000780	平庄能源	-0.38	-6.13	5.82	-0.38	5.81	5.82	439005	-0.17	          4.33	6.18	6.18	5.58	6.20	--  	258955456	     101430.63	内蒙	         59.03亿	19970606	
000933	神火股份	-0.05	-0.84	5.89	-0.05	5.88	5.89	1312311	-0.16	          7.00	6.10	6.12	5.60	5.94	--  	775352640	     187365.03	河南	        110.36亿	19990831	
000937	冀中能源	-0.32	-3.54	8.73	-0.32	8.72	8.73	909813	-0.22	          4.12	9.00	9.45	8.50	9.05	   436.34	807830784	     220706.56	河北	        192.68亿	19990909	
000968	煤 气 化	-0.50	-5.26	9.01	-0.50	9.00	9.01	268940	-0.11	          5.23	9.48	9.49	8.76	9.51	--  	245565968	      51374.69	山西	         46.29亿	20000622	
000983	西山煤电	-0.39	-4.91	7.55	-0.39	7.55	7.56	1153353	0.00	          3.66	7.97	8.00	7.27	7.94	    52.08	885857152	     315117.00	山西	        237.91亿	20000726	
002128	露天煤业	-0.51	-5.16	9.37	-0.51	9.36	9.37	390597	0.21	          2.94	9.80	9.80	9.02	9.88	    40.56	370644096	     132668.17	内蒙	        124.31亿	20070418	
600121	郑州煤电	-0.34	-5.39	5.97	-0.34	5.97	5.98	392726	0.33	          5.62	6.35	6.45	5.73	6.31	--  	239351792	      69834.40	河南	         41.69亿	19980107	
600123	兰花科创	-0.64	-5.96	10.10	-0.64	10.10	10.11	850734	0.00	          7.45	10.74	10.75	9.80	10.74	   492.43	873919488	     114240.00	山西	        115.38亿	19981217	
600157	永泰能源	-0.27	-5.22	4.90	-0.27	4.88	4.90	2737059	0.82	          9.08	5.18	5.25	4.68	5.17	    32.99	1359137920	     301300.28	山西	        147.64亿	19980513	
600188	兖州煤业	0.24	1.82	13.41	0.24	13.41	13.42	615287	-0.07	          2.08	13.10	14.00	12.62	13.17	    25.31	818591424	     295998.00	山东	        396.93亿	19980701	
600348	阳泉煤业	-0.39	-4.51	8.26	-0.39	8.25	8.26	982375	0.00	          4.08	8.70	8.79	8.09	8.65	    35.27	827385280	     240500.00	山西	        198.65亿	20030821	
600381	*ST贤成	-0.71	-3.21	21.41	-0.71	21.41	21.42	47123	-0.09	          2.52	22.01	22.14	21.30	22.12	    20.66	101648736	      18711.68	青海	         40.06亿	20010508	
600395	盘江股份	-0.75	-6.37	11.02	-0.75	11.01	11.02	596994	0.27	          3.61	11.79	11.82	10.63	11.77	    36.79	669725248	     165505.19	贵州	        182.39亿	20010531	
600397	安源煤业	0.38	5.97	6.74	0.38	6.73	6.74	1008295	2.43	         15.62	6.71	6.89	6.12	6.36	   150.56	660034176	      64533.30	江西	         43.50亿	20020702	
600403	大有能源	-0.49	-6.55	6.99	-0.49	6.98	6.99	289912	-0.14	          1.21	7.54	7.55	6.79	7.48	    99.06	205665008	     239081.23	河南	        167.12亿	20031009	
600508	上海能源	-0.60	-5.19	10.96	-0.60	10.97	10.98	238876	-0.09	          3.31	11.58	11.64	10.50	11.56	    83.35	266284992	      72271.79	上海	         79.21亿	20010829	
600546	山煤国际	-0.40	-6.46	5.79	-0.40	5.80	5.81	1324147	-0.51	          6.68	6.19	6.20	5.57	6.19	   120.24	781767296	     198245.59	山西	        114.78亿	20030731	
600652	爱使股份	-0.52	-6.50	7.48	-0.52	7.48	7.50	388580	0.67	          6.98	7.89	7.97	7.31	8.00	--  	295804512	      55700.26	上海	         41.66亿	19901219	
600714	金瑞矿业	0.00	0.00	11.22	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	11.22	   305.12	0	      27340.44	青海	         30.68亿	19960606	
600971	恒源煤电	-0.33	-3.83	8.29	-0.33	8.29	8.30	728064	0.36	          7.28	8.70	8.79	8.00	8.62	   147.98	612354560	     100000.40	安徽	         82.90亿	20040817	
600997	开滦股份	-0.09	-1.23	7.21	-0.09	7.22	7.23	732014	-0.55	          5.93	7.50	7.74	6.79	7.30	    51.07	538674432	     123464.00	河北	         89.02亿	20040602	
601001	大同煤业	-0.67	-6.71	9.32	-0.67	9.32	9.33	921609	-0.10	          5.51	10.10	10.10	9.00	9.99	    20.73	879164160	     167370.00	山西	        155.99亿	20060623	
601088	中国神华	-0.63	-3.39	17.95	-0.63	17.97	17.98	1555436	-0.16	          0.94	18.71	18.76	17.41	18.58	     9.04	2815458560	    1649103.75	北京	       2960.14亿	20071009	
601101	昊华能源	-0.42	-4.96	8.05	-0.42	8.03	8.04	512720	0.00	          4.27	8.46	8.55	7.68	8.47	    49.14	419807360	     119999.82	北京	         96.60亿	20100331	
