代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000544	中原环保	--  	--  	12.27	--  	--  	--  	0	--  	          0.00	--  	--  	--  	12.27	    53.15	0	      26945.98	河南	         33.06亿	19931208	
000598	兴蓉投资	-0.26	-3.99	6.25	-0.26	6.24	6.25	1629318	0.00	          9.42	6.51	6.52	6.05	6.51	    20.80	1025748032	     173051.20	四川	        108.16亿	19960529	
000826	桑德环境	-0.83	-3.21	25.05	-0.83	25.04	25.05	274036	0.00	          3.26	25.91	25.95	24.52	25.88	    30.94	689882048	      83933.35	湖北	        210.25亿	19980225	
002200	云投生态	-0.88	-5.20	16.04	-0.88	16.04	16.05	58670	0.25	          5.44	16.95	16.95	16.00	16.92	--  	95849432	      10782.91	云南	         17.30亿	20071221	
002549	凯美特气	-0.48	-3.16	14.72	-0.48	14.72	14.73	33307	-0.06	          2.42	15.20	15.20	14.67	15.20	    94.06	49560992	      13770.00	湖南	         20.27亿	20110218	
002573	国电清新	-1.04	-4.33	22.96	-1.04	22.96	22.98	165924	-0.08	          3.12	23.87	23.90	22.41	24.00	    43.72	382992000	      53143.42	北京	        122.02亿	20110422	
002616	长青集团	0.58	2.18	27.17	0.58	27.16	27.17	44230	0.25	          5.43	26.63	27.17	25.54	26.59	    53.81	115585136	       8140.00	广东	         22.12亿	20110920	
002672	东江环保	-1.06	-3.15	32.61	-1.06	32.61	32.62	45121	-0.12	          3.56	33.70	33.76	32.00	33.67	    43.19	146111088	      12657.33	广东	         41.28亿	20120426	
300055	万邦达	2.14	5.20	43.33	2.14	43.32	43.33	63715	-0.04	          3.71	40.81	45.20	39.61	41.19	    71.52	265162208	      17184.46	北京	         74.46亿	20100226	
300070	碧水源	-0.70	-2.07	33.18	-0.70	33.18	33.19	256032	-0.06	          3.96	34.18	34.30	32.00	33.88	   159.47	855097536	      64693.33	北京	        214.65亿	20100421	
300156	神雾环保	--  	--  	23.18	--  	--  	--  	0	--  	          0.00	--  	--  	--  	23.18	   396.44	0	      23367.39	北京	         54.17亿	20110107	
300172	中电环保	-1.08	-4.54	22.69	-1.08	22.69	22.70	112805	0.30	         11.03	23.42	23.50	21.60	23.77	    63.20	256896576	      10224.55	江苏	         23.20亿	20110201	
300187	永清环保	0.04	0.12	32.60	0.04	32.60	32.69	36357	0.18	          1.84	33.26	33.70	31.41	32.56	   104.03	119199704	      19739.23	湖南	         64.35亿	20110308	
300190	维尔利	-0.87	-3.17	26.61	-0.87	26.60	26.61	37329	-0.07	          2.43	27.50	27.60	26.21	27.48	    82.71	99850552	      15392.45	江苏	         40.96亿	20110316	
300197	铁汉生态	-0.50	-3.48	13.87	-0.50	13.87	13.90	92650	0.07	          3.16	14.38	14.38	13.62	14.37	    37.85	129009104	      29293.67	深圳	         40.63亿	20110329	
300262	巴安水务	-0.75	-3.72	19.40	-0.75	19.39	19.40	105526	-0.05	          6.71	20.04	20.04	18.30	20.15	    61.87	203386128	      15727.58	上海	         30.51亿	20110916	
300332	天壕节能	--  	--  	14.06	--  	--  	--  	0	--  	          0.00	--  	--  	--  	14.06	    40.57	0	      22666.75	北京	         31.87亿	20120628	
300355	蒙草抗旱	-0.88	-5.06	16.52	-0.88	16.51	16.52	115267	0.18	          5.60	17.40	17.40	16.28	17.40	    37.39	192760000	      20584.33	内蒙	         34.01亿	20120927	
300388	国祯环保	-3.68	-6.63	51.82	-3.68	51.82	51.97	39088	-0.32	         17.72	54.94	54.94	51.26	55.50	    81.02	206669088	       2206.00	安徽	         11.43亿	20140801	
600008	首创股份	-0.27	-2.83	9.28	-0.27	9.26	9.28	948989	0.43	          4.31	9.46	9.48	8.96	9.55	    69.42	876309440	     220000.00	北京	        204.16亿	20000427	
600292	中电远达	-0.51	-2.19	22.78	-0.51	22.78	22.80	155262	0.00	          3.03	23.79	23.99	22.60	23.29	    46.90	359154912	      51187.26	重庆	        116.60亿	20001101	
600874	创业环保	-0.37	-3.86	9.21	-0.37	9.19	9.22	390307	0.00	          3.59	9.55	9.58	8.90	9.58	    38.75	360725760	     108722.84	天津	        100.13亿	19950630	
603126	中材节能	-0.73	-4.44	15.70	-0.73	15.70	15.72	87140	-0.19	         10.89	16.40	16.40	15.37	16.43	    54.61	138295376	       8000.00	天津	         12.56亿	20140731	
数据来源:通达信
