代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000012	南  玻Ａ	-0.30	-3.44	8.41	-0.30	8.41	8.42	852449	0.00	          6.54	8.71	8.81	8.21	8.71	    17.75	725878400	     130276.85	深圳	        109.56亿	19920228	
002201	九鼎新材	-0.20	-1.95	10.04	-0.20	10.03	10.04	53342	0.00	          2.45	10.24	10.35	9.75	10.24	   311.50	53999280	      21766.63	江苏	         21.85亿	20071226	
002571	德力股份	-0.24	-2.05	11.47	-0.24	11.47	11.48	114711	-0.26	          5.59	11.73	11.73	11.14	11.71	    95.97	131143696	      20517.57	安徽	         23.53亿	20110412	
002623	亚玛顿	-1.04	-4.06	24.56	-1.04	24.55	24.56	28460	0.04	          1.78	25.55	25.60	24.22	25.60	   125.55	70514424	      16000.00	江苏	         39.30亿	20111013	
300093	金刚玻璃	-1.19	-8.83	12.29	-1.19	12.29	12.30	137348	-0.48	          6.38	13.45	13.50	12.13	13.48	   115.51	172742592	      21526.34	广东	         26.46亿	20100708	
300160	秀强股份	--  	--  	16.35	--  	--  	--  	0	--  	          0.00	--  	--  	--  	16.35	    82.05	0	      18680.00	江苏	         30.54亿	20110113	
300196	长海股份	0.09	0.42	21.47	0.09	21.46	21.47	39216	0.75	          3.57	21.77	21.77	20.20	21.38	    28.97	81928840	      10993.33	江苏	         23.60亿	20110329	
300395	菲利华	-3.15	-4.50	66.80	-3.15	66.80	66.86	21097	-0.13	         13.02	69.80	69.80	66.79	69.95	    73.36	142534368	       1620.00	湖北	         10.82亿	20140910	
600176	中国玻纤	-0.39	-2.90	13.07	-0.39	13.05	13.06	213637	-0.15	          2.45	13.50	13.59	12.53	13.46	    29.69	277506176	      87262.95	浙江	        114.05亿	19990422	
600184	光电股份	2.44	7.60	34.55	2.44	34.55	34.56	98561	-0.31	          4.71	32.15	34.87	29.01	32.11	   431.86	329226656	      20938.03	湖北	         72.34亿	20031106	
600293	三峡新材	-0.33	-4.17	7.58	-0.33	7.55	7.56	191289	0.26	          5.55	7.90	7.91	7.37	7.91	   232.13	144753680	      34450.26	湖北	         26.11亿	20000919	
600529	山东药玻	-0.27	-2.02	13.12	-0.27	13.11	13.13	66088	0.00	          2.57	13.47	13.47	12.84	13.39	    26.09	86790744	      25738.00	山东	         33.77亿	20020603	
600552	方兴科技	0.00	0.00	19.01	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	19.01	    66.46	0	      34223.94	安徽	         65.06亿	20021108	
600586	金晶科技	-0.19	-4.67	3.88	-0.19	3.88	3.89	516367	-0.25	          5.34	4.07	4.07	3.80	4.07	   269.61	202706496	      96710.93	山东	         37.52亿	20020815	
600629	棱光实业	0.26	1.42	18.59	0.26	18.61	18.70	65988	0.21	          1.90	18.42	19.70	18.18	18.33	--  	124879936	      34799.98	上海	         64.69亿	19930209	
600819	耀皮玻璃	-0.75	-7.25	9.60	-0.75	9.59	9.60	114112	-0.31	          2.10	10.38	10.38	9.42	10.35	   189.06	111825800	      54375.01	上海	         52.20亿	19940128	
600876	洛阳玻璃	0.00	0.00	7.24	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	7.24	   374.48	0	      25001.82	河南	         18.10亿	19951031	
601636	旗滨集团	-0.33	-3.82	8.30	-0.33	8.29	8.30	125316	0.12	          2.25	8.64	8.67	8.10	8.63	    31.10	104947936	      55578.58	湖南	         46.13亿	20110812	
数据来源:通达信
