代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000004	国农科技	-1.36	-6.23	20.47	-1.36	20.47	20.48	45549	0.00	          5.43	21.78	21.78	20.12	21.83	--  	93501240	       8387.54	深圳	         17.17亿	19910114	
000078	海王生物	-0.47	-4.45	10.10	-0.47	10.09	10.10	379984	0.00	          5.20	10.58	10.59	9.83	10.57	   102.41	387773696	      73076.79	深圳	         73.81亿	19981218	
000403	ST生化	-1.04	-5.01	19.71	-1.04	--  	19.71	118311	0.00	          6.52	20.61	20.65	19.71	20.75	    33.59	235915472	      18151.84	江西	         35.78亿	19960628	
000518	四环生物	-0.29	-4.83	5.72	-0.29	5.72	5.73	556183	0.00	          5.40	6.00	6.00	5.51	6.01	   153.98	322934464	     102953.57	江苏	         58.89亿	19930908	
000661	长春高新	-2.78	-3.05	88.30	-2.78	88.29	88.30	27864	0.04	          2.12	91.10	91.16	87.01	91.08	    51.40	246255904	      13132.37	吉林	        115.96亿	19961218	
000915	山大华特	-1.10	-3.64	29.12	-1.10	29.12	29.13	58520	0.06	          3.26	30.01	30.21	29.05	30.22	    28.44	172355824	      17930.16	山东	         52.21亿	19990609	
002007	华兰生物	-1.95	-5.15	35.95	-1.95	35.95	35.96	191307	0.02	          3.32	37.80	37.80	35.01	37.90	    37.08	693738816	      57686.69	河南	        207.38亿	20040625	
002022	科华生物	-0.45	-1.83	24.12	-0.45	24.11	24.12	214320	0.08	          5.64	24.57	24.57	23.41	24.57	    36.33	515040256	      38012.08	上海	         91.69亿	20040721	
002030	达安基因	-0.52	-2.15	23.62	-0.52	23.61	23.62	175350	0.04	          3.33	24.12	24.17	22.88	24.14	    98.81	413494272	      52603.53	广东	        124.25亿	20040809	
002038	双鹭药业	-0.70	-1.64	42.00	-0.70	42.00	42.15	112619	-0.45	          2.98	42.96	43.52	41.77	42.70	    27.11	478265120	      37746.55	北京	        158.54亿	20040909	
002252	上海莱士	-1.12	-2.40	45.60	-1.12	45.60	45.61	47996	0.00	          0.49	46.51	46.51	45.51	46.72	   130.58	219620976	      97920.00	上海	        446.52亿	20080623	
002332	仙琚制药	-0.25	-2.40	10.15	-0.25	10.15	10.16	121147	-0.09	          2.66	10.44	10.49	9.90	10.40	    94.46	122905400	      45613.12	浙江	         46.30亿	20100112	
002365	永安药业	-0.76	-5.21	13.83	-0.76	13.83	13.84	62693	0.07	          4.53	14.60	14.61	13.51	14.59	    63.94	87722160	      13834.84	湖北	         19.13亿	20100305	
002550	千红制药	-0.23	-0.95	24.10	-0.23	24.08	24.10	57579	0.00	          2.81	24.50	24.55	23.66	24.33	    32.38	138314224	      20513.41	江苏	         49.44亿	20110218	
300009	安科生物	-0.75	-4.25	16.89	-0.75	16.89	16.95	66617	0.11	          3.57	17.61	17.61	16.81	17.64	    44.81	113480240	      18655.17	安徽	         31.51亿	20091030	
300119	瑞普生物	-0.46	-3.98	11.09	-0.46	11.08	11.09	65944	-0.09	          3.25	11.59	11.60	10.82	11.55	    82.35	73837168	      20313.10	天津	         22.53亿	20100917	
300122	智飞生物	-2.79	-10.00	25.12	-2.79	--  	25.12	199995	0.00	          6.22	28.90	28.90	25.12	27.91	   110.09	516485504	      32145.13	重庆	         80.75亿	20100928	
300142	沃森生物	2.95	6.78	46.48	2.95	46.48	46.49	52812	0.08	          3.18	43.31	47.88	42.39	43.53	--  	236637680	      16605.85	云南	         77.18亿	20101112	
300147	香雪制药	-0.72	-3.61	19.25	-0.72	19.25	19.26	126618	-0.05	          2.49	19.98	19.98	19.00	19.97	    48.48	245446976	      50806.10	广东	         97.80亿	20101215	
300204	舒泰神	-1.38	-4.68	28.10	-1.38	28.10	28.11	23813	0.14	          1.01	29.48	29.55	27.59	29.48	    40.95	67784912	      23575.42	北京	         66.25亿	20110415	
300239	东宝生物	-1.16	-7.25	14.84	-1.16	14.84	14.85	68308	0.00	          5.58	15.60	15.79	14.40	16.00	   689.40	103137384	      12244.01	内蒙	         18.17亿	20110706	
300255	常山药业	2.88	9.59	32.91	2.88	32.91	32.93	88522	-0.24	          6.85	29.80	33.03	29.19	30.03	    64.10	274956768	      12918.53	河北	         42.51亿	20110819	
300289	利德曼	-2.43	-6.98	32.39	-2.43	32.39	32.40	44122	0.21	          7.92	34.63	34.68	31.58	34.82	    58.05	144376176	       5572.68	北京	         18.05亿	20120216	
300294	博雅生物	-4.26	-5.74	69.97	-4.26	69.96	69.97	18475	0.08	          5.79	73.51	73.89	69.89	74.23	    56.04	131201872	       3188.44	江西	         22.31亿	20120308	
300357	我武生物	1.31	3.14	42.97	1.31	42.90	42.97	36502	-0.04	          9.04	41.67	43.84	38.80	41.66	    69.35	151788096	       4040.00	浙江	         17.36亿	20140121	
600161	天坛生物	-0.86	-3.05	27.38	-0.86	27.29	27.30	105921	0.29	          2.05	28.10	28.28	26.47	28.24	    41.23	290686240	      51546.69	北京	        141.13亿	19980616	
600200	江苏吴中	-0.41	-3.00	13.27	-0.41	13.24	13.25	234733	-0.22	          4.50	13.62	13.65	12.90	13.68	   273.96	311688128	      52208.92	江苏	         69.28亿	19990401	
600201	金宇集团	-0.93	-2.57	35.31	-0.93	35.26	35.28	38023	0.28	          1.35	36.40	36.40	35.00	36.24	    24.45	134876944	      28081.49	内蒙	         99.16亿	19990115	
600530	交大昂立	-0.46	-3.69	12.01	-0.46	12.01	12.02	109755	0.16	          3.52	12.43	12.50	11.72	12.47	    81.23	132775528	      31200.00	上海	         37.47亿	20010702	
600556	北生药业	-0.34	-2.57	12.89	-0.34	12.87	12.88	161767	0.31	          4.10	13.25	13.26	12.42	13.23	 14446.13	207028096	      39479.37	广西	         50.89亿	20010807	
600645	中源协和	0.00	0.00	39.51	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	39.51	   205.73	0	      32486.23	天津	        128.35亿	19930504	
600867	通化东宝	-1.12	-6.20	16.95	-1.12	16.93	16.94	909149	-0.29	          8.87	17.53	17.66	16.59	18.07	    59.71	1547885568	     102460.04	吉林	        173.67亿	19940824	
数据来源:通达信
