代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000607	华智控股	-0.55	-5.05	10.34	-0.55	10.33	10.34	134183	0.00	          2.75	10.91	10.92	10.19	10.89	   568.32	140678432	      48773.19	浙江	         50.43亿	19960830	
000676	思达高科	--  	--  	8.16	--  	--  	--  	0	--  	          0.00	--  	--  	--  	8.16	--  	0	      31400.86	河南	         25.62亿	19961224	
000862	银星能源	-0.52	-5.84	8.39	-0.52	8.39	8.40	136698	0.00	          4.83	8.88	8.90	8.25	8.91	--  	116164656	      28306.80	宁夏	         23.75亿	19980915	
000980	金马股份	-0.41	-5.82	6.64	-0.41	6.63	6.64	127567	0.00	          4.02	7.05	7.08	6.58	7.05	    75.47	86384688	      31700.00	安徽	         21.05亿	20000616	
000988	华工科技	-0.28	-2.05	13.35	-0.28	13.35	13.36	348438	-0.14	          3.91	13.49	13.68	12.68	13.63	    60.44	458997984	      89111.65	湖北	        118.96亿	20000608	
002008	大族激光	-0.37	-2.12	17.10	-0.37	17.10	17.11	425733	-0.05	          4.45	17.50	17.51	16.66	17.47	    25.60	730411712	      95620.15	深圳	        163.51亿	20040625	
002058	威 尔 泰	-0.13	-0.98	13.12	-0.13	13.12	13.13	59421	0.22	          4.15	13.18	13.48	12.65	13.25	  2312.47	77999472	      14330.19	上海	         18.80亿	20060802	
002121	科陆电子	-0.36	-2.40	14.65	-0.36	14.64	14.65	99539	0.00	          3.71	15.03	15.03	14.14	15.01	    51.38	145143936	      26853.17	深圳	         39.34亿	20070306	
002175	广陆数测	-2.00	-6.89	27.01	-2.00	27.00	27.01	51317	-0.07	          4.83	29.01	29.07	26.11	29.01	   316.80	139588848	      10624.57	广西	         28.70亿	20071012	
002197	证通电子	-1.29	-6.69	18.00	-1.29	18.00	18.01	147347	0.00	          7.00	19.00	19.08	17.36	19.29	    75.41	267417856	      21053.50	深圳	         37.90亿	20071218	
002214	大立科技	0.92	3.55	26.80	0.92	26.80	26.81	89881	-0.03	          6.32	25.90	27.54	24.51	25.88	   142.07	235141792	      14214.67	浙江	         38.10亿	20080218	
002236	大华股份	-1.24	-4.86	24.28	-1.24	24.28	24.29	347632	0.00	          5.27	25.52	25.58	23.61	25.52	    29.42	853764160	      66024.47	浙江	        160.31亿	20080520	
002338	奥普光电	5.03	10.01	55.28	5.03	55.28	--  	34795	0.00	          2.93	50.40	55.28	49.12	50.25	   124.15	184784768	      11863.95	吉林	         65.58亿	20100115	
002356	浩宁达	--  	--  	42.42	--  	--  	--  	0	--  	          0.00	--  	--  	--  	42.42	   352.20	0	       8000.00	深圳	         33.94亿	20100209	
002414	高德红外	0.97	4.36	23.24	0.97	23.24	23.25	194617	0.00	          4.19	22.29	23.65	21.34	22.27	   216.19	444236320	      46445.51	湖北	        107.94亿	20100716	
002415	海康威视	-0.13	-0.58	22.20	-0.13	22.18	22.20	400091	0.00	          1.27	22.66	22.66	21.10	22.33	    24.68	876530816	     315046.75	浙江	        699.40亿	20100528	
002518	科士达	-0.52	-2.87	17.61	-0.52	17.61	17.62	45519	0.00	          1.63	18.14	18.30	17.42	18.13	    42.20	80919440	      27845.46	深圳	         49.04亿	20101207	
002527	新时达	-0.97	-4.83	19.11	-0.97	19.11	19.12	128822	0.05	          5.77	19.90	19.90	18.72	20.08	    37.86	248680112	      22310.48	上海	         42.64亿	20101224	
002658	雪迪龙	-1.17	-4.19	26.73	-1.17	26.73	26.74	35678	0.00	          4.76	27.90	27.92	26.52	27.90	    45.06	96298648	       7494.56	北京	         20.03亿	20120309	
300007	汉威电子	-0.87	-2.83	29.89	-0.87	29.89	29.90	25345	0.00	          3.07	30.49	30.49	29.03	30.76	    87.78	75021920	       8247.34	河南	         24.65亿	20091030	
300012	华测检测	-0.63	-3.45	17.65	-0.63	17.64	17.65	70654	0.05	          3.47	18.26	18.26	17.39	18.28	    58.19	125194440	      20365.25	深圳	         35.94亿	20091030	
300066	三川股份	-0.38	-2.28	16.32	-0.38	16.32	16.33	35027	0.12	          1.51	16.67	16.67	15.58	16.70	    32.64	56436204	      23132.42	江西	         37.75亿	20100326	
300097	智云股份	--  	--  	25.75	--  	--  	--  	0	--  	          0.00	--  	--  	--  	25.75	   112.44	0	       7558.87	辽宁	         19.46亿	20100728	
300099	尤洛卡	-0.99	-6.76	13.66	-0.99	13.66	13.67	45051	-0.36	          4.16	14.70	14.70	13.59	14.65	   172.09	63271216	      10838.75	山东	         14.81亿	20100806	
300105	龙源技术	-0.72	-5.51	12.34	-0.72	12.34	12.35	135878	0.00	          2.65	13.00	13.00	12.07	13.06	    64.11	170133648	      51321.60	山东	         63.33亿	20100820	
300112	万讯自控	--  	--  	10.87	--  	--  	--  	0	--  	          0.00	--  	--  	--  	10.87	    84.96	0	      12676.55	深圳	         13.78亿	20100827	
300124	汇川技术	-1.52	-5.03	28.72	-1.52	28.72	28.73	106277	0.00	          1.74	30.18	30.18	27.70	30.24	    36.23	307528992	      60942.64	深圳	        175.03亿	20100928	
300137	先河环保	-0.84	-4.97	16.06	-0.84	16.06	16.07	165064	0.06	          6.26	16.85	16.85	15.78	16.90	    88.71	268120448	      26378.16	河北	         42.36亿	20101105	
300165	天瑞仪器	-0.88	-3.85	21.97	-0.88	21.89	21.97	45080	0.41	          5.07	22.83	22.83	21.53	22.85	    58.89	99409472	       8895.50	江苏	         19.54亿	20110125	
300203	聚光科技	-1.05	-5.12	19.46	-1.05	19.46	19.47	93686	-0.10	          2.11	20.50	20.51	19.40	20.51	    59.06	185730240	      44500.00	浙江	         86.60亿	20110415	
300217	东方电热	-0.38	-3.64	10.07	-0.38	10.06	10.07	125733	0.00	          5.85	10.44	10.44	9.90	10.45	    41.46	127826056	      21497.27	江苏	         21.65亿	20110518	
300259	新天科技	-0.94	-5.48	16.21	-0.94	16.21	16.36	81833	-0.55	          5.75	17.16	17.46	15.81	17.15	    47.91	134779536	      14223.29	河南	         23.06亿	20110831	
300286	安科瑞	-0.67	-2.63	24.85	-0.67	24.82	24.85	20900	-0.04	          5.93	25.53	25.55	24.12	25.52	    47.11	51631472	       3526.80	上海	          8.76亿	20120113	
300306	远方光电	-2.00	-5.53	34.17	-2.00	34.16	34.17	24416	0.00	          6.58	36.18	36.18	34.00	36.17	    50.45	85041736	       3707.95	浙江	         12.67亿	20120329	
300338	开元仪器	-1.07	-5.17	19.64	-1.07	19.61	19.64	34095	-0.20	          7.06	20.62	20.78	19.12	20.71	    56.83	67777592	       4828.66	湖南	          9.48亿	20120726	
300349	金卡股份	-0.92	-2.90	30.79	-0.92	30.70	30.79	22531	-0.06	          5.01	31.71	31.72	30.08	31.71	    39.29	68944392	       4500.00	浙江	         13.86亿	20120817	
300354	东华测试	-1.30	-4.47	27.78	-1.30	27.45	27.78	27104	1.34	          9.69	29.03	29.03	26.90	29.08	   629.64	75305256	       2798.13	江苏	          7.77亿	20120920	
300360	炬华科技	-1.72	-6.35	25.37	-1.72	25.37	25.38	80816	-0.07	         13.55	26.95	27.15	24.91	27.09	    31.51	207974320	       5964.00	浙江	         15.13亿	20140121	
300370	安控科技	--  	--  	40.00	--  	--  	--  	0	--  	          0.00	--  	--  	--  	40.00	   252.47	0	       2690.00	北京	         10.76亿	20140123	
300371	汇中股份	-1.80	-5.40	31.55	-1.80	31.53	31.55	15342	0.15	          6.39	33.20	33.34	31.21	33.35	    57.32	49063496	       2400.00	河北	          7.57亿	20140123	
600366	宁波韵升	-0.93	-5.16	17.10	-0.93	17.10	17.11	242153	0.05	          4.71	18.14	18.18	16.52	18.03	    34.78	420917728	      51449.76	浙江	         87.98亿	20001030	
600651	飞乐音响	0.09	0.96	9.50	0.09	9.50	9.51	829339	0.00	         11.22	9.72	10.17	9.09	9.41	   196.43	800660032	      73906.53	上海	         70.21亿	19901219	
600654	飞乐股份	-0.36	-3.23	10.80	-0.36	10.80	10.81	177372	0.00	          2.35	11.17	11.17	10.63	11.16	   137.41	193433216	      75504.31	上海	         81.54亿	19901219	
600848	自仪股份	0.00	0.00	7.92	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	7.92	--  	0	      29214.14	上海	         23.14亿	19940324	
601222	林洋电子	-0.59	-2.36	24.40	-0.59	24.39	24.40	37723	0.04	          1.07	24.95	24.95	24.35	24.99	    25.75	92360296	      35194.73	江苏	         85.88亿	20110808	
601567	三星电气	0.29	1.47	20.02	0.29	20.07	20.08	50031	0.04	          1.45	19.77	20.10	18.85	19.73	    29.78	97495240	      34425.00	浙江	         68.92亿	20110615	
603100	川仪股份	-1.00	-5.66	16.67	-1.00	16.67	16.68	129501	0.06	         12.95	17.70	17.74	16.30	17.67	    38.89	219697552	      10000.00	重庆	         16.67亿	20140805	
数据来源:通达信
