代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000049	德赛电池	-0.90	-2.43	36.21	-0.90	36.20	36.21	61362	0.00	          2.99	37.10	37.10	35.82	37.11	    38.67	223379808	      20524.36	深圳	         74.32亿	19950320	
000400	许继电气	-0.33	-1.59	20.48	-0.33	20.47	20.48	358459	0.09	          6.03	20.90	20.99	19.91	20.81	    26.13	735911680	      59433.28	河南	        121.72亿	19970418	
000585	东北电气	-0.21	-4.93	4.05	-0.21	4.05	4.06	189577	0.24	          3.11	4.26	4.32	3.92	4.26	--  	78077496	      60942.10	辽宁	         24.68亿	19951213	
000682	东方电子	-0.24	-4.58	5.00	-0.24	5.00	5.01	364459	0.00	          3.73	5.23	5.23	4.90	5.24	   176.46	184224368	      97800.45	山东	         48.90亿	19970121	
000806	银河投资	-0.54	-5.78	8.81	-0.54	8.80	8.81	497328	1.03	          7.12	9.33	9.33	8.42	9.35	   657.89	439409408	      69844.82	广西	         61.53亿	19980416	
000922	佳电股份	-0.80	-5.04	15.07	-0.80	15.06	15.07	189438	0.00	          6.35	16.01	16.34	14.41	15.87	    41.96	293809952	      29843.50	黑龙江	         44.97亿	19990618	
000967	上风高科	--  	--  	11.93	--  	--  	--  	0	--  	          0.00	--  	--  	--  	11.93	    89.95	0	      24576.49	浙江	         29.32亿	20000330	
002028	思源电气	-0.48	-3.79	12.18	-0.48	12.17	12.18	269592	0.00	          5.78	12.67	12.70	11.90	12.66	    17.43	331233792	      46646.76	上海	         56.82亿	20040805	
002074	东源电器	-0.57	-3.36	16.39	-0.57	16.38	16.39	91683	-0.06	          4.11	16.92	16.92	15.90	16.96	   112.46	150727040	      22316.65	江苏	         36.58亿	20061018	
002112	三变科技	-0.69	-5.80	11.20	-0.69	11.20	11.21	91561	0.08	          4.89	11.98	11.98	10.81	11.89	   182.25	103848160	      18706.90	浙江	         20.95亿	20070208	
002123	荣信股份	-0.35	-3.76	8.95	-0.35	8.94	8.95	180169	-0.11	          3.98	9.31	9.34	8.75	9.30	--  	162876032	      45291.50	辽宁	         40.54亿	20070328	
002130	沃尔核材	-0.12	-0.84	14.21	-0.12	14.20	14.21	684573	-0.14	         19.71	14.62	14.85	13.70	14.33	    88.18	986235008	      34725.69	深圳	         49.35亿	20070420	
002164	*ST东力	-0.31	-4.96	5.94	-0.31	5.94	5.95	134865	0.00	          3.33	6.17	6.19	5.94	6.25	--  	80842064	      40512.50	浙江	         24.06亿	20070823	
002168	深圳惠程	--  	--  	10.13	--  	--  	--  	0	--  	          0.00	--  	--  	--  	10.13	--  	0	      56803.58	深圳	         57.54亿	20070919	
002169	智光电气	-0.20	-1.63	12.05	-0.20	12.02	12.05	143534	0.33	          5.84	12.33	12.34	11.14	12.25	   108.58	167041408	      24588.78	广东	         29.63亿	20070919	
002176	江特电机	-0.62	-4.21	14.11	-0.62	14.11	14.12	156554	0.28	          3.68	14.69	14.69	13.90	14.73	   126.76	223356800	      42548.98	江西	         60.04亿	20071012	
002180	万 力 达	--  	--  	23.51	--  	--  	--  	0	--  	          0.00	--  	--  	--  	23.51	    47.83	0	      10219.74	广东	         24.03亿	20071113	
002202	金风科技	-0.27	-2.19	12.04	-0.27	12.03	12.04	742464	-0.08	          3.47	12.35	12.60	11.87	12.31	    20.36	903033408	     213853.45	新疆	        257.48亿	20071226	
