代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000021	长城开发	-0.53	-6.55	7.56	-0.53	7.56	7.57	502427	0.13	          3.42	8.08	8.19	7.40	8.09	    60.82	389191456	     146981.44	深圳	        111.12亿	19940202	
000066	长城电脑	-0.27	-4.07	6.36	-0.27	6.35	6.36	204355	0.00	          1.54	6.63	6.63	6.28	6.63	--  	131060320	     132357.02	深圳	         84.18亿	19970626	
000748	长城信息	0.33	1.11	30.03	0.33	30.03	30.05	88727	0.16	          2.36	29.90	30.25	29.00	29.70	   131.94	265200096	      37556.21	湖南	        112.78亿	19970704	
000977	浪潮信息	-1.26	-3.17	38.46	-1.26	38.45	38.46	103154	-0.05	          2.40	39.72	39.88	37.51	39.72	    71.94	399111104	      43000.00	山东	        165.38亿	20000608	
002027	七喜控股	-0.47	-4.94	9.04	-0.47	9.03	9.04	94375	-0.11	          4.64	9.52	9.53	8.73	9.51	  1997.11	86031256	      20348.88	广东	         18.40亿	20040804	
002152	广电运通	-1.10	-5.31	19.60	-1.10	19.59	19.60	134880	0.00	          1.56	20.70	20.70	19.10	20.70	    29.87	266351248	      86304.35	广东	        169.16亿	20070813	
002177	御银股份	-0.50	-6.31	7.42	-0.50	7.42	7.43	543407	-0.13	         10.00	7.88	7.89	7.31	7.92	    35.58	410276064	      54339.60	广东	         40.32亿	20071101	
002308	威创股份	-0.37	-4.10	8.65	-0.37	8.65	8.68	144888	-0.34	          1.73	9.02	9.08	8.60	9.02	   104.78	127269832	      83550.63	广东	         72.27亿	20091127	
002312	三泰电子	--  	--  	23.89	--  	--  	--  	0	--  	          0.00	--  	--  	--  	23.89	--  	0	      30381.13	四川	         72.58亿	20091203	
002351	漫步者	-0.88	-4.26	19.77	-0.88	19.68	19.77	48896	2.96	          3.93	20.48	20.50	18.75	20.65	    61.05	95107320	      12439.80	深圳	         24.59亿	20100205	
002362	汉王科技	-0.80	-4.01	19.14	-0.80	19.14	19.15	58250	0.05	          3.32	19.90	19.90	18.87	19.94	   624.85	112349872	      17550.88	北京	         33.59亿	20100303	
002376	新北洋	-0.40	-3.33	11.62	-0.40	11.61	11.62	161656	0.08	          3.31	12.02	12.04	11.31	12.02	    18.62	188566464	      48809.17	山东	         56.72亿	20100323	
002528	英飞拓	-0.60	-4.42	12.99	-0.60	12.98	12.99	73891	0.07	          2.19	13.59	13.62	12.75	13.59	   416.96	96869624	      33766.19	深圳	         43.86亿	20101224	
002577	雷柏科技	-1.10	-3.74	28.31	-1.10	28.31	28.32	68135	0.03	          2.41	29.20	29.35	27.50	29.41	    92.09	193472432	      28288.00	深圳	         80.08亿	20110428	
002635	安洁科技	-1.23	-3.72	31.85	-1.23	31.84	31.85	32913	0.06	          3.58	33.03	33.03	31.51	33.08	    48.24	105806944	       9182.40	江苏	         29.25亿	20111125	
300042	朗科科技	-1.00	-5.80	16.23	-1.00	16.23	16.24	34835	-0.30	          4.75	17.21	17.23	16.10	17.23	    79.16	57643832	       7327.91	深圳	         11.89亿	20100108	
300045	华力创通	0.53	2.52	21.60	0.53	21.60	21.61	97738	-0.23	          6.30	21.08	21.94	19.82	21.07	   166.01	206972144	      15512.53	北京	         33.51亿	20100120	
300076	GQY视讯	-0.72	-4.16	16.60	-0.72	16.60	16.65	44871	-0.12	          2.62	17.32	17.45	16.50	17.32	   172.95	75146544	      17133.00	浙江	         28.44亿	20100430	
300130	新国都	-0.71	-2.26	30.70	-0.71	30.67	30.70	25196	0.88	          3.42	31.02	31.10	30.13	31.41	    59.92	76840688	       7369.87	深圳	         22.63亿	20101019	
300282	汇冠股份	-1.81	-5.54	30.86	-1.81	30.86	30.92	15869	0.06	          6.72	32.68	32.95	30.71	32.67	   344.44	50068200	       2361.06	北京	          7.29亿	20111229	
300367	东方网力	-5.37	-4.44	115.60	-5.37	115.60	115.70	7560	0.06	          2.57	119.82	124.50	114.70	120.97	   178.13	88809984	       2940.50	北京	         33.99亿	20140129	
300390	天华超净	-0.48	-1.01	47.00	-0.48	46.71	47.00	23799	-0.38	         15.28	47.00	47.69	45.00	47.48	    92.09	110425160	       1558.00	江苏	          7.32亿	20140731	
600100	同方股份	-0.53	-4.06	12.54	-0.53	12.52	12.53	923087	-0.47	          4.46	13.06	13.07	12.21	13.07	   167.85	1165411584	     207020.14	北京	        259.60亿	19970627	
600271	航天信息	0.76	2.54	30.69	0.76	30.70	30.72	391399	-0.16	          4.24	29.89	31.16	27.95	29.93	    23.54	1179916800	      92340.00	北京	        283.39亿	20030711	
600601	方正科技	-0.29	-5.34	5.14	-0.29	5.14	5.15	1225980	-0.19	          5.59	5.41	5.42	5.01	5.43	    63.89	640083136	     219489.13	上海	        112.82亿	19901219	
600734	实达集团	-0.35	-5.79	5.69	-0.35	5.68	5.69	137228	-0.17	          3.91	6.05	6.06	5.61	6.04	--  	78957016	      35110.83	福建	         19.98亿	19960808	
600850	华东电脑	1.35	3.27	42.60	1.35	42.59	42.60	50021	-0.04	          2.92	41.25	43.70	39.69	41.25	    61.25	209718880	      17103.15	上海	         72.86亿	19940324	
603019	中科曙光	4.66	9.99	51.29	4.66	51.29	--  	37276	0.00	          4.97	51.29	51.29	51.29	46.63	   389.70	191190752	       7500.00	天津	         38.47亿	20141106	
数据来源:通达信
