代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000568	泸州老窖	0.80	4.10	20.29	0.80	20.28	20.29	780050	0.09	          5.57	19.85	20.34	18.80	19.49	    17.11	1547465472	     140022.59	四川	        284.11亿	19940509	
000596	古井贡酒	-1.45	-4.30	32.25	-1.45	32.25	32.26	139145	-0.21	          3.63	33.57	33.57	30.50	33.70	    26.46	450569472	      38359.91	安徽	        123.71亿	19960927	
000799	酒 鬼 酒	-0.68	-4.42	14.69	-0.68	14.69	14.70	292562	-0.20	         13.05	15.39	15.50	14.26	15.37	--  	437289344	      22420.16	湖南	         32.94亿	19970718	
000858	五 粮 液	-0.40	-2.00	19.63	-0.40	19.63	19.64	1182566	0.05	          3.12	20.32	20.70	19.13	20.03	    11.87	2351545856	     379556.47	四川	        745.07亿	19980427	
000995	皇台酒业	-0.82	-5.84	13.21	-0.82	13.21	13.22	72978	-0.07	          4.11	14.03	14.05	12.80	14.03	--  	97604568	      17740.53	甘肃	         23.44亿	20000807	
002304	洋河股份	-1.89	-2.70	68.00	-1.89	68.00	68.01	50026	0.00	          0.57	69.89	70.45	66.80	69.89	    13.78	344770400	      87925.92	江苏	        597.90亿	20091106	
002646	青青稞酒	-0.51	-2.56	19.39	-0.51	19.38	19.39	116977	-0.05	          7.43	19.95	19.95	19.03	19.90	    24.20	227761968	      15750.00	青海	         30.54亿	20111222	
600197	伊力特	-0.33	-2.73	11.75	-0.33	11.74	11.75	154030	-0.16	          3.49	12.10	12.13	11.51	12.08	    14.30	182494480	      44100.00	新疆	         51.82亿	19990916	
600199	金种子酒	-0.46	-4.04	10.94	-0.46	10.94	10.95	521588	0.09	          9.38	11.33	11.49	10.50	11.40	    81.06	576514240	      55577.50	安徽	         60.80亿	19980812	
600260	凯乐科技	-0.57	-5.64	9.54	-0.57	9.54	9.55	259400	0.31	          4.92	10.10	10.11	9.50	10.11	    41.54	251934384	      52764.00	湖北	         50.34亿	20000706	
600519	贵州茅台	-3.21	-1.84	170.92	-3.21	171.50	171.58	112901	0.19	          0.99	177.99	178.96	168.60	174.13	    13.69	1943937536	     114199.79	贵州	       1951.90亿	20010827	
600559	老白干酒	1.94	5.56	36.81	1.94	36.76	36.77	161753	-0.18	         11.55	37.30	38.36	34.52	34.87	    84.96	602198912	      14000.00	河北	         51.53亿	20021029	
600702	沱牌舍得	-0.10	-0.60	16.57	-0.10	16.57	16.58	193596	0.24	          5.74	16.66	16.98	15.70	16.67	   689.89	316967648	      33730.00	四川	         55.89亿	19960524	
600779	水井坊	-0.27	-2.58	10.19	-0.27	10.15	10.19	317747	0.00	         10.76	10.48	10.54	9.75	10.46	--  	324326656	      29532.34	四川	         30.09亿	19961206	
600809	山西汾酒	-0.52	-2.33	21.77	-0.52	21.78	21.79	251086	0.13	          2.90	22.29	22.60	20.21	22.29	    35.47	549481856	      86584.82	山西	        188.50亿	19940106	
603369	今世缘	-1.14	-3.86	28.41	-1.14	28.42	28.43	57826	0.17	         11.16	29.60	29.60	28.00	29.55	    18.93	166061088	       5180.00	江苏	         14.72亿	20140703	
数据来源:通达信
