代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000416	民生控股	--  	--  	8.34	--  	--  	--  	0	--  	          0.00	--  	--  	--  	8.34	   133.55	0	      53161.03	山东	         44.34亿	19960719	
000417	合肥百货	-0.12	-1.69	6.96	-0.12	6.95	6.96	290762	-0.14	          3.73	7.07	7.26	6.82	7.08	    14.09	205727456	      77859.75	安徽	         54.19亿	19960812	
000419	通程控股	-0.19	-2.77	6.67	-0.19	6.67	6.68	204483	0.15	          3.76	7.00	7.14	6.60	6.86	    30.89	139977488	      54329.00	湖南	         36.24亿	19960816	
000501	鄂武商Ａ	-0.46	-3.05	14.60	-0.46	14.59	14.60	127096	0.06	          2.51	15.18	15.23	14.36	15.06	    11.46	188105920	      50718.42	湖北	         74.05亿	19921120	
000516	开元投资	0.99	10.05	10.84	0.99	10.84	--  	52034	0.00	          0.74	10.84	10.84	10.84	9.85	    29.39	56404812	      70442.67	陕西	         76.36亿	19930809	
000560	昆百大Ａ	-0.90	-4.73	18.12	-0.90	18.11	18.12	53975	0.11	          5.78	19.00	19.00	18.00	19.02	    43.26	98877904	       9333.11	云南	         16.91亿	19940202	
000564	西安民生	-0.23	-3.82	5.79	-0.23	5.78	5.79	159567	0.17	          4.75	6.02	6.02	5.67	6.02	    37.84	93256088	      33562.01	陕西	         19.43亿	19940110	
000679	大连友谊	-0.34	-4.52	7.18	-0.34	7.17	7.18	124753	-0.13	          3.50	7.52	7.53	7.10	7.52	    17.03	90746936	      35634.23	辽宁	         25.59亿	19970124	
000715	中兴商业	--  	--  	11.26	--  	--  	--  	0	--  	          0.00	--  	--  	--  	11.26	    43.20	0	      27809.86	辽宁	         31.31亿	19970508	
000785	武汉中商	-0.29	-3.14	8.96	-0.29	8.96	8.97	75566	0.11	          3.01	9.24	9.26	8.61	9.25	    67.39	67459512	      25109.36	湖北	         22.50亿	19970711	
000882	华联股份	-0.17	-4.28	3.80	-0.17	3.80	3.81	437670	-0.26	          4.08	3.97	3.99	3.77	3.97	   130.82	168589008	     107195.31	北京	         40.73亿	19980616	
000987	广州友谊	--  	--  	9.33	--  	--  	--  	0	--  	          0.00	--  	--  	--  	9.33	    14.61	0	      35866.73	广东	         33.46亿	20000718	
002187	广百股份	-0.84	-6.19	12.73	-0.84	12.73	12.74	84231	0.07	          2.51	13.54	13.80	12.40	13.57	    19.88	109264424	      33572.48	广东	         42.74亿	20071122	
002277	友阿股份	-0.48	-3.39	13.67	-0.48	13.66	13.67	262400	0.14	          4.65	14.19	14.19	13.36	14.15	    18.40	361075264	      56458.66	湖南	         77.18亿	20090717	
002419	天虹商场	-0.65	-5.05	12.21	-0.65	12.20	12.21	96603	0.08	          1.21	12.86	12.86	11.99	12.86	    20.84	119357680	      80020.00	深圳	         97.70亿	20100601	
002561	徐家汇	-0.66	-4.91	12.77	-0.66	12.77	12.78	116230	0.00	          3.06	13.42	13.42	12.50	13.43	    21.98	150798432	      37991.03	上海	         48.51亿	20110303	
600280	中央商场	-0.27	-2.01	13.14	-0.27	13.12	13.13	170942	0.07	          2.98	13.50	13.58	12.38	13.41	    11.44	223822752	      57416.73	江苏	         75.45亿	20000926	
600306	*ST商城	-0.55	-5.01	10.43	-0.55	--  	10.43	35138	0.00	          1.98	10.85	10.88	10.43	10.98	--  	37015928	      17727.78	辽宁	         18.49亿	20001226	
600327	大东方	-0.64	-7.22	8.23	-0.64	8.23	8.24	428788	-0.48	          8.22	8.87	8.88	8.02	8.87	    22.97	361001056	      52171.17	江苏	         42.94亿	20020625	
600515	海岛建设	-0.69	-7.12	9.00	-0.69	8.98	9.00	247071	0.00	          8.36	9.68	9.68	8.97	9.69	   217.39	227351856	      29556.00	海南	         26.60亿	20020806	
600628	新世界	-0.50	-4.67	10.20	-0.50	10.20	10.21	231681	-0.09	          4.36	10.71	10.73	10.02	10.70	    25.15	239253264	      53179.92	上海	         54.24亿	19930119	
600655	豫园商城	-0.39	-3.19	11.83	-0.39	11.80	11.83	266115	-0.16	          1.85	12.19	12.19	11.55	12.22	    21.85	315124704	     143732.20	上海	        170.04亿	19920902	
600682	南京新百	-0.54	-3.29	15.89	-0.54	15.86	15.90	45035	-0.06	          1.26	16.44	16.48	15.80	16.43	    43.41	72344320	      35796.01	江苏	         56.88亿	19931018	
600693	东百集团	-0.33	-3.71	8.57	-0.33	8.56	8.57	55231	0.23	          1.61	8.91	8.94	8.40	8.90	    12.88	47926276	      34216.55	福建	         29.32亿	19931122	
600694	大商股份	0.32	0.91	35.66	0.32	35.64	35.66	178041	0.02	          6.06	35.48	36.38	34.78	35.34	     7.63	629430208	      29371.86	辽宁	        104.74亿	19931122	
600697	欧亚集团	-0.73	-3.34	21.10	-0.73	21.08	21.15	35532	-0.14	          2.29	21.66	21.83	20.85	21.83	    13.60	75376672	      15515.59	吉林	         32.74亿	19931206	
600712	南宁百货	-0.25	-4.56	5.23	-0.25	5.23	5.24	154120	0.00	          2.87	5.49	5.51	5.13	5.48	  1007.69	81463232	      53772.91	广西	         28.12亿	19960626	
600723	首商股份	-0.30	-3.92	7.36	-0.30	7.36	7.37	151925	0.13	          2.31	7.66	7.68	7.22	7.66	    17.37	113238400	      65722.45	北京	         48.37亿	19960716	
600729	重庆百货	-0.69	-2.99	22.35	-0.69	22.35	22.36	142676	0.13	          3.83	23.09	23.20	22.06	23.04	    14.03	322860416	      37231.14	重庆	         83.21亿	19960702	
600738	兰州民百	-0.26	-3.63	6.91	-0.26	6.89	6.90	109166	0.14	          4.16	7.17	7.19	6.80	7.17	    21.91	76230784	      26210.72	甘肃	         18.11亿	19960802	
600774	汉商集团	0.20	1.23	16.44	0.20	16.45	16.50	29217	2.30	          1.67	16.24	16.51	15.68	16.24	  1099.68	46859312	      17442.90	湖北	         28.68亿	19961108	
