代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
002207	准油股份	--  	--  	17.80	--  	--  	--  	0	--  	          0.00	--  	--  	--  	17.80	   968.76	0	      17333.00	新疆	         30.85亿	20080128	
002554	惠博普	-0.52	-4.14	12.04	-0.52	12.03	12.04	97510	-0.16	          5.02	12.55	12.55	11.85	12.56	    48.26	118667384	      19435.22	北京	         23.40亿	20110225	
300084	海默科技	1.50	5.41	29.25	1.50	29.15	29.25	65747	0.55	          6.47	28.00	29.40	27.50	27.75	   260.43	188215936	      10155.25	甘肃	         29.70亿	20100520	
300157	恒泰艾普	-0.58	-4.46	12.42	-0.58	12.41	12.42	371105	-0.08	          8.69	13.11	13.19	12.30	13.00	    59.53	470851904	      42713.17	北京	         53.05亿	20110107	
300164	通源石油	-0.10	-0.85	11.68	-0.10	11.67	11.68	223937	-0.42	          7.47	11.82	12.08	11.16	11.78	   782.10	262233664	      29976.56	陕西	         35.01亿	20110113	
300191	潜能恒信	-0.84	-3.56	22.77	-0.84	22.76	22.77	80124	0.13	          5.38	23.40	23.40	21.78	23.61	   286.10	181805952	      14882.00	北京	         33.89亿	20110316	
600583	海油工程	-0.35	-3.96	8.49	-0.35	8.48	8.49	2668753	-0.11	          6.59	8.79	8.91	8.26	8.84	    10.86	2294949376	     404901.41	天津	        343.76亿	20020205	
600759	洲际油气	-0.20	-1.84	10.69	-0.20	10.73	10.74	340769	0.65	          2.80	10.84	10.94	10.45	10.89	--  	361507488	     121602.25	海南	        129.99亿	19961008	
601808	中海油服	-0.67	-3.41	18.97	-0.67	18.97	18.98	761867	-0.15	          2.57	19.50	20.00	18.26	19.64	    10.37	1463612800	     296046.81	天津	        561.60亿	20070928	
601857	中国石油	0.91	9.88	10.12	0.91	10.12	10.13	6602293	0.09	          0.41	9.50	10.13	9.25	9.21	    14.46	6425050112	   16192208.00	北京	      16386.51亿	20071105	
数据来源:通达信
