代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000511	烯碳新材	-0.43	-4.98	8.21	-0.43	8.21	8.22	595188	-0.12	          5.15	8.65	8.68	7.96	8.64	   257.09	496400896	     115482.22	辽宁	         94.81亿	19930518	
000546	光华控股	-0.49	-5.31	8.74	-0.49	8.74	8.76	49306	0.22	          3.37	9.23	9.23	8.62	9.23	  4213.56	43634408	      14623.80	吉林	         12.78亿	19931215	
000795	太原刚玉	--  	--  	10.92	--  	--  	--  	0	--  	          0.00	--  	--  	--  	10.92	--  	0	      27679.44	山西	         30.23亿	19970808	
002088	鲁阳股份	-0.37	-2.97	12.07	-0.37	12.06	12.07	42652	-0.16	          2.12	12.46	12.54	11.80	12.44	    41.24	51738828	      20144.38	山东	         24.31亿	20061130	
002297	博云新材	0.64	4.24	15.75	0.64	15.75	15.76	276976	0.00	          8.75	15.11	16.00	14.39	15.11	  1448.09	424463360	      31656.90	湖南	         49.86亿	20090929	
300064	豫金刚石	-0.32	-4.54	6.73	-0.32	6.72	6.73	160285	0.00	          2.65	7.03	7.04	6.35	7.05	    61.77	108829536	      60575.00	河南	         40.77亿	20100326	
300073	当升科技	-0.68	-3.74	17.52	-0.68	17.51	17.52	98919	0.05	          6.23	18.16	18.18	17.17	18.20	  3582.82	173912080	      15869.65	北京	         27.80亿	20100427	
300179	四方达	--  	--  	11.83	--  	--  	--  	0	--  	          0.00	--  	--  	--  	11.83	    65.02	0	      13301.12	河南	         15.74亿	20110215	
300409	道氏技术	2.74	10.00	30.14	2.74	30.14	--  	23	0.00	          0.01	30.14	30.14	30.14	27.40	    24.59	69322	       1625.00	广东	          4.90亿	20141203	
600172	黄河旋风	-0.17	-1.95	8.56	-0.17	8.53	8.56	319095	0.11	          6.42	8.74	8.74	8.31	8.73	    21.48	271018176	      49667.83	河南	         42.52亿	19981126	
600516	方大炭素	-0.51	-4.69	10.37	-0.51	10.36	10.37	578613	-0.09	          3.37	10.91	10.98	10.20	10.88	    39.42	609466048	     171916.03	甘肃	        178.28亿	20020830	
600783	鲁信创投	-1.52	-5.99	23.87	-1.52	23.88	23.89	485611	0.12	          6.52	24.88	25.40	22.99	25.39	    41.77	1174238208	      74435.92	山东	        177.68亿	19961225	
603688	石英股份	-1.81	-6.75	24.99	-1.81	24.96	24.98	96587	-0.07	         17.26	26.50	26.80	24.40	26.80	    90.17	246687072	       5595.00	江苏	         13.98亿	20141031	
数据来源:通达信
