代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000713	丰乐种业	-0.45	-4.49	9.58	-0.45	9.58	9.59	170924	-0.10	          5.72	10.00	10.01	9.30	10.03	--  	164830960	      29887.35	安徽	         28.63亿	19970422	
000998	隆平高科	-1.02	-4.88	19.88	-1.02	19.88	19.89	528353	0.15	          6.36	20.90	20.90	19.50	20.90	   127.98	1060906944	      83123.59	湖南	        165.25亿	20001211	
002041	登海种业	-1.31	-3.71	33.99	-1.31	33.98	33.99	68786	0.00	          2.09	35.20	35.25	33.56	35.30	    55.89	234821888	      32943.82	山东	        111.98亿	20050418	
300087	荃银高科	-0.52	-3.75	13.34	-0.52	13.33	13.34	67127	-0.22	          6.29	13.89	13.90	12.76	13.86	--  	88978512	      10679.45	安徽	         14.25亿	20100526	
300143	星河生物	--  	--  	12.76	--  	--  	--  	0	--  	          0.00	--  	--  	--  	12.76	--  	0	      10587.91	广东	         13.51亿	20101209	
300189	神农大丰	-0.33	-4.24	7.45	-0.33	7.44	7.45	275842	0.40	          8.20	7.78	7.82	7.25	7.78	--  	206458288	      33626.87	海南	         25.05亿	20110316	
600313	农发种业	-0.85	-7.32	10.76	-0.85	10.77	10.78	165418	0.27	          5.44	11.60	11.63	10.66	11.61	   232.68	182217328	      30420.00	北京	         32.73亿	20010119	
600354	敦煌种业	-0.44	-5.03	8.30	-0.44	8.28	8.29	288001	-0.24	          6.43	8.75	8.79	8.00	8.74	--  	242697568	      44780.21	甘肃	         37.17亿	20040115	
600371	万向德农	-0.58	-4.28	12.98	-0.58	12.98	12.99	84924	0.23	          4.15	13.49	13.49	12.64	13.56	--  	110964552	      20460.00	黑龙江	         26.56亿	20020916	
600506	香梨股份	-0.71	-5.16	13.05	-0.71	13.05	13.06	77768	-0.15	          5.27	13.67	13.67	12.90	13.76	--  	102701920	      14770.69	新疆	         19.28亿	20011226	
600540	新赛股份	-0.54	-5.82	8.74	-0.54	8.73	8.74	109292	0.00	          3.61	9.27	9.27	8.70	9.28	   657.67	96959104	      30270.84	新疆	         26.46亿	20040107	
600598	*ST大荒	-0.58	-5.01	11.00	-0.58	--  	11.00	353471	0.00	          1.99	11.48	11.57	11.00	11.58	    12.14	393301664	     177767.98	黑龙江	        195.54亿	20020329	
数据来源:通达信
