代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000557	*ST广夏	--  	--  	7.00	--  	--  	--  	0	--  	          0.00	--  	--  	--  	7.00	   814.37	0	      65959.67	宁夏	         46.17亿	19940617	
000869	张  裕Ａ	-0.43	-1.33	31.99	-0.43	31.99	32.00	80354	0.06	          1.77	33.00	33.50	30.80	32.42	    20.58	258410016	      45346.07	山东	        145.06亿	20001026	
600059	古越龙山	-0.24	-2.64	8.84	-0.24	8.84	8.85	426479	0.11	          5.27	9.05	9.18	8.65	9.08	    74.40	380625952	      80852.40	浙江	         71.47亿	19970516	
600084	中葡股份	-0.36	-6.03	5.61	-0.36	5.60	5.62	246052	0.35	          3.04	5.98	6.01	5.50	5.97	--  	140316288	      80991.92	新疆	         45.44亿	19970711	
600238	海南椰岛	0.00	0.00	11.19	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	11.19	    89.68	0	      44473.16	海南	         49.77亿	20000120	
600365	通葡股份	0.00	0.00	11.38	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	11.38	  5686.21	0	      14000.00	吉林	         15.93亿	20010115	
600543	莫高股份	-0.26	-2.78	9.08	-0.26	9.07	9.09	98566	0.00	          3.07	9.35	9.35	8.89	9.34	    90.63	89719688	      32112.00	甘肃	         29.16亿	20040324	
600616	金枫酒业	-0.39	-4.06	9.21	-0.39	9.20	9.21	185967	-0.32	          4.24	9.63	9.63	9.11	9.60	    53.06	173380240	      43867.14	上海	         40.40亿	19920929	
601579	会稽山	-0.68	-4.83	13.39	-0.68	13.38	13.39	131318	-0.14	         13.13	14.00	14.00	13.30	14.07	    54.67	178213056	      10000.00	浙江	         13.39亿	20140825	
数据来源:通达信
