代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000018	中冠A	-0.95	-5.00	18.05	-0.95	18.05	18.06	25451	0.00	          2.55	18.76	18.76	17.50	19.00	  1952.06	45911272	       9972.04	深圳	         18.00亿	19920616	
000045	深纺织Ａ	-0.32	-2.68	11.60	-0.32	11.59	11.60	145589	-0.17	          3.59	11.99	12.00	11.00	11.92	--  	168889440	      40556.39	深圳	         47.05亿	19940815	
000158	常山股份	-0.88	-7.39	11.02	-0.88	11.02	11.03	274618	-0.27	          3.82	11.90	11.98	10.86	11.90	--  	310225376	      71886.10	河北	         79.22亿	20000724	
000611	内蒙发展	0.14	1.72	8.29	0.14	8.28	8.29	152892	-0.12	          4.79	8.23	8.52	8.03	8.15	--  	127015344	      31906.42	内蒙	         26.45亿	19961008	
000726	鲁  泰Ａ	-0.17	-1.56	10.74	-0.17	10.72	10.74	172674	-0.18	          3.08	10.89	11.03	10.40	10.91	    10.84	183785552	      56110.69	山东	         60.26亿	20001225	
000779	*ST派神	-0.33	-3.29	9.69	-0.33	9.68	9.69	61895	0.10	          3.87	9.95	10.02	9.52	10.02	   223.22	60219836	      16012.19	甘肃	         15.52亿	19970528	
000803	金宇车城	-0.65	-4.73	13.10	-0.65	13.08	13.10	34139	-0.15	          3.78	13.73	13.76	12.95	13.75	   481.64	45155344	       9026.92	四川	         11.83亿	19980303	
000813	天山纺织	-0.45	-4.89	8.76	-0.45	8.76	8.77	73455	-0.11	          2.02	9.19	9.20	8.70	9.21	    78.38	65361032	      36345.07	新疆	         31.84亿	19980519	
000850	华茂股份	0.16	2.12	7.70	0.16	7.69	7.70	877227	-0.25	          9.30	7.69	8.00	7.14	7.54	   202.97	673110912	      94316.21	安徽	         72.62亿	19981007	
000955	欣龙控股	-0.32	-5.84	5.16	-0.32	5.15	5.16	257186	-0.19	          5.15	5.47	5.47	5.05	5.48	--  	134730720	      49939.50	海南	         25.77亿	19991209	
