代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000666	经纬纺机	-0.77	-4.25	17.35	-0.77	17.35	17.37	163865	0.23	          5.58	18.07	18.08	16.31	18.12	    28.87	283782848	      29345.88	北京	         50.92亿	19961210	
002021	中捷资源	--  	--  	7.01	--  	--  	--  	0	--  	          0.00	--  	--  	--  	7.01	--  	0	      56781.50	浙江	         39.80亿	20040715	
002196	方正电机	-2.12	-9.85	19.40	-2.12	19.38	19.40	78426	0.00	          9.14	21.39	21.39	19.37	21.52	   464.41	155735952	       8580.00	浙江	         16.65亿	20071212	
002722	金轮股份	-0.86	-3.18	26.15	-0.86	26.15	26.16	30107	-0.03	          8.96	27.00	27.01	26.00	27.01	    98.72	79347904	       3360.00	江苏	          8.79亿	20140128	
300307	慈星股份	-0.57	-5.19	10.42	-0.57	10.42	10.43	77223	-0.19	          6.33	10.91	10.91	10.16	10.99	--  	81481792	      12200.00	浙江	         12.71亿	20120329	
300384	三联虹普	-5.09	-5.78	82.97	-5.09	82.95	82.97	14951	0.02	         11.21	87.26	87.40	82.88	88.06	    47.20	126469368	       1334.00	北京	         11.07亿	20140801	
600302	标准股份	-0.39	-5.48	6.73	-0.39	6.73	6.74	80475	0.00	          2.33	6.98	7.03	6.59	7.12	--  	54711784	      34600.98	陕西	         23.29亿	20001213	
600610	*ST中纺	-0.43	-4.94	8.27	-0.43	--  	8.27	124779	0.00	         11.54	8.68	8.70	8.27	8.70	--  	104953256	      10811.13	上海	          8.94亿	19920805	
600843	上工申贝	-0.76	-5.88	12.17	-0.76	12.16	12.17	68134	0.00	          3.32	12.94	12.94	12.00	12.93	    81.05	84118184	      20494.30	上海	         24.94亿	19940311	
数据来源:通达信
