代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000008	宝利来	-0.53	-2.29	22.65	-0.53	22.65	22.66	24287	0.13	          1.65	23.16	23.16	22.00	23.18	   527.66	54792572	      14730.62	深圳	         33.36亿	19920507	
000034	深信泰丰	-0.29	-3.92	7.10	-0.29	7.09	7.10	116198	0.28	          3.42	7.39	7.40	6.92	7.39	    34.84	83110880	      34006.42	深圳	         24.14亿	19940509	
000301	东方市场	-0.27	-5.96	4.26	-0.27	4.25	4.26	558450	0.00	          4.58	4.52	4.52	4.12	4.53	    24.94	241313936	     121823.64	江苏	         51.90亿	20000529	
000576	广东甘化	0.30	2.29	13.39	0.30	13.39	13.40	133500	0.22	          5.21	13.10	13.39	12.90	13.09	   762.11	175892880	      25616.05	广东	         34.30亿	19940907	
000632	三木集团	0.31	4.57	7.10	0.31	7.10	7.11	478509	-0.28	         10.29	6.81	7.38	6.62	6.79	   437.02	336929472	      46505.91	福建	         33.02亿	19961121	
000633	合金投资	--  	--  	10.09	--  	--  	--  	0	--  	          0.00	--  	--  	--  	10.09	--  	0	      38510.64	辽宁	         38.86亿	19961112	
000652	泰达股份	-0.08	-1.06	7.48	-0.08	7.48	7.49	942401	-0.26	          6.43	7.56	7.74	7.08	7.56	--  	702001920	     146567.00	天津	        109.63亿	19961128	
000701	厦门信达	-0.54	-4.19	12.35	-0.54	12.35	12.36	101878	-0.08	          4.24	12.88	12.89	12.01	12.89	    43.50	127184640	      24024.32	福建	         29.67亿	19970226	
000839	中信国安	-0.47	-4.67	9.60	-0.47	9.60	9.61	519208	-0.20	          3.31	10.00	10.18	9.32	10.07	   119.12	504671936	     156760.28	北京	        150.49亿	19971031	
000881	大连国际	-0.42	-4.62	8.68	-0.42	8.67	8.68	156257	0.00	          5.07	9.15	9.15	8.59	9.10	    28.44	137542496	      30796.41	辽宁	         26.73亿	19980902	
000909	数源科技	-0.40	-4.26	8.99	-0.40	8.98	8.99	71819	-0.44	          2.44	9.37	9.41	8.88	9.39	    77.99	65202188	      29400.00	浙江	         26.43亿	19990507	
600051	宁波联合	-0.48	-4.63	9.89	-0.48	9.89	9.90	123169	-0.10	          4.07	10.37	10.37	9.80	10.37	    24.08	123506560	      30240.00	浙江	         29.91亿	19970410	
600209	罗顿发展	-0.69	-6.14	10.55	-0.69	10.55	10.56	296419	-0.18	          7.82	11.18	11.22	10.20	11.24	  1233.86	318619424	      37899.03	海南	         39.98亿	19990325	
600212	江泉实业	-0.54	-5.14	9.96	-0.54	9.94	9.95	322183	0.40	          6.30	10.40	10.40	9.61	10.50	--  	321091072	      51169.71	山东	         50.97亿	19990817	
600256	广汇能源	-0.32	-3.75	8.21	-0.32	8.20	8.21	2186741	0.12	          7.18	8.53	8.56	8.08	8.53	    20.70	1815535488	     304605.28	新疆	        250.08亿	20000526	
600576	万好万家	-0.96	-4.80	19.06	-0.96	19.01	19.06	59173	0.31	          2.71	19.88	19.88	18.95	20.02	--  	113815584	      21809.31	浙江	         41.57亿	20030220	
